title,provider,price,update_frequency,category,category_aws,description,price_mode,volume,size,dimension,coverage,platform,currency,url,data_sample
企业经营健康指数数据产品,广州金控征信服务有限公司,0.0,real-time,智慧金融,Financial Services Data,“企业经营健康指数”通过打通行业数据、产业数据以及场景数据，探索数据资产登记、数据授权、数据价值评估与定价等规则，形成标准化模式，贯穿数源部门、公共数据运营机构、数据服务商、合规登记机构、数据交易所、数据需求方等公共数据运营的全链条多方角色，将指数转化为融资信用，应用于征信中的放贷、风控等场景，将政府部门掌握的企业住房公积金缴存数据、社保缴存数据以及商事经营数据3大类共计12项公共数据资源，经隐私保护计算后加工形成，通过数据加工成数据产品，在合规审查登记后进场交易，为金融机构发放信贷产品提供融资信用支持。,negotiation,0,0,0,CN,Canton Data Exchange,RMB,https://www.cantonde.com/sjjy.html#/detail?id=334,
众陶联交易证据链证书数据产品,佛山众陶联供应链服务有限公司,0.0,on-demand,智能制造,Financial Services Data,"众陶联的交易证据链证书采用数字化技术，构建产业平台，在供应端、流通端、消费端打通了交易的完整链条数据，保障数据可追溯。
基于产业场景，通过数据标签、数据评价模型形成众陶联交易证据链证书。本数据产品可以提供给无法取得发票的供应商（砂泥、色料等原料供应商），解决了原材料交易成本难以认定的产业痛点，为客户的完税问题提供了解决方案，避免国家税收流失；并且作为纳税扣除辅助佐证，企业能规范经营，获得产业集群抱团资格，获取政策优惠降低综合税负。未来可推出众陶善贷等低息贷款金融产品，为上平台的小微企业及个体经营者融资提供解决方案。",negotiation,0,0,0,CN,Canton Data Exchange,RMB,https://www.cantonde.com/sjjy.html#/detail?id=305,
企业环保宝数据产品,佛山市南海区大数据投资建设有限公司,0.0,on-demand,环境保护,Environmental Data,本数据产品，是依托佛山市生态环境局南海分局所积累的环保数据库，包括企业基础信息、企业环境风险基础评估、企业历史环境表现、排放口监测数据分析、执法监测公示、执法结果等，结合环保评价体系，向相关保险公司提供包括保前风险评估、保中风控监管、保后数据分析的综合企业环保评价报告,negotiation,0,0,0,CN,Canton Data Exchange,RMB,https://www.cantonde.com/sjjy.html#/detail?id=9,
南海银龄安康保险快赔通数据产品,佛山市南海区大数据投资建设有限公司,5.0,daily,智慧金融,Financial Services Data,"本数据产品的数源部门为南海区卫生健康局，数据来源平台为南海全民健康信息化（智慧医疗）云平台。
本数据产品依托南海区智慧医疗（全民健康信息化）项目所采集和积累的全民健康数据库，包括全区所有公立医院、社区卫生服务中心和社区卫生服务站的居民诊疗、检验/检疫、治疗、手术、住院、账单等原始数据，经过ETL加工整理和应用包装，形成本数据产品。
南海区智慧医疗（全民健康信息化）项目所形成的全民健康数据库全部部署于南海区政务网内，由本数据产品平台根据用户提交的申请，按需抽取有关医疗数据。数据内容主要包括银龄安康受保人在特定日期的诊疗记录，检验记录，手术记录，用药记录，费用账单。数据的采集范围限定为用户本人授权的特定日期、特定医院就医的数据。系统对非采集范围内的数据，拒绝采集和输出。",usage-based,0,0,0,CN,Canton Data Exchange,RMB,https://www.cantonde.com/sjjy.html#/detail?id=342,
中移梧桐风控数据产品,中国移动通信集团广东有限公司广州分公司,0.0,daily,智慧金融,Financial Services Data,中国移动通过多年的发展积累了庞大的数据资源，随着大数据技术日益发展成熟，基于数据资源方面的显著优势，公司大数据资源不仅可以为公司市场营销提供强大支撑，在确保数据安全使用的前提下，积极开展大数据外部应用实践，可以实现大数据应用经济效益和社会效益的双重提升。中移梧桐风控系列数据产品是中国移动基于自身海量的用户和业务数据，面向党政、金融、互联网等行业提供的标准化数据标签产品和定制化服务，可应用于风险管控、获客评估等领域，助力行业客户完善风险防控手段，提高精细化运营能力。中移梧桐风控产品由中国移动集团牵头、上海产业研究院主建研发，共涵盖基础信息核验、模型评分、客户关系修复、支付位士、梧桐反欺诈盾五大类产品，本次广州数据交易所挂牌的主要是基础信息核验和模型评分类产品，共包含6大类共136个标准数据标签产品，如三要素验真、通话时长、欠费停机次数等标签。,negotiation,0,0,0,CN,Canton Data Exchange,RMB,https://www.cantonde.com/sjjy.html#/detail?id=308,
全联进贸通数据产品,全联集采水产品（广东）股份有限公司,0.0,daily,农林牧渔,Resources Data,"该数据产品主要面向银行机构，基于银行金融活动的事前、事中和事后全流程数据需求，通过整合社会数据和公共数据资源，为金融活动事前获得客户抵押货物的基本信息、事中风险核查及银行贷后管理要求提供支撑。
在不占用客户原有信用额度的基础上，为全联集采客户额外增加普惠金融额度，为银行贷款提供信用支撑。通过数字化平台模式，把数据与银行共享，通过数字化技术解决人、货、场一一对应模式， 针对银行贷后管理要求及行业真实需求，给予企业提供金融服务，解决水产行业相关企业融资难问题。",negotiation,0,0,0,CN,Canton Data Exchange,RMB,https://www.cantonde.com/sjjy.html#/detail?id=733,
智策宝数据产品,广东金赋科技股份有限公司,0.0,no-update,全场景,Public Sector Data,"企业需要资金借款难，银行有钱贷出难，这是资金供需方共同面对的矛盾。产生这一矛盾的原因是，企业向银行借款需要提供还款的能力证明，传统的能力一般有不动产抵押、其他资产抵押等等，这些可用于抵押的资产有限。在企业原有可抵押资产不变的条件下，增加企业贷款能力是解决这一矛盾的有效方法。
金赋科技利用有借款意愿的企业自主填报的授权使用数据，与政府部门公开发布且可供大众查询、共享的政策数据进行匹配，运用大数据和人工智能技术计算得出企业可能得到的扶持资金，以这个扶持金额作为企业向银行借款额外增加的贷款能力证明。其中，数据交易标的就是企业可能得到的扶持资金数据。在企业授权前提下，我们把这些数据提供给银行，银行据此作为贷款的参考依据。银行有获取潜在借款客户需要，所以，我们是交易数据的卖方，银行是买方，这就是智策宝的应用场景。",negotiation,0,0,0,CN,Canton Data Exchange,RMB,https://www.cantonde.com/sjjy.html#/detail?id=697,
全联数字经贸数据产品,全联集采水产品（广东）股份有限公司,0.0,on-demand,农林牧渔,Resources Data,"该产品主要为金融活动事前获得客户抵押货物的基本信息、事中风险核查及银行贷后管理要求提供数据支撑，缩短审批时间，解决部分水产行业中小企业“融资难”“融资贵”问题，以数据要素赋能水产行业高质量发展。在不占用客户原有信用额度的基础上，为全联下游客户或企业提供金融服务。
通过全联货物监管责任担保，为全联集采客户额外增加普惠金融额度，全联为客户和银行做好对接，不赚取中间利息差，缓解全联下游客户客户资金周转不畅问题。",negotiation,0,0,0,CN,Canton Data Exchange,RMB,https://www.cantonde.com/sjjy.html#/detail?id=617,
两客一危数据产品数据产品,广东联合电子服务股份有限公司,0.0,on-demand,交通运输,Automotive Data,"在为了更好地提升交通运输领域的安全性与效率，以及实现交通信息的智能化管理，交通运输部依托“两客一危”数据，将其与广东高速公路联网运营数据融合，并运用车载终端的北斗卫星定位技术，开启了一项颇具前景的创新措施。
这一整合的过程旨在利用车辆北斗卫星定位车载终端的多功能性，其中包括定位、警示、信息采集和行驶记录等诸多功能，从而实现对车辆在道路上的行驶轨迹状态信息进行实时监测与分析。
首先，以“两客一危”数据为基础是非常重要的，因为该数据提供了关于客车、危险品运输车辆和校车等特定车辆的详细信息，包括车辆类型、运行路线、载客人数以及装载的危险品类别等。这样的数据为交通管理部门提供了对这类车辆的实时掌控能力，有助于监测违规行为、减少事故风险，并且能够在紧急情况下采取及时有效的应对措施，保障公众的生命安全。
其次，融合广东高速公路联网运营数据的举措进一步扩大了数据的范围和深度。高速公路联网运营数据包括车辆的流量、速度、拥堵情况等，这些信息可以为交通部门提供全局交通态势的把握，支持交通流量的优化调度，以及高速公路建设和规划的决策依据，从而提高路网的通行效率和安全性。
最后，车载终端的北斗卫星定位技术为整个系统提供了关键的技术支持。通过实时接收卫星导航信号，车辆的位置信息能够高精度地定位，再结合其他传感器和信息采集设备，不仅可以实现车辆的行驶轨迹记录，还能够检测车辆的状态，如速度、加速度等，为交通管理部门提供更全面的车辆运行数据。",negotiation,0,0,0,CN,Canton Data Exchange,RMB,https://www.cantonde.com/sjjy.html#/detail?id=602,
广州市电力综合指数产品数据产品,广东电网有限责任公司广州供电局,0.0,monthly,能源电力,Resources Data,广州市电力综合指数：电力需求的变化折射出经济运行的活跃度，积极应用大数据分析，通过对电力客户的用电量、业扩报装容量等数据进行相关性分析，依据电力消费现状因子和电力消费预期因子构建电力消费景气指数（EPI）模型，从全市、各镇街(园区)、各产业、各行业等多个维度进行电力看经济和电力看社会等量化分析。,negotiation,0,0,0,CN,Canton Data Exchange,RMB,https://www.cantonde.com/sjjy.html#/detail?id=387,
