title,description,price,provider,url,category,category_aws,volume,size,dimension,update_frequency,price_mode,coverage,currency,platform,data_sample
气象数据（离线数据）,覆盖贵州全域的各类权威专业的气象要素监测数据产品,0.0,贵州新气象科技有限责任公司,https://www.gzdex.com.cn/market/detail/1427,农、林、牧、渔业,Resources Data,0,0,0,no-update,negotiation,CN,RMB,Guiyang Global Big Data Exchange,
代扣电费用户情况,指定区域范围，提供代扣电费用户数量、占区域所有用电户比例情况，以及代扣渠道用户数量占比；用于分析区域内居民用电习惯。,0.0,贵州电网有限责任公司,https://www.gzdex.com.cn/market/detail/1596,信息传输、软件和信息技术服务业,Telecommunications Data,0,0,0,no-update,negotiation,CN,RMB,Guiyang Global Big Data Exchange,
全市新增企业基本信息,包含企业名称、统一社会信用代码、经营地址、注册资本、登记机关、法定代表人、经营范围等信息,0.0,云上贵州大数据产业发展有限公司,https://www.gzdex.com.cn/market/detail/1815,居民服务、修理和其他服务业,Public Sector Data,0,0,0,no-update,free,CN,RMB,Guiyang Global Big Data Exchange,
贵州省企业用电信息查询,提供贵州省全省企业用电相关信息查询，包含企业基本信息、企业电量信息、企业电费信息等，可用于分析企业经济情况。,0.0,贵州电网有限责任公司,https://www.gzdex.com.cn/market/detail/1396,电力、热力、燃气及水生产和供应业,Public Sector Data,0,0,0,no-update,negotiation,CN,RMB,Guiyang Global Big Data Exchange,
电子保函数据资源产品,（数据开发利用产品、数据可用不可见）与投标企业（竞买人）参与公共资源交易项目投标（竞买）保证金递交相关的关键项目信息、招标人（委托人）信息、招标代理信息以及投标人（竞买人）信息。,754300.0000000001,云上贵州大数据产业发展有限公司,https://www.gzdex.com.cn/market/detail/1212,农、林、牧、渔业,Resources Data,0,0,0,no-update,usage-based,CN,RMB,Guiyang Global Big Data Exchange,
贵州电网代理购电电价总览,贵州电网2021.10-2022年每月代理购电电价明细，用于分析电价趋势情况。,0.0,贵州电网有限责任公司,https://www.gzdex.com.cn/market/detail/1582,电力、热力、燃气及水生产和供应业,Public Sector Data,0,0,0,no-update,negotiation,CN,RMB,Guiyang Global Big Data Exchange,
社会保险,社会保险，包含社会保险基金、城乡居民基本养老保险、城镇职工基本养老保险、基本医疗保险、失业保险工伤保险、生育保险等信息。,0.0,云上贵州大数据产业发展有限公司,https://www.gzdex.com.cn/market/detail/1857,公共管理、社会保障和社会组织,Public Sector Data,0,0,0,no-update,free,CN,RMB,Guiyang Global Big Data Exchange,
企业基本信息查询,根据统一社会信用代码，快速查询企业基本信息及相关执行情况，帮助机构针对申贷服务的企业构建360°全方位数据风控体系，提升机构整体风控能力，杜绝欺诈、降本增效的同时快速增强竞争,0.5,贵州多彩宝互联网服务有限公司,https://www.gzdex.com.cn/market/detail/1190,居民服务、修理和其他服务业,Public Sector Data,0,0,0,no-update,usage-based,CN,RMB,Guiyang Global Big Data Exchange,
儿童构音障碍早筛语音数据,早筛数据主要为82个音节组成，主要用于3-6岁儿童在自闭症、构音障碍、发育迟缓以及言语障碍等疾病的早期筛查的AI算法的训练,250000.0,年华数据科技有限公司,https://www.gzdex.com.cn/market/detail/1209,居民服务、修理和其他服务业,Public Sector Data,0,0,0,no-update,usage-based,CN,RMB,Guiyang Global Big Data Exchange,
气象在线数据产品服务,提供包括气象要素预报、气象监测数据流等在线气象数据服务。,0.0,贵州新气象科技有限责任公司,https://www.gzdex.com.cn/market/detail/1428,制造业,Manufacturing Data,0,0,0,no-update,negotiation,CN,RMB,Guiyang Global Big Data Exchange,
