title,provider,description,update_frequency,coverage,dimension,url,category,category_aws,platform,currency,price_mode,price,volume,size,data_sample
湿地生态环境监测数据,淮安市文化旅游集团股份有限公司,提供白马湖生态湿地景区生态环境监测数据据，包括空气温湿度、土壤温湿度、ORP 值等22项监测指标。提供精准可靠的环境数据，支持农业、水资源管理、水产养殖等领域的决策，能够适用于农田水产、环境科研、水质监测等多个应用场景，数据的公开平台交易同时也起到了景区环境品牌宣传赋能的作用。,no-update,CN,22.0,https://nidts.chinadep.com/ep-hall/spec?id=4720,综合,Environmental Data,Shanghai Data Exchange,RMB,negotiation,0.0,0,1279262.72,
航空公司净推荐值（NPS）研究分析报告,飞友科技有限公司,客户忠诚度是公司利润增长的关键成功因素，正确对待客户是提高客户忠诚度的首要途径。NPS可以有效地量化客户忠诚度，反映出产品的使用者将其产品推荐给他人的意愿。此报告可在一定程度上看到部分航司当前和未来一段时间的发展趋势，和持续盈利能力，为航司优化自身工作方向提供数据支持。,yearly,CN,209.0,https://nidts.chinadep.com/ep-hall/spec?id=4719,综合,"Retail, Location & Marketing Data",Shanghai Data Exchange,RMB,negotiation,0.0,0,15728640.0,
机场/航空公司季度服务测评,飞友科技有限公司,航空运输是大众出行的重要交通方式之一，航空运输服务质量关系到人民群众的出行体验和切身利益，本报告通过数据分析与图表呈现等方式，直观呈现国内民航旅客服务关注点及服务体验感知变化，进而为航空服务行业探索旅客关注点、痛点及需求点提供数据支撑。,quarterly,CN,78.0,https://nidts.chinadep.com/ep-hall/spec?id=4718,综合,"Retail, Location & Marketing Data",Shanghai Data Exchange,RMB,negotiation,0.0,0,41943040.0,
旅客出行意愿指数（TWI）分析,飞友科技有限公司,旅客出行意愿指数 TWI是指在未来一段周期内（如下个月），结合旅客的出行目的和预计出行次数区间等因素，计算出旅客在一段周期内的出行意愿指数情况（跨市出行），出行意愿指数越高旅客计划出行的意愿和频次越高。此报告可为交通运输行业短期工作规划提供数据参考。,monthly,CN,31.0,https://nidts.chinadep.com/ep-hall/spec?id=4715,综合,"Retail, Location & Marketing Data",Shanghai Data Exchange,RMB,negotiation,0.0,0,104857600.0,
在线新经济机构信用认证,上海市社会信用促进中心,按照中国中小企业协会发布的《在线新经济企业信用评价标准》，依托企业公开信息和平台业务数据，实现在线新经济服务机构的信用评分并提供相应的信用查询体系，包括企业信用评分查询、社区服务机构信用评分查询，不仅帮助消费者快速识别服务机构的信用状况，降低上当受骗的风险，而且也更好地促进在线新经济服务机构提供信得过的商品和服务。,real-time,CN,17.0,https://nidts.chinadep.com/ep-hall/spec?id=4685,综合,Financial Services Data,Shanghai Data Exchange,RMB,negotiation,0.0,0,2199023255552.0,
在线新经济品牌信用认证,上海市社会信用促进中心,按照中国中小企业协会发布的《在线新经济企业信用评价标准》，依托品牌公开信息和平台业务数据，实现在线新经济各类品牌的信用评分并提供相应的信用查询体系，提升品牌的信用价值度。,real-time,CN,3.0,https://nidts.chinadep.com/ep-hall/spec?id=4686,综合,Financial Services Data,Shanghai Data Exchange,RMB,negotiation,0.0,0,21474836480.0,
企业能力评价报告,上海市社会信用促进中心,以企业大数据为基础，对企业进行全方位的评估并形成综合评估报告，报告从企业的信用状况、能力状况、市场地位、同业对比、经营情况、风险状况、创新能力等多个角度分析了企业在发展过程中的各类特征情况，在招商引资、产业发展、企业合作、投资对比等领域为政府和企业提供决策支持。,daily,CN,30.0,https://nidts.chinadep.com/ep-hall/spec?id=4683,综合,"Retail, Location & Marketing Data",Shanghai Data Exchange,RMB,negotiation,0.0,0,1099511627776.0,
金税4.0AI财税分析师,上海市社会信用促进中心,根据数据显示，95%的中小企业未设立税务职能部门，仅仅设置最基础的或兼职的办税员岗位。企业财务人员大多出身财会专业，擅长于会计核算与财务管理，而对于税法则是“无师自通”或“摸着石头过河”。依托企业大数据，借助领先的人工智能和机器学习技术、风控规则库深度支撑、全方位预警指标、一站式解决方案，给企业提供安全、便捷、专业、全面的财税风控服务。,monthly,CN,1193.0,https://nidts.chinadep.com/ep-hall/spec?id=4682,综合,Financial Services Data,Shanghai Data Exchange,RMB,negotiation,0.0,0,629145600.0,
城市经济视界,上海市社会信用促进中心,依托与城市发展相关的经济类大数据以及建模分析技术，从宏观（省市等地域）、中观（行业、产业等板块）、微观（企业）等不同视角，全方面、多层次展示城市、行业、产业、企业等主体的发展特征以及相互之间的关联体系，帮助政府在行业发展、产业融合、招商引资等领域以及企业在投资决策、业务合作等领域提供信息服务和决策支持。,hourly,CN,50.0,https://nidts.chinadep.com/ep-hall/spec?id=4681,综合,Financial Services Data,Shanghai Data Exchange,RMB,negotiation,0.0,0,1099511627776.0,
企业科技评分,上海富由大数据科技股份有限公司,摩矿数据基于海量的的企业基本及业务数据，面向各垂直行业客户提供的标准化数据产品和定制化服务。通过对公司的技术基础设施、研发投入、知识产权情况等方面的评估，为市场提供了一个客观、可比较的标准，对企业的技术价值和创新潜力做展示。,real-time,CN,94.0,https://nidts.chinadep.com/ep-hall/spec?id=4662,综合,"Retail, Location & Marketing Data",Shanghai Data Exchange,RMB,negotiation,0.0,0,1099511627776.0,
