title,description,price,category,update_frequency,url,category_aws,size,volume,price_mode,provider,coverage,currency,dimension,platform,data_sample
新运营商三要素验证(身份证+姓名+手机),"三网手机号码实名认证，运营商实名认证
运营商实名认证接口，通过比对姓名、身份证号、手机号的一致性，核验手机用户身份信息的真伪。三网合一，支持电信、联通、移动运营商的手机号核验。直连权威数据源，提供高精准优质服务，数据实时更新，毫秒级响应，保证验证的时效性和有效性，满足各项验证需求。",0.5,金融科技,irregular,https://ditm.zjdex.com/data-service/product-details?id=1458736983698976770&displayPrice=0.50%E5%85%83%2F%E6%AC%A1&productType=2,Financial Services Data,109951162777600.0,0,usage-based,,CN,RMB,0,Zhejiang Big Data Exchange,
天道分 V2-互联网现金分期场景分,产品描述：自行研发而来，使用银行、互金、理财、保险等多领域活跃度数据以及信贷历史行为数据训练而来，值在0~1之间，值越大，坏用户概率越高。产品优势：1、训练样本丰富，覆盖多个互联网金融机构2、底层信息多元，覆盖收支、借贷、理财、保险等多领域行为数据产品使用人群：金融机构、数据机构,0.3,金融科技,irregular,https://ditm.zjdex.com/data-service/product-details?id=1458764076033912833&displayPrice=0.30%E5%85%83%2F%E6%AC%A1&productType=2,Financial Services Data,10995116277760.0,0,usage-based,,CN,RMB,0,Zhejiang Big Data Exchange,
全景全息西安古城墙倾斜三维模型,"1比1真实还原西安古城墙。通过倾斜摄影技术，使用无人机对古城墙按规定的路线点位进行照片拍摄，具体技术参数如下：地面分辨率1.5cm
，飞行高度高于建模目标不超过30m ，无人机为大疆m600pro和大疆精灵4rtk，内业处理软件为photoshop、ContextCapture。
该成果数据为公司独立飞行制作完成，且不存在抄袭、复制他人作品的情形。",300000.0,城市治理,irregular,https://ditm.zjdex.com/data-service/product-details?id=1660602933171658754&displayPrice=300000.00%E5%85%83&productType=0,Public Sector Data,85899345920.0,0,one-off,,CN,RMB,0,Zhejiang Big Data Exchange,
二要素验证(身份证号和姓名),产品描述：输入姓名和身份证号，即可快速验证姓名与身份证号的真实性和一致性。可用于金融、保险、在线教育、新零售、电商、租赁、物流、旅游等需要实名认证场景。产品优势：直连权威数据源，提供高精准优质服务，数据实时更新，毫秒级响应，保证验证的时效性和有效性，满足各项验证需求,0.04,金融科技,irregular,https://ditm.zjdex.com/data-service/product-details?id=1458729528487194626&displayPrice=0.04%E5%85%83%2F%E6%AC%A1&productType=2,Financial Services Data,10995116277760.0,0,usage-based,,CN,RMB,0,Zhejiang Big Data Exchange,
天道分 V2-银行贷款场景分,产品描述：自行研发而来，使用银行、互金、理财、保险等多领域活跃度数据以及信贷历史行为数据训练而来，值在0~1之间，值越大，坏用户概率越高。产品优势：1、训练样本丰富，覆盖多个互联网金融机构2、底层信息多元，覆盖收支、借贷、理财、保险等多领域行为数据产品使用人群：金融机构、数据机构,0.3,金融科技,irregular,https://ditm.zjdex.com/data-service/product-details?id=1458760798483132418&displayPrice=0.30%E5%85%83%2F%E6%AC%A1&productType=2,Financial Services Data,0.0,0,usage-based,,CN,RMB,0,Zhejiang Big Data Exchange,
天道分 V2-银行信用卡场景分,产品描述：自行研发而来，使用银行、互金、理财、保险等多领域活跃度数据以及信贷历史行为数据训练而来，值在0~1之间，值越大，坏用户概率越高。产品优势：1、训练样本丰富，覆盖多个互联网金融机构2、底层信息多元，覆盖收支、借贷、理财、保险等多领域行为数据产品使用人群：金融机构、数据机构,0.3,金融科技,irregular,https://ditm.zjdex.com/data-service/product-details?id=1458759238470479874&displayPrice=0.30%E5%85%83%2F%E6%AC%A1&productType=2,Financial Services Data,10995116277760.0,0,usage-based,,CN,RMB,0,Zhejiang Big Data Exchange,
产业大数据,产品名称：产业大数据产业应用场景：应用在产业链精准拓客和产业链招商产品介绍：9大战兴产业链图谱；产业链上企业，产品，专利，政策，舆情，投融资，人才，园区；精准推荐链上优质企业及企业画像信息（生物医药、新能源、汽车、高端装备制造、新材料、新一代信息技术等）数据来源：工商、知识产权局、政府部门、互联网新闻站点、高校，行业协会等,300000.0,企业服务,real-time,https://ditm.zjdex.com/data-service/product-details?id=1692374904167145474&displayPrice=300000.00%E5%85%83&productType=0,"Retail, Location & Marketing Data",10995116277760.0,0,one-off,,CN,RMB,0,Zhejiang Big Data Exchange,
天道分 V2-互联网综合场景分,产品描述：自行研发而来，使用银行、互金、理财、保险等多领域活跃度数据以及信贷历史行为数据训练而来，值在0~1之间，值越大，坏用户概率越高。产品优势：1、训练样本丰富，覆盖多个互联网金融机构2、底层信息多元，覆盖收支、借贷、理财、保险等多领域行为数据产品使用人群：金融机构、数据机构,0.3,金融科技,irregular,https://ditm.zjdex.com/data-service/product-details?id=1458766898519486466&displayPrice=0.30%E5%85%83%2F%E6%AC%A1&productType=2,Financial Services Data,10995116277760.0,0,usage-based,,CN,RMB,0,Zhejiang Big Data Exchange,
天御分 V1-互联网消费金融场景分,产品描述：自行研发而来，使用银行、互金、理财、保险等多领域活跃度数据以及信贷历史行为数据训练而来，值在0~1之间，值越大，坏用户概率越高。产品优势：1、训练样本丰富，覆盖多个互联网金融机构2、底层信息多元，覆盖收支、借贷、理财、保险等多领域行为数据,0.3,金融科技,real-time,https://ditm.zjdex.com/data-service/product-details?id=1458769455019077633&displayPrice=0.30%E5%85%83%2F%E6%AC%A1&productType=2,Financial Services Data,109951162777600.0,0,usage-based,,CN,RMB,0,Zhejiang Big Data Exchange,
天道分 V2-银行综合场景分,产品描述：自行研发而来，使用银行、互金、理财、保险等多领域活跃度数据以及信贷历史行为数据训练而来，值在0~1之间，值越大，坏用户概率越高。产品优势：1、训练样本丰富，覆盖多个互联网金融机构2、底层信息多元，覆盖收支、借贷、理财、保险等多领域行为数据,0.3,金融科技,real-time,https://ditm.zjdex.com/data-service/product-details?id=1458762323406237697&displayPrice=0.30%E5%85%83%2F%E6%AC%A1&productType=2,Financial Services Data,109951162777600.0,0,usage-based,,CN,RMB,0,Zhejiang Big Data Exchange,
