title,list_time,series_name,company_name,industry,data_type,product_type,description,keyword,update_frequency,coverage,storage,storage_incr,dimension,use_case,url,category,category_aws
湿地生态环境监测数据,,白马湖智慧文旅数据,淮安市文化旅游集团股份有限公司,综合,景区环境,数据集,提供白马湖生态湿地景区生态环境监测数据据，包括空气温湿度、土壤温湿度、ORP 值等22项监测指标。提供精准可靠的环境数据，支持农业、水资源管理、水产养殖等领域的决策，能够适用于农田水产、环境科研、水质监测等多个应用场景，数据的公开平台交易同时也起到了景区环境品牌宣传赋能的作用。,生态湿地，景区，环境监测,静态,白马湖景区,1.22 MB,,22.0,"

 **1\. 生态监测使用场景**

生态环境监测部门、文旅管理部门利用数据监测景区生态情况，这有助于及时对采取生态湿地的保护措施，控制景区对外开放和运营节奏。

**2.科学研究使用场景**

科研机构使用水质数据研究水体的生态系统动态，结合生态湿地保育基地的建设时序，了解生态湿地物种培育对水体环境的影响。

",https://nidts.chinadep.com/ep-hall/spec?id=4720,综合,Environmental Data
航空公司净推荐值（NPS）研究分析报告,2024-04-30,CAPSE民航服务数据,飞友科技有限公司,综合,民航旅客评价信息,数据集,客户忠诚度是公司利润增长的关键成功因素，正确对待客户是提高客户忠诚度的首要途径。NPS可以有效地量化客户忠诚度，反映出产品的使用者将其产品推荐给他人的意愿。此报告可在一定程度上看到部分航司当前和未来一段时间的发展趋势，和持续盈利能力，为航司优化自身工作方向提供数据支持。,民航，出行，旅客,"动态
(每半年更新)",全国,15 MB,6 MB,209.0,"

航空公司通过净推荐值报告可监控自身关键指标，明确服务优势与短板，帮助实现日常工作完善，同时为打造超级客户、减少客户流失提供重要数据依据。

",https://nidts.chinadep.com/ep-hall/spec?id=4719,综合,"Retail, Location & Marketing Data"
机场/航空公司季度服务测评,2024-04-30,CAPSE民航服务数据,飞友科技有限公司,综合,民航旅客评价信息,数据集,航空运输是大众出行的重要交通方式之一，航空运输服务质量关系到人民群众的出行体验和切身利益，本报告通过数据分析与图表呈现等方式，直观呈现国内民航旅客服务关注点及服务体验感知变化，进而为航空服务行业探索旅客关注点、痛点及需求点提供数据支撑。,民航，出行，旅客,"动态
(每季度更新)",全国,40 MB,0.5 MB,78.0,"

机场&航司可通过服务测评报告将客户反馈与服务质量情况进行数据量化，清晰明确自身在各监测指标维度下的发展情况，同时了解自身发展与同行业其他单位间差距，为制定改善策略提供依据，明确未来提升方向。

",https://nidts.chinadep.com/ep-hall/spec?id=4718,综合,"Retail, Location & Marketing Data"
旅客出行意愿指数（TWI）分析,2024-04-29,CAPSE民航服务数据,飞友科技有限公司,综合,民航旅客评价信息,数据集,旅客出行意愿指数 TWI是指在未来一段周期内（如下个月），结合旅客的出行目的和预计出行次数区间等因素，计算出旅客在一段周期内的出行意愿指数情况（跨市出行），出行意愿指数越高旅客计划出行的意愿和频次越高。此报告可为交通运输行业短期工作规划提供数据参考。,民航，出行，旅客,"动态
(每月更新)",全国,100 MB,1 MB,31.0,"

机场&航司可根据旅客出行意愿指数即TWI的数据结果，判断未来一周旅客出行意愿与频次调节有关区域工作人员安排与整体运力配置，确保高峰时段有足够人力完成旅客出行保障。

",https://nidts.chinadep.com/ep-hall/spec?id=4715,综合,"Retail, Location & Marketing Data"
在线新经济机构信用认证,2024-04-24,在线新经济服务,上海市社会信用促进中心,综合,标准服务,数据应用,按照中国中小企业协会发布的《在线新经济企业信用评价标准》，依托企业公开信息和平台业务数据，实现在线新经济服务机构的信用评分并提供相应的信用查询体系，包括企业信用评分查询、社区服务机构信用评分查询，不仅帮助消费者快速识别服务机构的信用状况，降低上当受骗的风险，而且也更好地促进在线新经济服务机构提供信得过的商品和服务。,在线新经济，行业标准，机构信用,"动态
(实时更新)",全国,2 TB,5 GB,17.0,"

某公司通过在线新经济机构信用认证，向消费者展示自身信用评分及相关资质。



",https://nidts.chinadep.com/ep-hall/spec?id=4685,综合,Financial Services Data
在线新经济品牌信用认证,2024-04-24,在线新经济服务,上海市社会信用促进中心,综合,标准服务,数据应用,按照中国中小企业协会发布的《在线新经济企业信用评价标准》，依托品牌公开信息和平台业务数据，实现在线新经济各类品牌的信用评分并提供相应的信用查询体系，提升品牌的信用价值度。,在线新经济，行业标准，品牌信用,"动态
(实时更新)",全国,20 GB,50 MB,3.0,"

某农产品品牌通过在线新经济机构认证，向消费者展示自身信用评分及相关资质。

",https://nidts.chinadep.com/ep-hall/spec?id=4686,综合,Financial Services Data
企业能力评价报告,2024-04-24,企业评价分析,上海市社会信用促进中心,综合,企业信息,数据应用,以企业大数据为基础，对企业进行全方位的评估并形成综合评估报告，报告从企业的信用状况、能力状况、市场地位、同业对比、经营情况、风险状况、创新能力等多个角度分析了企业在发展过程中的各类特征情况，在招商引资、产业发展、企业合作、投资对比等领域为政府和企业提供决策支持。,企业，能力评价,"动态
(每日更新)",全国,1 TB,1 GB,30.0,"

上海市某区投促中心、街道、园区采购企业能力评价报告，用于企业的价值评估、风险评估和精准服务。

",https://nidts.chinadep.com/ep-hall/spec?id=4683,综合,"Retail, Location & Marketing Data"
金税4.0AI财税分析师,2024-04-23,企业评价分析,上海市社会信用促进中心,综合,企业信息,数据应用,根据数据显示，95%的中小企业未设立税务职能部门，仅仅设置最基础的或兼职的办税员岗位。企业财务人员大多出身财会专业，擅长于会计核算与财务管理，而对于税法则是“无师自通”或“摸着石头过河”。依托企业大数据，借助领先的人工智能和机器学习技术、风控规则库深度支撑、全方位预警指标、一站式解决方案，给企业提供安全、便捷、专业、全面的财税风控服务。,财税，人工智能，大数据,"动态
(每月更新)",全国,600 MB,10 MB,1193.0,"

上海某税务师事务所

客户痛点：  
不清楚客户公司是否具有税务风险，在客户没有意愿的情况下也没法提供相关数据；客户来源比较被动，缺精准抓手工具。

  
解决方案：  
邀请目标客户试用金税4.0AI财税分析师进行检测，检测出税务风险后再跟进沟通需求、解决方案，6份报告总共转化成交58.5万。

  
应用效果：  
金税4.0AI财税分析师针对具备税务风险后市场解决能力的税所是一个精准且高效的获客工具。

",https://nidts.chinadep.com/ep-hall/spec?id=4682,综合,Financial Services Data
城市经济视界,2024-04-22,城市经济研究分析,上海市社会信用促进中心,综合,企业信息,数据应用,依托与城市发展相关的经济类大数据以及建模分析技术，从宏观（省市等地域）、中观（行业、产业等板块）、微观（企业）等不同视角，全方面、多层次展示城市、行业、产业、企业等主体的发展特征以及相互之间的关联体系，帮助政府在行业发展、产业融合、招商引资等领域以及企业在投资决策、业务合作等领域提供信息服务和决策支持。,实时统计，特征指数，企业发展,"动态
(每小时更新)",全国,1 TB,6 GB,50.0,"

自2020年起，上海市人民政府合作交流办公室在上海企业“请进来、走出去”的信息收集和数据分析工作中，以购买服务形式，采购上海市社会信用促进中心的数据产品。  
该产品数据详实、分析全面，达到市合作交流办预期效果，被广泛运用于多种合作交流工作场景，为市合作交流办履行其工作职责，更好发挥其作用提供了重要支撑。

",https://nidts.chinadep.com/ep-hall/spec?id=4681,综合,Financial Services Data
企业科技评分,2024-04-17,摩矿数据,上海富由大数据科技股份有限公司,综合,企业信息,数据应用,摩矿数据基于海量的的企业基本及业务数据，面向各垂直行业客户提供的标准化数据产品和定制化服务。通过对公司的技术基础设施、研发投入、知识产权情况等方面的评估，为市场提供了一个客观、可比较的标准，对企业的技术价值和创新潜力做展示。,科技评分，创新潜力，大数据,"动态
(实时更新)",全国,1 TB,1 MB,94.0,"

一家科技园区管理机构正致力于吸引更多高科技企业入驻，并希望能够对这些企业的技术价值和创新潜力进行全面评估。利用该产品，园区管理机构可以对企业的技术基础设施、研发投入、知识产权等方面进行详尽评估。这使他们能够更好地了解园区内企业的技术实力，为园区提供有针对性的支持和发展方向。







",https://nidts.chinadep.com/ep-hall/spec?id=4662,综合,"Retail, Location & Marketing Data"
