title,data_type,click_times,description,price,deal_times,version,product_type,category,classification,management,update_frequency,sample_time,data_size,data_form,detail_description,price_type,api_info,cur_url,new_category,category_aws
新运营商三要素验证(身份证+姓名+手机),API,4883.0,通过比对姓名、身份证号、手机号的一致性，核验手机用户身份信息的真伪。三网合一，支持电信、联通、移动运营商的手机号核验,0.50元/次,0笔,v1.0,数据产品,"金融科技,风险管控",核心数据,公共数据,不定时更新,2022-08-21至2022-08-27,100 TB,结构化,"  
  
三网手机号码实名认证，运营商实名认证
运营商实名认证接口，通过比对姓名、身份证号、手机号的一致性，核验手机用户身份信息的真伪。三网合一，支持电信、联通、移动运营商的手机号核验。直连权威数据源，提供高精准优质服务，数据实时更新，毫秒级响应，保证验证的时效性和有效性，满足各项验证需求。

","

计费方式

计费方式

计费方式

按套餐计费

计费条件

查得计费

套餐类型

调用次数套餐

产品规格| 套餐调用次数（次）| 售价(元)| 单次价格  
---|---|---|---  
¥0.50/1次 | 1|  ¥0.50 |  ¥0.50元/次  
  
有效期

长期

","基础信息

接口地址

https://ditmapi.zjdex.com/zjdex/dm-api/api/v2/verify/verifyCMPP

支持格式

json

请求方式

post

请求示例

https://ditmapi.zjdex.com/zjdex/dm-api/api/v2/verify/verifyCMPP

接口备注

请求头参数

字段| 必填| 数据类型| 示例值| 说明  
---|---|---|---|---  
orderid|  true | String| 2021110417170430000004| 购买商品对应的订单编号  
token|  true | String| | 验证加密值 Md5(publicKey+timestamp+privateKey) 加密的32位大写字符串  
timestamp|  true | String| | 精确到毫秒的Unix时间戳  
publicKey|  true | String| | 本平台分配的开发者公钥  
content-type|  true | String| application/json; charset=UTF-8| 请使用UTF-8编码  
  
请求参数

字段| 必填| 数据类型| 示例值| 说明  
---|---|---|---|---  
name|  是 | String| 张三| 姓名  
identity|  是 | String| 3301**********1023| 身份证号码，15或18位  
phone|  是 | String| 188****6655| 手机号码验证  
  
返回参数说明

字段| 数据类型| 说明  
---|---|---  
type| Number| 1-核验一致 2-核验不一致 500418-无效证件号/参数异常 500419-系统错误 500420-不存在
500421-无法验证 500422-未授权IP/可用金额不足/无效客户/签名校验失败 500423-暂无权限  
desc| String| String 核验一致 String 核验不一致 String 无效证件号、参数异常 String 系统错误 String
不存在 String 无法验证 String 未授权IP/可用金额不足/无效客户/签名校验失败 String 暂无权限  
transNo| String| 唯一编号  
  
返回示例

    
    
    {
        ""status"": 0,
        ""data"": {
            ""type"": 1,
            ""desc"": ""一致"",
            ""transNo"": ""747555f9d3dc734d986f693bfc18363a""
        }
    }

  

系统错误码

错误码| 说明  
---|---  
0| 请求成功  
-1| 服务器繁忙,请重试  
-101| 请求参数错误  
1001| 商户不存在  
1002| 签名错误  
1003| 商户可用余额不足  
1004| 商户未开通产品  
1005| 商户产品未启用  
2001| 订单号重复  
2002| 订单号不存在  
3001| 交易异常，具体咨询技术人员

",https://ditm.zjdex.com/data-service/product-details?id=1458736983698976770&displayPrice=0.50%E5%85%83%2F%E6%AC%A1&productType=2,金融科技,Financial Services Data
天道分 V2-互联网现金分期场景分,API,2081.0,（根据手机号码、身份证号码、姓名）获取通用评分天道分模型数据。,0.30元/次,0笔,v2.0,数据产品,"金融科技,风险管控",核心数据,公共数据,不定时更新,2022-08-01至2022-08-31,10 TB,结构化,"  
  
产品描述：

自行研发而来，使用银行、互金、理财、保险等多领域活跃度数据以及信贷历史行为数据训练而来，值在0~1之间，值越大，坏用户概率越高。

产品优势：

1、训练样本丰富，覆盖多个互联网金融机构

2、底层信息多元，覆盖收支、借贷、理财、保险等多领域行为数据

产品使用人群：

金融机构、数据机构

","

计费方式

计费方式

计费方式

按套餐计费

计费条件

查得计费

套餐类型

调用次数套餐

产品规格| 套餐调用次数（次）| 售价(元)| 单次价格  
---|---|---|---  
¥0.30/1次 | 1|  ¥0.30 |  ¥0.30元/次  
  
有效期

长期

","

基础信息

接口地址

https://ditmapi.zjdex.com/zjdex/dm-api/api/v2/verify/finInCashScoreModel4

支持格式

json

请求方式

post

请求示例

https://ditmapi.zjdex.com/zjdex/dm-api/api/v2/verify/finInCashScoreModel4

接口备注

请求头参数

字段| 必填| 数据类型| 示例值| 说明  
---|---|---|---|---  
orderid|  true | String| 2021110417170430000004| 购买商品对应的订单编号  
token|  true | String| | 验证加密值 Md5(publicKey+timestamp+privateKey) 加密的32位大写字符串  
timestamp|  true | String| | 精确到毫秒的Unix时间戳  
publicKey|  true | String| | 本平台分配的开发者公钥  
content-type|  true | String| application/json; charset=UTF-8| 请使用UTF-8编码  
  
请求参数

字段| 必填| 数据类型| 示例值| 说明  
---|---|---|---|---  
name|  否 | String| 张三| 姓名  
identity|  否 | String| 3301**********1023| 身份证号码，15或18位  
phone|  是 | String| 188****6655| 手机号码验证（支持明文、MD5(小写)、SHA256 三种参数）  
  
返回参数说明

字段| 数据类型| 说明  
---|---|---  
FinInCashScore| Number| 越大越坏  
  
返回示例

    
    
    {
        ""code"": ""00"",
        ""errorMsg"": ""成功"",
        ""transNo"": ""2f54777e288129771a1dacc22a428f66"",
        ""data"": {
            ""FinInCashScore"": "" 0.039240""
        }
    }

  

系统错误码

错误码| 说明  
---|---  
0| 请求成功  
-1| 服务器繁忙,请重试  
-101| 请求参数错误  
1001| 商户不存在  
1002| 签名错误  
1003| 商户可用余额不足  
1004| 商户未开通产品  
1005| 商户产品未启用  
2001| 订单号重复  
2002| 订单号不存在  
3001| 交易异常，具体咨询技术人员

",https://ditm.zjdex.com/data-service/product-details?id=1458764076033912833&displayPrice=0.30%E5%85%83%2F%E6%AC%A1&productType=2,金融科技,Financial Services Data
全景全息西安古城墙倾斜三维模型,数据集,1230.0,通过倾斜摄影技术，1比1真实还原西安古城墙。,300000.00元,0笔,1.0,数据产品,"城市治理,未来社区",重要数据,公共数据,不定时更新,2020-08-20至2020-09-24,80 GB,非结构化,"

1比1真实还原西安古城墙。通过倾斜摄影技术，使用无人机对古城墙按规定的路线点位进行照片拍摄，具体技术参数如下：地面分辨率 ＜ 1.5cm
，飞行高度高于建模目标不超过30m ，无人机为大疆m600pro和大疆精灵4rtk，内业处理软件为photoshop、ContextCapture。
该成果数据为公司独立飞行制作完成，且不存在抄袭、复制他人作品的情形。

","

计费方式

计费方式

一口价

售价(元)

300000.00

",,https://ditm.zjdex.com/data-service/product-details?id=1660602933171658754&displayPrice=300000.00%E5%85%83&productType=0,城市治理,Public Sector Data
二要素验证(身份证号和姓名),API,1217.0,验证二要素（身份证号和姓名）是否一致。,0.04元/次,0笔,v1.0,数据,"金融科技,风险管控",核心数据,公共数据,不定时更新,2022-07-01至2022-07-31,10 TB,结构化,"  
  
产品描述：

输入姓名和身份证号，即可快速验证姓名与身份证号的真实性和一致性。可用于金融、保险、在线教育、新零售、电商、租赁、物流、旅游等需要实名认证场景。

  

产品优势：

直连权威数据源，提供高精准优质服务，数据实时更新，毫秒级响应，保证验证的时效性和有效性，满足各项验证需求

","

计费方式

计费方式

计费方式

按套餐计费

计费条件

查得计费

套餐类型

调用次数套餐

产品规格| 套餐调用次数（次）| 售价(元)| 单次价格  
---|---|---|---  
¥0.04/1次 | 1|  ¥0.04 |  ¥0.04元/次  
  
有效期

长期

","

基础信息

接口地址

https://ditmapi.zjdex.com/zjdex/dm-api/api/v2/verify/verifyIdName

支持格式

json

请求方式

post

请求示例

https://ditmapi.zjdex.com/zjdex/dm-api/api/v2/verify/verifyIdName

接口备注

请求头参数

字段| 必填| 数据类型| 示例值| 说明  
---|---|---|---|---  
orderid|  true | String| 2021110417170430000004| 购买商品对应的订单编号  
token|  true | String| | 验证加密值 Md5(publicKey+timestamp+privateKey) 加密的32位大写字符串  
timestamp|  true | String| | 精确到毫秒的Unix时间戳  
publicKey|  true | String| | 本平台分配的开发者公钥  
content-type|  true | String| application/json; charset=UTF-8| 请使用UTF-8编码  
  
请求参数

字段| 必填| 数据类型| 示例值| 说明  
---|---|---|---|---  
name|  是 | String| 张三| 姓名  
identity|  是 | String| 3301**********1023| 身份证号码，15或18位  
  
返回参数说明

字段| 数据类型| 说明  
---|---|---  
type| Number| 1-核验一致 2-核验不一致 3-查无  
desc| String| 验证的结果描述  
transNo| String| 唯一编号  
  
返回示例

    
    
    {
        ""status"": 0,
        ""data"": {
            ""type"": 1,
            ""desc"": ""一致"",
            ""transNo"": ""747555f9d3dc734d986f693bfc18363a""
        }
    }

  

系统错误码

错误码| 说明  
---|---  
0| 请求成功  
-1| 服务器繁忙,请重试  
-101| 请求参数错误  
1001| 商户不存在  
1002| 签名错误  
1003| 商户可用余额不足  
1004| 商户未开通产品  
1005| 商户产品未启用  
2001| 订单号重复  
2002| 订单号不存在  
3001| 交易异常，具体咨询技术人员

",https://ditm.zjdex.com/data-service/product-details?id=1458729528487194626&displayPrice=0.04%E5%85%83%2F%E6%AC%A1&productType=2,金融科技,Financial Services Data
天道分 V2-银行贷款场景分,API,1143.0,（根据手机号码、身份证号码、姓名）获取通用评分天道分模型数据。,0.30元/次,1笔,v2.0,数据产品,"金融科技,风险管控",核心数据,公共数据,不定时更新,2022-07-01至2022-07-31,10 条,结构化,"  
  
产品描述：

自行研发而来，使用银行、互金、理财、保险等多领域活跃度数据以及信贷历史行为数据训练而来，值在0~1之间，值越大，坏用户概率越高。

产品优势：

1、训练样本丰富，覆盖多个互联网金融机构

2、底层信息多元，覆盖收支、借贷、理财、保险等多领域行为数据

产品使用人群：

金融机构、数据机构

","

计费方式

计费方式

计费方式

按套餐计费

计费条件

查得计费

套餐类型

调用次数套餐

产品规格| 套餐调用次数（次）| 售价(元)| 单次价格  
---|---|---|---  
¥0.30/1次 | 1|  ¥0.30 |  ¥0.30元/次  
  
有效期

长期

","

基础信息

接口地址

https://ditmapi.zjdex.com/zjdex/dm-api/api/v2/verify/bankLoanScoreModel2

支持格式

json

请求方式

post

请求示例

https://ditmapi.zjdex.com/zjdex/dm-api/api/v2/verify/bankLoanScoreModel2

接口备注

请求头参数

字段| 必填| 数据类型| 示例值| 说明  
---|---|---|---|---  
orderid|  true | String| 2021110417170430000004| 购买商品对应的订单编号  
token|  true | String| | 验证加密值 Md5(publicKey+timestamp+privateKey) 加密的32位大写字符串  
timestamp|  true | String| | 精确到毫秒的Unix时间戳  
publicKey|  true | String| | 本平台分配的开发者公钥  
content-type|  true | String| application/json; charset=UTF-8| 请使用UTF-8编码  
  
请求参数

字段| 必填| 数据类型| 示例值| 说明  
---|---|---|---|---  
name|  否 | String| 张三| 姓名  
identity|  否 | String| 3301**********1023| 身份证号码，15或18位  
phone|  是 | String| 188****6655| 手机号码验证（支持明文、MD5(小写)、SHA256 三种参数）  
  
返回参数说明

字段| 数据类型| 说明  
---|---|---  
BankLoanScore| Number| 越大越坏  
  
返回示例

{

   ""code"": ""00"",

   ""errorMsg"": ""成功"",

   ""transNo"": ""2f54777e288129771a1dacc22a428f66"",

   ""data"": {

       ""BankLoanScore"": "" 0.039240""

   }

}

系统错误码

错误码| 说明  
---|---  
0| 请求成功  
-1| 服务器繁忙,请重试  
-101| 请求参数错误  
1001| 商户不存在  
1002| 签名错误  
1003| 商户可用余额不足  
1004| 商户未开通产品  
1005| 商户产品未启用  
2001| 订单号重复  
2002| 订单号不存在  
3001| 交易异常，具体咨询技术人员

",https://ditm.zjdex.com/data-service/product-details?id=1458760798483132418&displayPrice=0.30%E5%85%83%2F%E6%AC%A1&productType=2,金融科技,Financial Services Data
天道分 V2-银行信用卡场景分,API,969.0,（根据手机号码、身份证号码、姓名）获取通用评分天道分模型数据。,0.30元/次,0笔,v1.0,数据产品,"金融科技,风险管控",核心数据,公共数据,不定时更新,2022-07-01至2022-07-31,10 TB,结构化,"  
  
产品描述：

自行研发而来，使用银行、互金、理财、保险等多领域活跃度数据以及信贷历史行为数据训练而来，值在0~1之间，值越大，坏用户概率越高。

产品优势：

1、训练样本丰富，覆盖多个互联网金融机构

2、底层信息多元，覆盖收支、借贷、理财、保险等多领域行为数据

产品使用人群：

金融机构、数据机构

","

计费方式

计费方式

计费方式

按套餐计费

计费条件

查得计费

套餐类型

调用次数套餐

产品规格| 套餐调用次数（次）| 售价(元)| 单次价格  
---|---|---|---  
¥0.30/1次 | 1|  ¥0.30 |  ¥0.30元/次  
  
有效期

长期

","

基础信息

接口地址

https://ditmapi.zjdex.com/zjdex/dm-api/api/v2/verify/creditCardScoreModel1

支持格式

json

请求方式

post

请求示例

https://ditmapi.zjdex.com/zjdex/dm-api/api/v2/verify/creditCardScoreModel1

接口备注

请求头参数

字段| 必填| 数据类型| 示例值| 说明  
---|---|---|---|---  
orderid|  true | String| 2021110417170430000004| 购买商品对应的订单编号  
token|  true | String| | 验证加密值 Md5(publicKey+timestamp+privateKey) 加密的32位大写字符串  
timestamp|  true | String| | 精确到毫秒的Unix时间戳  
publicKey|  true | String| | 本平台分配的开发者公钥  
content-type|  true | String| application/json; charset=UTF-8| 请使用UTF-8编码  
  
请求参数

字段| 必填| 数据类型| 示例值| 说明  
---|---|---|---|---  
name|  否 | String| 张三| 姓名  
identity|  否 | String| 3301**********1023| 身份证号码，15或18位  
phone|  是 | String| 188****6655| 手机号码验证（支持明文、MD5(小写)、SHA256 三种参数）  
  
返回参数说明

字段| 数据类型| 说明  
---|---|---  
CreditCardScore| Number| 越大越坏  
  
返回示例

{

""code"": ""00"",

""data"": {

 ""CreditCardScore"": ""0.002717""

},

""errorMsg"": ""成功"",

""status"": 0,

""transNo"": ""060c8ed46e649f34b8a95f91d1ffac1b""

}

系统错误码

错误码| 说明  
---|---  
0| 请求成功  
-1| 服务器繁忙,请重试  
-101| 请求参数错误  
1001| 商户不存在  
1002| 签名错误  
1003| 商户可用余额不足  
1004| 商户未开通产品  
1005| 商户产品未启用  
2001| 订单号重复  
2002| 订单号不存在  
3001| 交易异常，具体咨询技术人员

",https://ditm.zjdex.com/data-service/product-details?id=1458759238470479874&displayPrice=0.30%E5%85%83%2F%E6%AC%A1&productType=2,金融科技,Financial Services Data
产业大数据,数据集,913.0,9大战兴产业链图谱；产业链上企业，产品，专利，政策，舆情，投融资，人才，园区；精准推荐链上优质企业及企业画像信息,300000.00元,0笔,1.0,数据产品,"企业服务,运营优化",重要数据,公共数据,实时更新,待完善,10 TB,二者皆有,"

产品名称：产业大数据

产业应用场景：应用在产业链精准拓客和产业链招商

产品介绍：9大战兴产业链图谱；产业链上企业，产品，专利，政策，舆情，投融资，人才，园区；精准推荐链上优质企业及企业画像信息（生物医药、新能源、汽车、高端装备制造、新材料、新一代信息技术等）

数据来源：工商、知识产权局、政府部门、互联网新闻站点、高校，行业协会等

","

计费方式

计费方式

一口价

售价(元)

300000.00

",,https://ditm.zjdex.com/data-service/product-details?id=1692374904167145474&displayPrice=300000.00%E5%85%83&productType=0,企业服务,"Retail, Location & Marketing Data"
天道分 V2-互联网综合场景分,API,874.0,（根据手机号码、身份证号码、姓名）获取通用评分天道分模型数据。,0.30元/次,0笔,v2.0,数据产品,"金融科技,风险管控",核心数据,公共数据,不定时更新,2022-08-01至2022-08-24,10 TB,结构化,"  
  
产品描述：

自行研发而来，使用银行、互金、理财、保险等多领域活跃度数据以及信贷历史行为数据训练而来，值在0~1之间，值越大，坏用户概率越高。

产品优势：

1、训练样本丰富，覆盖多个互联网金融机构

2、底层信息多元，覆盖收支、借贷、理财、保险等多领域行为数据

产品使用人群：

金融机构、数据机构

","

计费方式

计费方式

计费方式

按套餐计费

计费条件

查得计费

套餐类型

调用次数套餐

产品规格| 套餐调用次数（次）| 售价(元)| 单次价格  
---|---|---|---  
¥0.30/1次 | 1|  ¥0.30 |  ¥0.30元/次  
  
有效期

长期

","

基础信息

接口地址

https://ditmapi.zjdex.com/zjdex/dm-api/api/v2/verify/finInGeneralScoreModel6

支持格式

json

请求方式

post

请求示例

https://ditmapi.zjdex.com/zjdex/dm-api/api/v2/verify/finInGeneralScoreModel6

接口备注

请求头参数

字段| 必填| 数据类型| 示例值| 说明  
---|---|---|---|---  
orderid|  true | String| 2021110417170430000004| 购买商品对应的订单编号  
token|  true | String| | 验证加密值 Md5(publicKey+timestamp+privateKey) 加密的32位大写字符串  
timestamp|  true | String| | 精确到毫秒的Unix时间戳  
publicKey|  true | String| | 本平台分配的开发者公钥  
content-type|  true | String| application/json; charset=UTF-8| 请使用UTF-8编码  
  
请求参数

字段| 必填| 数据类型| 示例值| 说明  
---|---|---|---|---  
name|  否 | String| 张三| 姓名  
identity|  否 | String| 3301**********1023| 身份证号码，15或18位  
phone|  是 | String| 188****6655| 手机号码验证（支持明文、MD5(小写)、SHA256 三种参数）  
  
返回参数说明

字段| 数据类型| 说明  
---|---|---  
FinInGeneralScore| Number| 越大越坏  
  
返回示例

    
    
    {
        ""code"": ""00"",
        ""errorMsg"": ""成功"",
        ""transNo"": ""2f54777e288129771a1dacc22a428f66"",
        ""data"": {
            ""FinInGeneralScore"": ""0.027604""
        }
    }

  

系统错误码

错误码| 说明  
---|---  
0| 请求成功  
-1| 服务器繁忙,请重试  
-101| 请求参数错误  
1001| 商户不存在  
1002| 签名错误  
1003| 商户可用余额不足  
1004| 商户未开通产品  
1005| 商户产品未启用  
2001| 订单号重复  
2002| 订单号不存在  
3001| 交易异常，具体咨询技术人员

",https://ditm.zjdex.com/data-service/product-details?id=1458766898519486466&displayPrice=0.30%E5%85%83%2F%E6%AC%A1&productType=2,金融科技,Financial Services Data
天御分 V1-互联网消费金融场景分,API,852.0,（根据手机号码、身份证号码、姓名）获取通用评分天御分模型数据。,0.30元/次,0笔,V1.0,数据产品,"金融科技,风险管控",核心数据,公共数据,实时更新,2022-07-01至2022-07-31,100 TB,结构化,"  
  
产品描述：

自行研发而来，使用银行、互金、理财、保险等多领域活跃度数据以及信贷历史行为数据训练而来，值在0~1之间，值越大，坏用户概率越高。

  

产品优势：

1、训练样本丰富，覆盖多个互联网金融机构

2、底层信息多元，覆盖收支、借贷、理财、保险等多领域行为数据

","

计费方式

计费方式

计费方式

按套餐计费

计费条件

查得计费

套餐类型

调用次数套餐

产品规格| 套餐调用次数（次）| 售价(元)| 单次价格  
---|---|---|---  
¥0.30/1次 | 1|  ¥0.30 |  ¥0.30元/次  
  
有效期

长期

","

基础信息

接口地址

https://ditmapi.zjdex.com/zjdex/dm-
api/api/v2/verify/fraudInConsumerScoreModel2

支持格式

json

请求方式

post

请求示例

https://ditmapi.zjdex.com/zjdex/dm-
api/api/v2/verify/fraudInConsumerScoreModel2

接口备注

请求头参数

字段| 必填| 数据类型| 示例值| 说明  
---|---|---|---|---  
orderid|  true | String| 2021110417170430000004| 购买商品对应的订单编号  
token|  true | String| | 验证加密值 Md5(publicKey+timestamp+privateKey) 加密的32位大写字符串  
timestamp|  true | String| | 精确到毫秒的Unix时间戳  
publicKey|  true | String| | 本平台分配的开发者公钥  
content-type|  true | String| application/json; charset=UTF-8| 请使用UTF-8编码  
  
请求参数

字段| 必填| 数据类型| 示例值| 说明  
---|---|---|---|---  
name|  否 | String| 张三| 姓名  
identity|  否 | String| 330100199010011357| 身份证号码，15或18位  
phone|  是 | String| 13513572246| 手机号码验证（支持明文、MD5(小写)、SHA256 三种参数）  
  
返回参数说明

字段| 数据类型| 说明  
---|---|---  
FraudInConsumerScore| Number| 越大越坏  
  
返回示例

    
    
    {
        ""code"": ""00"",
        ""errorMsg"": ""成功"",
        ""transNo"": ""2f54777e288129771a1dacc22a428f66"",
        ""data"": {
            ""FraudInConsumerScore"": ""0.027604""
        }
    }

  

系统错误码

错误码| 说明  
---|---  
0| 请求成功  
-1| 服务器繁忙,请重试  
-101| 请求参数错误  
1001| 商户不存在  
1002| 签名错误  
1003| 商户可用余额不足  
1004| 商户未开通产品  
1005| 商户产品未启用  
2001| 订单号重复  
2002| 订单号不存在  
3001| 交易异常，具体咨询技术人员

",https://ditm.zjdex.com/data-service/product-details?id=1458769455019077633&displayPrice=0.30%E5%85%83%2F%E6%AC%A1&productType=2,金融科技,Financial Services Data
天道分 V2-银行综合场景分,API,804.0,（根据手机号码、身份证号码、姓名）获取通用评分天道分模型数据。,0.30元/次,1笔,V1.0,数据产品,"金融科技,风险管控",核心数据,公共数据,实时更新,2022-07-01至2022-07-31,100 TB,结构化,"  
  
产品描述：

自行研发而来，使用银行、互金、理财、保险等多领域活跃度数据以及信贷历史行为数据训练而来，值在0~1之间，值越大，坏用户概率越高。

  

产品优势：

1、训练样本丰富，覆盖多个互联网金融机构

2、底层信息多元，覆盖收支、借贷、理财、保险等多领域行为数据

  

","

计费方式

计费方式

计费方式

按套餐计费

计费条件

查得计费

套餐类型

调用次数套餐

产品规格| 套餐调用次数（次）| 售价(元)| 单次价格  
---|---|---|---  
¥0.30/1次 | 1|  ¥0.30 |  ¥0.30元/次  
  
有效期

长期

","

基础信息

接口地址

https://ditmapi.zjdex.com/zjdex/dm-api/api/v2/verify/bankGeneralScoreModel3

支持格式

json

请求方式

post

请求示例

https://ditmapi.zjdex.com/zjdex/dm-api/api/v2/verify/bankGeneralScoreModel3

接口备注

请求头参数

字段| 必填| 数据类型| 示例值| 说明  
---|---|---|---|---  
orderid|  true | String| 2021110417170430000004| 购买商品对应的订单编号  
token|  true | String| | 验证加密值 Md5(publicKey+timestamp+privateKey) 加密的32位大写字符串  
timestamp|  true | String| | 精确到毫秒的Unix时间戳  
publicKey|  true | String| | 本平台分配的开发者公钥  
content-type|  true | String| application/json; charset=UTF-8| 请使用UTF-8编码  
  
请求参数

字段| 必填| 数据类型| 示例值| 说明  
---|---|---|---|---  
name|  否 | String| 张三| 姓名  
identity|  否 | String| 3301**********0579| 身份证号码，15或18位  
phone|  是 | String| 136****2246| 手机号码验证（支持明文、MD5(小写)、SHA256 三种参数）  
  
返回参数说明

字段| 数据类型| 说明  
---|---|---  
BankGeneralScore| Number| 越大越坏  
  
返回示例

{

   ""code"": ""00"",

   ""errorMsg"": ""成功"",

   ""transNo"": ""2f54777e288129771a1dacc22a428f66"",

   ""data"": {

       ""FinlnCashScore"": "" 0.039240""

   }

}

系统错误码

错误码| 说明  
---|---  
0| 请求成功  
-1| 服务器繁忙,请重试  
-101| 请求参数错误  
1001| 商户不存在  
1002| 签名错误  
1003| 商户可用余额不足  
1004| 商户未开通产品  
1005| 商户产品未启用  
2001| 订单号重复  
2002| 订单号不存在  
3001| 交易异常，具体咨询技术人员

",https://ditm.zjdex.com/data-service/product-details?id=1458762323406237697&displayPrice=0.30%E5%85%83%2F%E6%AC%A1&productType=2,金融科技,Financial Services Data
