#,company,review_id,posted_date,city,state,company_country,company_industry,full_review_text,rating,position,status,length_of_employment,pros,cons,management_advice,recommends,opinion_of_ceo,business_outlook,language,review_url,culture_and_values_rating,diversity_and_inclusion_rating,senior_management_rating,work_life_balance_rating,carrier_opportunities_rating,compensation_and_benefits_rating,helpful,not_helpful,company_foundedyear,company_type,company_revenue,company_aboutus,company_employeecount,company_ticker,company_location,company_id,company_url,company_competitors,company_ceoname,company_affiliations
1,Hermès,51934634,2021-09-01,New York,NY,France,"Department, Clothing & Shoe Stores",Workes are nice and it's a job. If you look the part or get lucky you can get promoted Overworked...,3,,REGULAR,9,Workes are nice and it's a job. If you look the part or get lucky you can get promoted,Overworked and been here for years and barely any raises.,Managenent should Train the workers you already have instead of hiring more. Invest in workers to...,No,N/A,N/A,eng,https://www.glassdoor.com/Reviews/Employee-Review-Hermès-RVW51934634.htm,3,3,3,2,2,3,1,0,,Company - Public,$10+ billion (USD),,,RMS,"Paris, France",10907,"https://www.glassdoor.com/Overview/Working-at-Hermès-EI_IE10907.11,17.htm","Burberry,Fossil Group,Richemont",,
2,BurgerFi,27422637,2019-06-15,New York,NY,United States,Restaurants & Cafes,Nothing Positive At All If Not To Be Offered Mere Ten Work Hours A Week Narrow Field To Envisag...,1,Store Associate,PART_TIME,1,Nothing Positive At All If Not To Be Offered Mere Ten Work Hours A Week,Narrow Field To Envisage Growth And Experience,Ensure supervisors are fit to handle supervision tasks,No,No,No,eng,https://www.glassdoor.com/Reviews/Employee-Review-BurgerFi-RVW27422637.htm,1,0,1,1,1,1,1,0,,Company - Public,$100 to $500 million (USD),,,BFI,"North Palm Beach, FL",805746,"https://www.glassdoor.com/Overview/Working-at-BurgerFi-EI_IE805746.11,19.htm",,,
3,BurgerFi,24724821,2019-02-15,Hempstead,NY,United States,Restaurants & Cafes,The Pay is good Opportunity for growth Long hours delivery of products takes longer than usual,3,Kitchen Manager,REGULAR,2,The Pay is good Opportunity for growth,Long hours delivery of products takes longer than usual,,No,No,No,eng,https://www.glassdoor.com/Reviews/Employee-Review-BurgerFi-RVW24724821.htm,2,0,2,2,2,2,0,0,,Company - Public,$100 to $500 million (USD),,,BFI,"North Palm Beach, FL",805746,"https://www.glassdoor.com/Overview/Working-at-BurgerFi-EI_IE805746.11,19.htm",,,
4,Hermès,50458999,2021-07-29,New York,NY,France,"Department, Clothing & Shoe Stores","Company has great Health benefits, the work environment is pretty layback and the employee does n...",3,Sales Associate,REGULAR,0,"Company has great Health benefits, the work environment is pretty layback and the employee does n...",Individual does not have control over what he/she can sell. Every item they try to sell has to ru...,,N/A,N/A,N/A,eng,https://www.glassdoor.com/Reviews/Employee-Review-Hermès-RVW50458999.htm,0,0,0,0,0,0,3,0,,Company - Public,$10+ billion (USD),,,RMS,"Paris, France",10907,"https://www.glassdoor.com/Overview/Working-at-Hermès-EI_IE10907.11,17.htm","Burberry,Fossil Group,Richemont",,
5,Hermès,49498001,2021-07-08,New York,NY,France,"Department, Clothing & Shoe Stores",The best brand in luxury retail Good discounts See celebrities Good for resume Great family ...,4,Service Selling Associate,REGULAR,1,The best brand in luxury retail Good discounts See celebrities Good for resume Great family,I can’t really mention any,,Yes,N/A,Yes,eng,https://www.glassdoor.com/Reviews/Employee-Review-Hermès-RVW49498001.htm,5,4,3,3,3,3,0,0,,Company - Public,$10+ billion (USD),,,RMS,"Paris, France",10907,"https://www.glassdoor.com/Overview/Working-at-Hermès-EI_IE10907.11,17.htm","Burberry,Fossil Group,Richemont",,
6,BurgerFi,20270573,2018-04-23,Oceanside,NY,United States,Restaurants & Cafes,"The pros of working here included that it wasn’t too far of a commute, the pay was just what I ne...",5,Sales Associate/Cashier,PART_TIME,1,"The pros of working here included that it wasn’t too far of a commute, the pay was just what I ne...","Working with food can be tough, especially when people’s orders aren’t right. I had to learn pati...",,Yes,Yes,Neutral,eng,https://www.glassdoor.com/Reviews/Employee-Review-BurgerFi-RVW20270573.htm,5,0,5,5,5,5,0,0,,Company - Public,$100 to $500 million (USD),,,BFI,"North Palm Beach, FL",805746,"https://www.glassdoor.com/Overview/Working-at-BurgerFi-EI_IE805746.11,19.htm",,,
7,Hermès,48598570,2021-06-20,New York,NY,France,"Department, Clothing & Shoe Stores","amazing management, great culture, amazing benefits, good work/life balance can't think of any th...",5,Sales Associate,REGULAR,0,"amazing management, great culture, amazing benefits, good work/life balance",can't think of any thing,none,Yes,Yes,Yes,eng,https://www.glassdoor.com/Reviews/Employee-Review-Hermès-RVW48598570.htm,5,5,5,5,3,5,0,0,,Company - Public,$10+ billion (USD),,,RMS,"Paris, France",10907,"https://www.glassdoor.com/Overview/Working-at-Hermès-EI_IE10907.11,17.htm","Burberry,Fossil Group,Richemont",,
8,Hermès,48170643,2021-06-10,New York,NY,France,"Department, Clothing & Shoe Stores","None, HR team is manipulative and condescending. Pretends to care, but all for show. This is the ...",1,,REGULAR,2,"None, HR team is manipulative and condescending. Pretends to care, but all for show. This is the ...",The company is forcing employees from the corporate office to return to work full time starting J...,Allow some flexibility. Listen to your employees and their concerns. Don’t say we’re a ‘family’ a...,No,N/A,N/A,eng,https://www.glassdoor.com/Reviews/Employee-Review-Hermès-RVW48170643.htm,1,1,1,1,1,1,5,0,,Company - Public,$10+ billion (USD),,,RMS,"Paris, France",10907,"https://www.glassdoor.com/Overview/Working-at-Hermès-EI_IE10907.11,17.htm","Burberry,Fossil Group,Richemont",,
9,BurgerFi,16580667,2017-08-29,Oceanside,NY,United States,Restaurants & Cafes,Fun Enviroment and loud music. Corporate is horrible and treat employees like slaves. Act like hu...,2,Supervisor,REGULAR,2,Fun Enviroment and loud music.,Corporate is horrible and treat employees like slaves.,Act like human beings and not focus only on making money.,No,No,No,eng,https://www.glassdoor.com/Reviews/Employee-Review-BurgerFi-RVW16580667.htm,2,0,2,2,2,2,0,0,,Company - Public,$100 to $500 million (USD),,,BFI,"North Palm Beach, FL",805746,"https://www.glassdoor.com/Overview/Working-at-BurgerFi-EI_IE805746.11,19.htm",,,
10,BurgerFi,16485555,2017-08-23,New York,NY,United States,Restaurants & Cafes,"Great salary and lots of travel. Great investment in talent acquisition, systems in place to grow...",3,Special Projects Manager,REGULAR,2,"Great salary and lots of travel. Great investment in talent acquisition, systems in place to grow...",Too much time away from home. Talent is disposable. Very little support for manager outside Flori...,Protecting the brand should really as important as is the people that makes the brand.,Yes,Yes,Neutral,eng,https://www.glassdoor.com/Reviews/Employee-Review-BurgerFi-RVW16485555.htm,3,0,2,2,4,5,0,0,,Company - Public,$100 to $500 million (USD),,,BFI,"North Palm Beach, FL",805746,"https://www.glassdoor.com/Overview/Working-at-BurgerFi-EI_IE805746.11,19.htm",,,
