#,Longitude,Latitude,GeoLevelDescription,ID,CompanyName,TradeName,Address1,Address2,PostCode,City,Province,Region,Country,Language,Phone,Fax,Mobile,Email,Website,NationalID,NationalIdentificationTypeCodeDescription,NationalIDIsVat,InternationalCode01,InternationalLabel01,PrimaryLocalActivityCode,LocalActivityTypeCode,MarketabilityIndicator,YearStarted,NumberOfFamilyMembers,CEOName,CEOTitle,CEOFirstName,CEOLastName,CEOGender,CEOLanguage,EmployeesHereReliabilityCodeDescription,EmployeesTotalReliabilityCodeDescription,EmployeesHere,EmployeesTotal,ImportExportAgentCodeDescription,LegalStatusCodeDescription,StatusCodeDescription,SalesVolume,SalesVolumeDollars,SalesVolumeEuros,CurrencyCode,SalesVolumeReliabilityCodeDescription,Longitude,Latitude,GeoLevelDescription
1,-73.2290962,10.0364997,Street,0790895020,REBECA EPIAYU,,[redacted],[redacted],,Agustín Codazzi,Cesar,,Colombia,SPA,[redacted],[redacted],[redacted],[redacted],,,,,4899,"Communication services, nec",,,M,2021,0,[redacted],Representative,[redacted],[redacted],[redacted],Spanish,Actual,Actual,100000,100000,None or Not Available,Not available,SingleLocation,4281938326,972000,952242,COP,Modeled,-73.2290962,10.0364997,Street
2,121.4345588,31.2183983,City,0655980401,"Sinopharm Group Co., Ltd.",,[redacted],[redacted],200023,Shanghai,,,China,TRA,[redacted],[redacted],[redacted],[redacted],,310101000307576,China Business Registration Number,False,5122,"Drugs, proprietaries, and sundries",,,M,2003,9616,[redacted],Legal Representative,[redacted],[redacted],[redacted],,Estimated,Estimated,0,110850,None or Not Available,Joint venture,HQ,521051235000,81502834179,79846189459,CNY,Actual,121.4345588,31.2183983,City
3,104.0680736,30.6719459,City,0531483813,"Chengdu Bai'er Animal Health Care Co., Ltd.",,[redacted],[redacted],610225,Chengdu,,,China,TRA,[redacted],[redacted],[redacted],[redacted],,,,,2834,Pharmaceutical preparations,,,,,0,[redacted],,[redacted],[redacted],[redacted],,Estimated,Estimated,113600,113600,None or Not Available,Not available,SingleLocation,69850807,10347000,10136684,CNY,Modeled,104.0680736,30.6719459,City
4,-96.717933899999991,43.6000614,RoofTop Derived,0118094815,"Citibank, National Association",Citibank,[redacted],[redacted],57104,Sioux Falls,Minnehaha,South Dakota,USA,ENG,[redacted],[redacted],[redacted],[redacted],www.citi.com,,,,6021,National commercial banks,,,M,1998,8000,[redacted],Chief Executive Officer,[redacted],[redacted],[redacted],,Actual,Actual,2000,118240,Imports,Corporation,HQ,4995736844,4995736844,5011965217,USD,Modeled,-96.717933899999991,43.6000614,RoofTop Derived
5,121.0637235,14.5818032,Street,0829937518,DEPARTMENT OF EDUCATION,DepEd,[redacted],[redacted],1605,Pasig City,Metro Manila,,Philippines,ENG,[redacted],[redacted],[redacted],[redacted],,,,,9411,Administration of educational programs,,,M,1863,1742,[redacted],Secretary,[redacted],[redacted],[redacted],,Estimated,Estimated,0,720000,None or Not Available,Not available,HQ,2698835229,55868588,56050074,PHP,Actual,121.0637235,14.5818032,Street
6,-77.084755,38.890763,City,0112455253,Raytheon Technologies Corporation,Raytheon Technologies,[redacted],[redacted],22209,Arlington,Arlington,Virginia,USA,ENG,[redacted],[redacted],[redacted],[redacted],,,,,3724,Aircraft engines and engine parts,,,M,1934,1523,[redacted],Chairman of the Board,[redacted],[redacted],[redacted],,Actual,Actual,430,174000,None or Not Available,Corporation,HQ,64388000000,64388000000,64597160840,USD,Actual,-77.084755,38.890763,City
7,150.9503569,-33.736450149999996,RoofTop,0865075890,PEH (NZ IP) PTY LTD,,[redacted],[redacted],2153,Sydney,New South Wales,,Australia,ENG,[redacted],[redacted],[redacted],[redacted],https://www.woolworthsgroup.com.au,115841337,Australia Company Number,False,5411,Grocery stores,,,M,2005,411,[redacted],Director,[redacted],[redacted],[redacted],,Estimated,Estimated,215000,215000,None or Not Available,Corporation,SingleLocation,55694000000,43129656376,43269760668,AUD,Actual,150.9503569,-33.736450149999996,RoofTop
8,-80.8418877,35.226852550000004,RoofTop,0118022858,"Bank of America, National Association","Bank of America, N.A.",[redacted],[redacted],28202,Charlotte,Mecklenburg,North Carolina,USA,ENG,[redacted],[redacted],[redacted],[redacted],www.bankofamerica.com,,,,6021,National commercial banks,,,M,1904,5394,[redacted],Chief Executive Officer,[redacted],[redacted],[redacted],,Modeled,Actual,1095,142680,Imports,Corporation,HQ,65727000000,65727000000,65940510508,USD,Actual,-80.8418877,35.226852550000004,RoofTop
9,121.4345588,31.2183983,City,0640163482,"Changshu Yuantong Express Delivery Co., Ltd.",,[redacted],[redacted],201705,Shanghai,,,China,TRA,[redacted],[redacted],[redacted],[redacted],,320581000101948,China Business Registration Number,False,4215,"Courier services, except by air",,,M,2007,31,[redacted],Legal Representative,[redacted],[redacted],[redacted],,Estimated,Estimated,0,200000,None or Not Available,Corporation,HQ,10751635083,1602800000,1570221131,CNY,Modeled,121.4345588,31.2183983,City
10,7.1278207949178176,50.707713333501779,RoofTop,0438487764,Deutsche Telekom AG,DTAG,[redacted],[redacted],53113,Bonn,"Bonn, Stadt",Nordrhein-Westfalen,Germany,GER,[redacted],[redacted],[redacted],[redacted],https://www.facebook.com/156698177717862,53111B6794,Germany Registration Number,False,4813,"Telephone communication, except radio",,,M,1994,2827,[redacted],Chief Executive Officer,[redacted],[redacted],[redacted],German,Estimated,Estimated,0,220840,None or Not Available,Corporation,HQ,108794000000,123131417290,108794000000,EUR,Actual,7.1278207949178176,50.707713333501779,RoofTop
