#,ID,CompanyName,TradeName,DirectoryName,Address1,Address2,PostCode,City,Province,Region,Country,Language,Phone,Fax,Mobile,Email,Website,WebDomain,WebSocialMedialinksFacebook,WebSocialMedialinksTwitter,GenericLinkedInLink,GenericLinkedInCompanyID,GenericLinkedInFollowers,WebsiteIpAddress,NationalID,NationalIdentificationTypeCodeDescription,NationalIDIsVat,InternationalCode01,InternationalLabel01,PrimaryLocalActivityCode,LocalActivityTypeCode,MarketabilityIndicator,YearStarted,NumberOfFamilyMembers,CEOName,CEOTitle,CEOFirstName,CEOLastName,CEOGender,CEOLanguage,EmployeesHereReliabilityCodeDescription,EmployeesTotalReliabilityCodeDescription,EmployeesHere,EmployeesTotal,ImportExportAgentCodeDescription,LegalStatusCodeDescription,StatusCodeDescription,SalesVolume,SalesVolumeDollars,SalesVolumeEuros,CurrencyCode,SalesVolumeReliabilityCodeDescription,IsPublished,PublishingStrength,GenericOpeningHours,Longitude,Latitude,GeoLevel,GeoLevelDescription,DomesticUltimateUniqueID,DomesticUltimateBusinessName,DomesticUltimateStreetAddress,DomesticUltimateCityName,DomesticUltimatePostalCode,DomesticUltimateProvince,DomesticUltimateCountry,DomesticUltimateCountryCode,GlobalUltimateUniqueID,GlobalUltimateBusinessName,GlobalUltimateStreetAddress,GlobalUltimateCityName,GlobalUltimatePostalCode,GlobalUltimateProvince,GlobalUltimateCountry,GlobalUltimateCountryCode,ParentUniqueID,ParentBusinessName,ParentStreetAddress,ParentCityName,ParentPostalCode,ParentProvince,ParentCountry,ParentCountryCode,Exec01Position,Exec01FullName,Exec01Title,Exec01TitleCode,Exec01FirstName,Exec01LastName,Exec01Gender,Exec01GenderCode,Exec01LangPref,Exec01LangPrefCode,FinancialHistory01UniqueID,FinancialHistory01SalesVolume,FinancialHistory01SalesVolumeDollars,FinancialHistory01SalesVolumeEuros,FinancialHistory01Currency,FinancialHistory01EmployeesHere,FinancialHistory01EmployeesTotal,FinancialHistory01FamilyMembers,FinancialHistory01SalesVolumeReliabilityCode,FinancialHistory01SalesVolumeReliabilityCodeDescription,FinancialHistory01EmployeesHereReliabilityCode,FinancialHistory01EmployeesHereReliabilityCodeDescription,FinancialHistory01EmployeesTotalReliabilityCode,FinancialHistory01EmployeesTotalReliabilityCodeDescription,FinancialHistory01YearStat,FinancialHistory01Version
1,0829937518,DEPARTMENT OF EDUCATION,DepEd,DepEd,[redacted],[redacted],1605,Pasig City,Metro Manila,,Philippines,ENG,[redacted],[redacted],[redacted],[redacted],,,,,,,,[redacted],,,,9411,Administration of educational programs,,,M,1863,1742,[redacted],Secretary,[redacted],[redacted],[redacted],,Estimated,Estimated,0,720000,None or Not Available,Not available,HQ,2698835229,55868588,56050074,PHP,Actual,True,0,,121.0637235,14.5818032,2,Street,0830080649,THE GOVERNMENT OF THE PHILIPPINES,New Executive Building,MANILA,1005,Manila,Philippines,PH,0830080649,THE GOVERNMENT OF THE PHILIPPINES,New Executive Building,MANILA,1005,Manila,Philippines,PH,0830080649,THE GOVERNMENT OF THE PHILIPPINES,New Executive Building,MANILA,1005,Manila,Philippines,PH,1,[redacted],Secretary,208,[redacted],[redacted],Not Available,0,,,0829937518,2806979000,62376687,53306534,PHP,0,718483,1664,0,Actual,2,Estimated,2,Estimated,2021,20210127
2,0139948234,Office of the Secretary of Defense,,Office of the Secretary of Defense,[redacted],[redacted],20301,Washington,District of Columbia,District of Columbia,USA,ENG,[redacted],[redacted],[redacted],[redacted],www.defense.gov,defense.gov,,,,,,[redacted],,,,9711,National security,,,M,1947,66023,[redacted],Administrative Secretary,[redacted],[redacted],[redacted],,Modeled,Actual,133,1346022,None or Not Available,Corporation,HQ,0,0,0,,Modeled,,24,,-77.0199124,38.8920621,1,City,0273017304,Government of The United States,1600 Pennsylvania Ave NW,Washington,205000005,District of Columbia,United States of America,US,0273017304,Government of The United States,1600 Pennsylvania Ave NW,Washington,205000005,District of Columbia,United States of America,US,0113068848,United States Department of Defense,1000 Defense Pentagon # 3,Washington,203011000,District of Columbia,United States of America,US,1,[redacted],Other,0,[redacted],[redacted],Not Available,0,,,0139948234,0,0,0,,23000,1346022,65929,2,Estimated,0,Actual,0,Actual,2021,20210127
3,0118072811,Target Corporation,Target,Target,[redacted],[redacted],55403,Minneapolis,Hennepin,Minnesota,USA,ENG,[redacted],[redacted],[redacted],[redacted],corporate.target.com,corporate.target.com,,,https://www.linkedin.com/company/target-enterprise-inc.,,3,[redacted],,,,5311,Department stores,,,M,1902,2032,[redacted],Chairman of the Board,[redacted],[redacted],[redacted],,Actual,Actual,200,450000,None or Not Available,Corporation,HQ,106005000000,106005000000,103850318813,USD,Actual,,28,,-93.2758101,44.9738364,4,RoofTop,0118072811,Target Corporation,1000 Nicollet Mall,Minneapolis,554032542,Minnesota,United States of America,US,0118072811,Target Corporation,1000 Nicollet Mall,Minneapolis,554032542,Minnesota,United States of America,US,0118072811,Target Corporation,1000 Nicollet Mall,Minneapolis,554032542,Minnesota,United States of America,US,1,[redacted],Chairman of the Board,257,[redacted],[redacted],Not Available,0,,,0118072811,78112000000,78112000000,66753786154,USD,200,368000,1968,0,Actual,0,Actual,0,Actual,2021,20210525
4,0992836142,GLORIA YANET LOAIZA LOAIZA,,GLORIA YANET LOAIZA LOAIZA,[redacted],[redacted],,Cartago,Valle del Cauca,,Colombia,SPA,[redacted],[redacted],[redacted],[redacted],,,,,,,,[redacted],314229839,Colombian National Tributary Id Number,True,5912,Drug stores and proprietary stores,,,M,2009,0,[redacted],Representative,[redacted],[redacted],[redacted],Spanish,Actual,Actual,500000,500000,None or Not Available,Not available,SingleLocation,3118942731,708000,693609,COP,Modeled,True,21.83,"{""OpeningHoursSets"":[{""OpeningLabel"":"""",""DaysList"":[{""WeekDay"":""Monday"",""Intervals"":[{""OpenHour"":...",-75.8988849,4.7542350,3,House,,,,,,,,,,,,,,,,,,,,,,,,,1,[redacted],Representative,182,[redacted],[redacted],Not Available,0,Spanish,90,0992836142,2723076923,708000,605050,COP,500000,500000,0,3,Modeled,0,Actual,0,Actual,2022,20220526
5,0923090347,Gobierno Federal de los Estados Unidos Mexicanos,,Gobierno Federal de los Estados Unidos Mexicanos,[redacted],[redacted],06000,Mexico City,Distrito Federal,,Mexico,SPA,[redacted],[redacted],[redacted],[redacted],,,,,,,,[redacted],,,,9199,"General government, nec",,,M,1917,9088,[redacted],President,[redacted],[redacted],[redacted],Mexican Spanish,Estimated,Estimated,1200,3600000,Imports,Local government body,HQ,4889862060279,243197289568,243987302452,MXN,Actual,True,2.31,"{""OpeningHoursSets"":[{""OpeningLabel"":"""",""DaysList"":[{""WeekDay"":""Monday"",""Intervals"":[{""OpenHour"":...",-99.1342292,19.4325853,2,Street,0923090347,Gobierno Federal de los Estados Unidos Mexicanos,Plaza de La Constitución S/N Palacio Nacional,CIUDAD DE MEXICO,06000,CIUDAD DE MEXICO,Mexico,MX,0923090347,Gobierno Federal de los Estados Unidos Mexicanos,Plaza de La Constitución S/N Palacio Nacional,CIUDAD DE MEXICO,06000,CIUDAD DE MEXICO,Mexico,MX,0923090347,Gobierno Federal de los Estados Unidos Mexicanos,Plaza de La Constitución S/N Palacio Nacional,CIUDAD DE MEXICO,06000,CIUDAD DE MEXICO,Mexico,MX,1,[redacted],President,5,[redacted],[redacted],Male,20,Mexican Spanish,940,0923090347,4454301773136,228697215938,195442506233,MXN,1200,3600000,8468,0,Actual,2,Estimated,2,Estimated,2021,20210525
6,0946654632,The Army United States Department of,,The Army United States Department of,[redacted],[redacted],20310,Washington,District of Columbia,District of Columbia,USA,ENG,[redacted],[redacted],[redacted],[redacted],,,,,,,,[redacted],,,,9711,National security,,,M,1775,66023,[redacted],Administrative Secretary,[redacted],[redacted],[redacted],,Modeled,Actual,995,763522,Imports & Exports,Corporation,HQ,0,0,0,,Modeled,,0,,-77.0199124,38.8920621,1,City,0273017304,Government of The United States,1600 Pennsylvania Ave NW,Washington,205000005,District of Columbia,United States of America,US,0273017304,Government of The United States,1600 Pennsylvania Ave NW,Washington,205000005,District of Columbia,United States of America,US,0113068848,United States Department of Defense,1000 Defense Pentagon # 3,Washington,203011000,District of Columbia,United States of America,US,1,[redacted],Other,0,[redacted],[redacted],Not Available,0,,,0946654632,0,0,0,,1108,763522,65929,2,Estimated,2,Estimated,2,Estimated,2021,20210127
7,01010405288,Fundacao Oswaldo Cruz,Farmacia Popular do Brasil,Fundação Oswaldo Cruz,[redacted],[redacted],21040-360,Rio de Janeiro,Rio de Janeiro,,Brazil,POR,[redacted],[redacted],[redacted],[redacted],,,,,https://www.linkedin.com/school/ffiocruz/,18841090,27185,[redacted],33781055000135,Brazil CNPJ Number - National Registry of Legal Entities,True,8731,Commercial physical research,7210000,,M,1971,29,[redacted],Chief Executive Officer,[redacted],[redacted],[redacted],,Actual,Actual,4829,500000,Imports,Non profit organization,HQ,116355036059,22975000000,23049633011,BRL,Modeled,True,92.4,"{""OpeningHoursSets"":[{""OpeningLabel"":"""",""DaysList"":[{""WeekDay"":""Monday"",""Intervals"":[{""OpenHour"":...",-43.24930255,-22.87898475,4,RoofTop,01010405288,Fundacao Oswaldo Cruz,Av. BRASIL 4365,RIO DE JANEIRO,21040360,RIO DE JANEIRO,Brazil,BR,01010405288,Fundacao Oswaldo Cruz,Av. BRASIL 4365,RIO DE JANEIRO,21040360,RIO DE JANEIRO,Brazil,BR,01010405288,Fundacao Oswaldo Cruz,Av. BRASIL 4365,RIO DE JANEIRO,21040360,RIO DE JANEIRO,Brazil,BR,1,[redacted],Chief Executive Officer,260,[redacted],[redacted],Female,10,,,01010405288,515073898,91900000,78536882,BRL,312,2000,29,3,Modeled,0,Actual,0,Actual,2022,20220128
8,0666507941,SURVEY DESIGN AND INVESTMENT CONSULTING JOINT STOCK COMPANY,SDICO,SDICO,[redacted],[redacted],,Hồ Chí Minh,Hồ Chí Minh City,Đông Nam Bộ,Vietnam,VIE,[redacted],[redacted],[redacted],[redacted],,,,,,,,[redacted],0304267076,Vietnam Tax Identification Number,False,9999,Nonclassifiable establishments,,,,2006,0,[redacted],Director,[redacted],[redacted],[redacted],,,Actual,,1915000,None or Not Available,Joint venture,SingleLocation,4591510000,197435,198076,VND,Actual,True,10,,106.7035849,10.7709139,2,Street,,,,,,,,,,,,,,,,,,,,,,,,,1,[redacted],Director,20,[redacted],[redacted],Female,10,,,0666507941,4591510000,197435,168726,VND,0,1915000,0,0,Actual,0,Actual,0,Actual,2021,20210324
9,0465252294,INFORISK ALTARES AFRICA,IAA,,[redacted],[redacted],20340,El Maarif,Casablanca,,Morocco,FRE,[redacted],[redacted],[redacted],[redacted],,,,,,,,[redacted],000307728000073,Morocco Common Company Identifier,False,7379,"Computer related services, nec",K7260,,M,2015,3585,[redacted],Chief Executive Officer,[redacted],[redacted],[redacted],,Actual,Actual,3159978,3159978,None or Not Available,Corporation,SingleLocation,15203661,1576133,1581252,MAD,Actual,True,,,-7.6257686,33.5732518,2,Street,0465252294,INFORISK ALTARES AFRICA,3EME ETAGE 42 BOULEVARD ABDELMOUMEN,CASABLANCA,20340,,Morocco,MA,0402699655,BPCE,59 AVENUE PIERRE MENDES FRANCE,PARIS,75013,PARIS,France,FR,0386565175,ALTARES - D & B,ALTARES 56 58 TROISIEME ETAGE 50 BIS,COLOMBES,92700,HAUTS DE SEINE,France,FR,1,[redacted],Chief Executive Officer,260,[redacted],[redacted],Not Available,0,,,0465252294,10329216,1092604,933729,MAD,9815308,9815308,3194,0,Actual,0,Actual,0,Actual,2021,20210223
10,0375961060,BORDEAUX COLLECTION,B-C,Bordeaux Collection,[redacted],[redacted],33000,Bordeaux,Gironde,Aquitaine,France,FRE,[redacted],[redacted],[redacted],[redacted],http://immobilier.cushmanwakefield.fr/bureau-prive-flex-office/bordeaux-33000-163421,immobilier.cushmanwakefield.fr,,,https://www.linkedin.com/company/bordeaux-collection,,0,[redacted],44321801100023,France Siret Number,False,5149,"Groceries and related products, nec",4634Z,NAF2 (NOMENCLATURE D'ACTIVITE FRANCAISE ver 2),M,2002,0,[redacted],Managing Partner,[redacted],[redacted],[redacted],,Actual,Actual,786946,786946,None or Not Available,Corporation,SingleLocation,1146145,1297190,1146145,EUR,Actual,True,98.7,,-0.57341510000000007,44.843603800000004,4,RoofTop,,,,,,,,,,,,,,,,,,,,,,,,,1,[redacted],Managing Partner,44,[redacted],[redacted],Female,10,,,0375961060,1000000,1182631,1000000,EUR,786946,786946,0,0,Actual,0,Actual,0,Actual,2021,20211027
