#,ID,CompanyName,TradeName,Address1,Address2,PostCode,City,Province,Region,Country,Language,Phone,Fax,Mobile,Email,Website,NationalID,NationalIdentificationTypeCodeDescription,NationalIDIsVat,InternationalCode01,InternationalLabel01,PrimaryLocalActivityCode,LocalActivityTypeCode,MarketabilityIndicator,YearStarted,NumberOfFamilyMembers,CEOName,CEOTitle,CEOFirstName,CEOLastName,CEOGender,CEOLanguage,EmployeesHereReliabilityCodeDescription,EmployeesTotalReliabilityCodeDescription,EmployeesHere,EmployeesTotal,ImportExportAgentCodeDescription,LegalStatusCodeDescription,StatusCodeDescription,SalesVolume,SalesVolumeDollars,SalesVolumeEuros,CurrencyCode,SalesVolumeReliabilityCodeDescription
1,0477113879,PANSTWOWE PRZEDSIEBIORSTWO UZYTECZNOSCI PUBLICZNEJ POCZTA POLSKA,,[redacted],[redacted],50940,Wrocław,Województwo dolnośląskie,,Poland,POL,[redacted],[redacted],[redacted],[redacted],http://placowki.poczta-polska.pl/,8960005957,Polish Value Added Tax Number (Nip),True,4215,"Courier services, except by air",5320,,,,0,[redacted],,[redacted],[redacted],[redacted],,Actual,Actual,6340,6340,None or Not Available,Local government body,SingleLocation,3122520,657000,659134,PLN,Modeled
2,0533353750,POCZTA POLSKA DYREKCJA OKREGU POCZTY,,[redacted],[redacted],10940,Olsztyn,Województwo śląskie,,Poland,POL,[redacted],[redacted],[redacted],[redacted],,7390502367,Polish Value Added Tax Number (Nip),True,4215,"Courier services, except by air",5320,,,,0,[redacted],,[redacted],[redacted],[redacted],,Actual,Actual,6085,6085,None or Not Available,Local government body,SingleLocation,3122520,657000,659134,PLN,Modeled
3,0533299716,MICHELIN POLSKA SP Z O O,,[redacted],[redacted],10454,Olsztyn,Województwo warmińsko-mazurskie,,Poland,POL,[redacted],[redacted],[redacted],[redacted],www.michelin.pl,7390203825,Polish Value Added Tax Number (Nip),True,3011,Tires and inner tubes,2211Z,,M,2003,0,[redacted],President Board of Directors,[redacted],[redacted],[redacted],,Actual,Actual,5005,5005,Imports & Exports,Not available,SingleLocation,4562305000,1205374668,1209290260,PLN,Actual
4,0636013430,PANSTWOWE PRZEDSIEBIORSTWO UZYTECZNOSCI PUBLICZNEJ DYREKCJA OKREGU POCZTY LÓDZ,,[redacted],[redacted],90001,Łódź,Województwo łódzkie,,Poland,POL,[redacted],[redacted],[redacted],[redacted],,7240004805,Polish Value Added Tax Number (Nip),True,4215,"Courier services, except by air",5320,,,1992,0,[redacted],,[redacted],[redacted],[redacted],,Actual,Actual,5000,5000,None or Not Available,Local government body,SingleLocation,3412434,718000,720332,PLN,Modeled
5,0478543259,H & M HENNES & MAURITZ SP Z O O,,[redacted],[redacted],00017,Warszawa,Województwo mazowieckie,,Poland,POL,[redacted],[redacted],[redacted],[redacted],www.hm.com,5252253246,Polish Value Added Tax Number (Nip),True,5651,Family clothing stores,4771Z,,M,2003,0,[redacted],Board Member,[redacted],[redacted],[redacted],,Actual,Actual,4423,4423,Imports & Exports,Corporation,SingleLocation,1442422000,372374221,373583857,PLN,Actual
6,0533247535,PERN S A,PERN,[redacted],[redacted],09410,Płock,Województwo mazowieckie,,Poland,POL,[redacted],[redacted],[redacted],[redacted],www.pern.com.pl,7740003097,Polish Value Added Tax Number (Nip),True,4619,"Pipelines, nec",4950B,,M,2002,6,[redacted],President Board of Directors,[redacted],[redacted],[redacted],,Actual,Modeled,1588,4001,None or Not Available,Corporation,HQ,1412132041,339196941,340298803,PLN,Actual
7,0478395527,FUJITSU TECHNOLOGY SOLUTIONS SP Z O O,,[redacted],[redacted],02255,Warszawa,Województwo mazowieckie,,Poland,POL,[redacted],[redacted],[redacted],[redacted],www.therealdeal.pl,1132172342,Polish Value Added Tax Number (Nip),True,5045,"Computers, peripherals, and software",4651Z,,M,2001,0,[redacted],President Board of Directors,[redacted],[redacted],[redacted],,Actual,Actual,3116,3116,Imports & Exports,Corporation,SingleLocation,605340000,152693383,153189398,PLN,Actual
8,0478442857,DRUTEX S A,DRUTEX,[redacted],[redacted],77100,Bytów,Województwo pomorskie,,Poland,POL,[redacted],[redacted],[redacted],[redacted],www.drutex.com.pl,8421622720,Polish Value Added Tax Number (Nip),True,3089,"Plastics products, nec",2223Z,,M,2002,0,[redacted],President Board of Directors,[redacted],[redacted],[redacted],,Actual,Actual,3028,3028,Imports & Exports,Corporation,SingleLocation,1054832044,278689791,279595099,PLN,Actual
9,0478622226,KORPORACJA GWARECKA S A,,[redacted],[redacted],21013,Puchaczów,Województwo lubelskie,,Poland,POL,[redacted],[redacted],[redacted],[redacted],www.korporacja-gwarecka.com.pl,7132712675,Polish Value Added Tax Number (Nip),True,1231,Anthracite mining,0510Z,,M,2002,0,[redacted],President Board of Directors,[redacted],[redacted],[redacted],,Actual,Actual,3000,3000,None or Not Available,Corporation,SingleLocation,156228852,37526483,37648385,PLN,Actual
10,0533253434,PRONAR SP Z O O,PRONAR,[redacted],[redacted],17210,Narew,Województwo podlaskie,,Poland,POL,[redacted],[redacted],[redacted],[redacted],www.pronar.pl,5430200939,Polish Value Added Tax Number (Nip),True,3523,Farm machinery and equipment,2830Z,,M,2002,0,[redacted],Managing Director,[redacted],[redacted],[redacted],,Actual,Actual,3000,3000,Imports & Exports,Corporation,SingleLocation,885052560,233833542,234593137,PLN,Actual
11,0479311324,PRZEDSIĘBIORSTWO GÓRNICZO BUDOWLANE BORNIT SP Z O O [ W LIKWIDACJI ],,[redacted],[redacted],59301,Lubin,Województwo dolnośląskie,,Poland,POL,[redacted],[redacted],[redacted],[redacted],,6921640737,Polish Value Added Tax Number (Nip),True,1629,"Heavy construction, nec",4299Z,,M,2004,0,[redacted],Liquidator,[redacted],[redacted],[redacted],,Actual,Actual,3000,3000,None or Not Available,Corporation,SingleLocation,,,,PLN,
12,0533262703,CTL LOGISTICS SP Z O O,,[redacted],[redacted],41208,Sosnowiec,Województwo śląskie,,Poland,POL,[redacted],[redacted],[redacted],[redacted],www.ctl.pl,5252401994,Polish Value Added Tax Number (Nip),True,4011,"Railroads, line-haul operating",4920Z,,M,2007,13,[redacted],President Board of Directors,[redacted],[redacted],[redacted],,Actual,Modeled,460,2920,Exports,Corporation,HQ,260113625,62479813,62682775,PLN,Actual
13,0633119899,PRZEDSIĘBIORSTWO RZECZOZNAWSTWA I EKSPERTYZ OPEX SP Z O O,,[redacted],[redacted],80232,Gdańsk,Województwo pomorskie,,Poland,POL,[redacted],[redacted],[redacted],[redacted],www.opex.gda.pl,5840203707,Polish Value Added Tax Number (Nip),True,8711,Engineering services,7112Z,,M,1988,0,[redacted],Board Member,[redacted],[redacted],[redacted],,Actual,Actual,2834,2834,None or Not Available,Not available,SingleLocation,433000,114400,114771,PLN,Actual
14,0635846911,EKOTRADE OCHRONA SP Z O O,,[redacted],[redacted],00712,Warszawa,Województwo mazowieckie,,Poland,POL,[redacted],[redacted],[redacted],[redacted],www.ekotrade.com.pl,8970025387,Polish Value Added Tax Number (Nip),True,7381,Detective and armored car services,8010Z,,M,2001,0,[redacted],President Board of Directors,[redacted],[redacted],[redacted],,Actual,Actual,2671,2671,None or Not Available,Corporation,SingleLocation,21898770,5785721,5804515,PLN,Actual
15,0477188398,PKP ZAKLAD TABORU KOLEJOWEGO,,[redacted],[redacted],92405,Łódź,Województwo łódzkie,,Poland,POL,[redacted],[redacted],[redacted],[redacted],,012660419,Polish National Official Register Number (Regon),False,4011,"Railroads, line-haul operating",4920Z,,,1997,0,[redacted],Managing Director,[redacted],[redacted],[redacted],,Actual,Actual,2500,2500,None or Not Available,Local government body,SingleLocation,6744072,1419000,1423609,PLN,Modeled
16,0533303693,SCHENKER SP Z O O,SCHENKER,[redacted],[redacted],02092,Warszawa,Województwo mazowieckie,,Poland,POL,[redacted],[redacted],[redacted],[redacted],www.logistics.dbschenker.pl,5270103824,Polish Value Added Tax Number (Nip),True,4213,"Trucking, except local",4941Z,,M,2001,0,[redacted],President Board of Directors,[redacted],[redacted],[redacted],,Actual,Actual,2420,2420,Imports & Exports,Corporation,SingleLocation,2294748623,551203209,552993762,PLN,Actual
17,0533299797,MIEJSKIE PRZEDSIĘBIORSTWO WODOCIĄGÓW I KANALIZACJI W M ST WARSZAWIE S A,MIEJSKIE PWDOCIAGÓW I KANALIZACJI W M ST WARSZAWIE S A,[redacted],[redacted],02015,Warszawa,Województwo mazowieckie,,Poland,POL,[redacted],[redacted],[redacted],[redacted],www.mpwik.com.pl,5250005662,Polish Value Added Tax Number (Nip),True,4952,Sewerage systems,3700Z,,M,2003,0,[redacted],President Board of Directors,[redacted],[redacted],[redacted],,Actual,Actual,2385,2385,None or Not Available,Corporation,SingleLocation,1135960490,272859982,273746352,PLN,Actual
18,0533418104,FABRYKA MEBLI BODZIO BOGDAN SZEWCZYK SPÓŁKA JAWNA,,[redacted],[redacted],56416,Kuźnia Stara,Województwo dolnośląskie,,Poland,POL,[redacted],[redacted],[redacted],[redacted],www.bodzio.pl,9111852372,Polish Value Added Tax Number (Nip),True,2599,"Furniture and fixtures, nec",3109Z,,M,2004,0,[redacted],Partner,[redacted],[redacted],[redacted],,Actual,Actual,2350,2350,Imports & Exports,Partnership of unknown type,SingleLocation,456474862,109646175,110002354,PLN,Actual
19,0533294749,ALMA MARKET S A [ W UPADŁOŚCI ],,[redacted],[redacted],30964,Kraków,Województwo małopolskie,,Poland,POL,[redacted],[redacted],[redacted],[redacted],www.almamarket.pl,6760016731,Polish Value Added Tax Number (Nip),True,5411,Grocery stores,4711Z,,M,1945,9,[redacted],President Board of Directors,[redacted],[redacted],[redacted],,Actual,Modeled,10,2300,None or Not Available,Corporation,HQ,3964268,1047371,1050773,PLN,Actual
20,0633760577,BIURO RACHUNKOWE SP Z O O,,[redacted],[redacted],30384,Kraków,Województwo małopolskie,,Poland,POL,[redacted],[redacted],[redacted],[redacted],,6782576710,Polish Value Added Tax Number (Nip),True,8721,"Accounting, auditing, and bookkeeping",6920Z,,M,2003,0,[redacted],President Board of Directors,[redacted],[redacted],[redacted],,Actual,Actual,2054,2054,None or Not Available,Corporation,SingleLocation,82536,19825,19889,PLN,Actual
