#,IMONumber,VesselName,BeneficialOwner,BeneficialOwnerCountry,Operator,OperatorCountry,FlagName,VesselTypeCode,BuiltYear,DWTDesign,Class1Code,TechnicalManager,TechnicalManagerCountry,CommercialManager,CommercialManagerCountry,DateModified,?? Softr Record ID
1,9914254,SOUTHERN ANOA,Sansho Kaiun Co Ltd,Japan,Sansho Kaiun Co Ltd,Japan,Liberia,Chem,2022,19708,NK,Southern Shipping Pte Ltd,Singapore,Southern Shipping Pte Ltd,Singapore,04/04/2024,AoFKFxiaAiShmBCTfvK9Sj
2,9414993,SOUTHERN FALCON,Sansho Kaiun Co Ltd,Japan,Sansho Kaiun Co Ltd,Japan,Singapore,Chem,2008,9051,NK,Southern Shipping Pte Ltd,Singapore,Southern Shipping Pte Ltd,Singapore,04/04/2024,KJR7Uj6M6uXXVgr3pmbJ7H
3,9475430,GOLDEN JASMINE,China International Marine Containers Group Ltd (CIMC),China,Seacon Ships Management (Europe) SA,Greece,Marshall Islands,Chem,2012,16768,BV,Seacon Ships Management (Europe) SA,Greece,Seacon Ships Management (Europe) SA,Greece,04/04/2024,RrWtmtqVAq9SoaEHF7zo1q
4,9594418,OTZIAS,Coventry Ashland Co Ltd,Greece,Coventry Ashland Co Ltd,Greece,Malta,Bulk,2012,56720,BV,Coventry Ashland Co Ltd,Greece,Coventry Ashland Co Ltd,Greece,04/04/2024,WSuDK1pJCqf49WQFurHLS3
5,9615482,TRANS SPRING,Amoysailing Maritime Co. Ltd.,China,Amoysailing Maritime Co. Ltd.,China,Hong Kong,Bulk,2011,56853,ABS,Amoysailing Maritime Co. Ltd.,China,Amoysailing Maritime Co. Ltd.,China,04/04/2024,AQYUz7BS2JgYks5r9vCaBe
6,9616008,HAYABUSA,Jinyu Shipping Co Ltd,Japan,NS United Kaiun Kaisha Ltd,Japan,Panama,Gen,2012,11415,NK,Pacific Ship Management Co Ltd,Japan,Pacific Ship Management Co Ltd,Japan,04/04/2024,UkaNu1aJr2SdstLBUTXj7q
7,9749714,SOUTHERN ROBIN,Sansho Kaiun Co Ltd,Japan,Sansho Kaiun Co Ltd,Japan,Liberia,Chem,2018,19994,NK,Southern Shipping Pte Ltd,Singapore,Southern Shipping Pte Ltd,Singapore,04/04/2024,5Lda53gwmNuvFWz249U2wt
8,9846524,HS HONG KONG,HS Bereederungs GmbH & Co KG,Germany,HS Bereederungs GmbH & Co KG,Germany,Antigua & Barbuda,Cont,2019,11787,NK,HS Service GmbH & Company KG,Germany,HS Bereederungs GmbH & Co KG,Germany,04/04/2024,7wmcQDwbLQMtfLnxhnMj6g
9,9846536,HS SINGAPORE,HS Bereederungs GmbH & Co KG,Germany,HS Bereederungs GmbH & Co KG,Germany,Antigua & Barbuda,Cont,2019,11833,NK,HS Service GmbH & Company KG,Germany,HS Bereederungs GmbH & Co KG,Germany,04/04/2024,PBF2reiioE9m9tVyiokykM
10,9867267,SOUTHERN WOLF,Sansho Kaiun Co Ltd,Japan,Sansho Kaiun Co Ltd,Japan,Liberia,Chem,2019,21026,NK,Southern Shipping Pte Ltd,Singapore,Southern Shipping Pte Ltd,Singapore,04/04/2024,HJ3QX36o5gm58x4YKdjYEb
