#,Store_ID,Store_Name,Metro_City,Invoice_ID,Bill_date,Date,Month,Week,Hour,Barcode,Local_Item_Code,Item_Description,Centralized_Description,Brand,Manufacturer_Name,Category,Sub_Category,Quantity,Selling_Price,Total_Amount,MRP,Bill_Amount,Loose_Item_Flag,is_credit,Pincode,State,Zone,Market_Cap,Payment_Mode,Payment_Type
1,10765,LOTUS SUPER STORE,Bharuch,10765-1118003849,01/01/2019 09:23:15 PM,01/01/2019,JAN19,W0,21,8901030606304,,SURF EXCLE QUICK WASH 500G FREE SERF EXCLE BAR 95G,SURF EXCEL QUICKWASHDETERGENTPOWDER-XTRACLEANPARTICLES 500 GM,SURF EXCEL,HINDUSTAN UNILEVER LTD,DETERGENT POWDERS,,1,100,100,100,4146,NO,NO,392001,Gujarat,West,Surat,CASH,CURRENT
2,10765,LOTUS SUPER STORE,Bharuch,10765-1118003849,01/01/2019 09:23:15 PM,01/01/2019,JAN19,W0,21,8901030641633,,ACTIVE WHEEL 2 IN1 CLEAN & FRESH WASHING POWDER 1KG(25PCS),WHEEL GREEN LEMON & JASMINE DETERGENT POWDER 1 KG,WHEEL,HINDUSTAN UNILEVER LTD,DETERGENT POWDERS,,1,44,44,44,4146,NO,NO,392001,Gujarat,West,Surat,CASH,CURRENT
3,10765,LOTUS SUPER STORE,Bharuch,10765-1118003849,01/01/2019 09:23:15 PM,01/01/2019,JAN19,W0,21,8901396228004,,AIRWICK FRSHMTC SUMMER DELIGHT RFL 250ML,AIRWICK FRESHMATIC REFILL LIFE SCENTS SUMMER DELIGHTS - 250 ML,AIR WICK,RECKITT BENCKISER INDIA PVT LTD,SPRAY,REFILL,1,299,299,299,4146,NO,NO,392001,Gujarat,West,Surat,CASH,CURRENT
4,10765,LOTUS SUPER STORE,Bharuch,10765-1118003849,01/01/2019 09:23:15 PM,01/01/2019,JAN19,W0,21,8903622037336,,MAMY POKO PANTS LARGE SIZE DIAPERS- 13 COUNT,MAMYPOKO EXTRA ABSORB PANTS DIAPERS - LARGE 12 PCS,MAMY POKO,UNICHARM INDIA PVT LTD,BABY DIAPERS & WIPES,DIAPERS,1,195,195,195,4146,NO,NO,392001,Gujarat,West,Surat,CASH,CURRENT
5,10765,LOTUS SUPER STORE,Bharuch,10765-1118003849,01/01/2019 09:23:15 PM,01/01/2019,JAN19,W0,21,8901157025033,,HIT FLYING INSECT SPECIALIST PESTICIDES / INSECTICIDES 250 ML BTL,HIT BLACK 200 ML,HIT,GODREJ CONSUMER PRODUCTS LTD,MOSQUITO & OTHER INSECT REPELLANTS,SPRAY,1,98,98,98,4146,NO,NO,392001,Gujarat,West,Surat,CASH,CURRENT
6,10765,LOTUS SUPER STORE,Bharuch,10765-1118003849,01/01/2019 09:23:15 PM,01/01/2019,JAN19,W0,21,8901108136047,,D-4 NIRMA DETERGENT POWDER 500 G $,NIRMA YELLOW WASHING POWDER 500 G,NIRMA,NIRMA LTD,DETERGENT POWDERS,,1,22,22,22,4146,NO,NO,392001,Gujarat,West,Surat,CASH,CURRENT
7,10765,LOTUS SUPER STORE,Bharuch,10765-1118003849,01/01/2019 09:23:15 PM,01/01/2019,JAN19,W0,21,8901030661402,,SURF EXCEL 500ML PBT MATIC LIQUD TOP LOAD RMV TOGH STAN IN MCH+RS31OFF,SURF EXCEL MATIC LIQUID TOP LOAD 500ML,SURF EXCEL,HINDUSTAN UNILEVER LTD,DETERGENT LIQUIDS,TOP LOAD,1,99,99,99,4146,NO,NO,392001,Gujarat,West,Surat,CASH,CURRENT
8,10765,LOTUS SUPER STORE,Bharuch,10765-1118003849,01/01/2019 09:23:15 PM,01/01/2019,JAN19,W0,21,8901023017131,,GODREJ GOOD KNIGHT POWER ACTIVE + 2 LIQUID REFILL PACK BOX.,,,,,,1,144,144,144,4146,NO,NO,392001,Gujarat,West,Surat,CASH,CURRENT
9,10765,LOTUS SUPER STORE,Bharuch,10765-1118003849,01/01/2019 09:23:15 PM,01/01/2019,JAN19,W0,21,8903622176004,,MAMY POKO PANTS 5N PPH EXTRA ABSORB UPTO 12H ABSRPTN XL 12-17KG CRISOR,ECO FRESH LOOFAH 49RS,MAMY POKO,UNICHARM INDIA PVT LTD,BATH ACCESSORIES,LOOFAH,1,99,99,99,4146,NO,NO,392001,Gujarat,West,Surat,CASH,CURRENT
10,10765,LOTUS SUPER STORE,Bharuch,10765-1118003849,01/01/2019 09:23:15 PM,01/01/2019,JAN19,W0,21,8901108102066,,NIRMA 220 GM PLWRP SUPER DETERGENT CAKE,NIRMA SUPER DETERGENT CAKE 220 GM PLWRP,NIRMA,NIRMA LTD,DETERGENT BARS,,1,10,10,10,4146,NO,NO,392001,Gujarat,West,Surat,CASH,CURRENT
