#,fiscalyear,companyname,industry,sub_industry,gl_region,country,E_pillar_score,G_pillar_score,S_pillar_score,E_pillar_materiality_weight,G_pillar_materiality_weight,S_pillar_materiality_weight,pillar_materiality_weight_sum,E_pillar_to_overall_materiality_weight,G_pillar_to_overall_materiality_weight,S_pillar_to_overall_materiality_weight,E_pillar_to_overall_score,G_pillar_to_overall_score,S_pillar_to_overall_score,E_pillar_consistency_score,G_pillar_consistency_score,S_pillar_consistency_score,E_pillar_sentiment_weighting,G_pillar_sentiment_weighting,S_pillar_sentiment_weighting,E_pillar_penalty,S_pillar_penalty,G_pillar_penalty,E_pillar_score_adjusted,G_pillar_score_adjusted,S_pillar_score_adjusted,E_pillar_to_overall_score_adjusted,G_pillar_to_overall_score_adjusted,S_pillar_to_overall_score_adjusted,Overall,Overall_adjusted,E_pillar_transparency_score,G_pillar_transparency_score,S_pillar_transparency_score,E_pillar_to_overall_transparency,G_pillar_to_overall_transparency,S_pillar_to_overall_transparency,Overall_transparency_score,E_pillar_score_industry_rank,S_pillar_score_industry_rank,G_pillar_score_industry_rank,Overall_industry_rank,E_pillar_score_adjusted_industry_rank,S_pillar_score_adjusted_industry_rank,G_pillar_score_adjusted_industry_rank,Overall_adjusted_industry_rank,E_pillar_transparency_score_industry_rank,S_pillar_transparency_score_industry_rank,G_pillar_transparency_score_industry_rank,Overall_transparency_score_industry_rank,E_pillar_consistency_score_industry_rank,S_pillar_consistency_score_industry_rank,G_pillar_consistency_score_industry_rank,E_pillar_score_gl_region_rank,S_pillar_score_gl_region_rank,G_pillar_score_gl_region_rank,Overall_gl_region_rank,E_pillar_score_adjusted_gl_region_rank,S_pillar_score_adjusted_gl_region_rank,G_pillar_score_adjusted_gl_region_rank,Overall_adjusted_gl_region_rank,E_pillar_transparency_score_gl_region_rank,S_pillar_transparency_score_gl_region_rank,G_pillar_transparency_score_gl_region_rank,Overall_transparency_score_gl_region_rank,E_pillar_consistency_score_gl_region_rank,S_pillar_consistency_score_gl_region_rank,G_pillar_consistency_score_gl_region_rank,E_pillar_score_global_rank,S_pillar_score_global_rank,G_pillar_score_global_rank,Overall_global_rank,E_pillar_score_adjusted_global_rank,S_pillar_score_adjusted_global_rank,G_pillar_score_adjusted_global_rank,Overall_adjusted_global_rank,E_pillar_transparency_score_global_rank,S_pillar_transparency_score_global_rank,G_pillar_transparency_score_global_rank,Overall_transparency_score_global_rank,E_pillar_consistency_score_global_rank,S_pillar_consistency_score_global_rank,G_pillar_consistency_score_global_rank,industry_total_count,gl_region_total_count,global_total_count
1,2002,3i Group plc,Capital Markets,Asset Management and Custody Banks,Europe,United Kingdom,45.44249393,58.65011637,,0.019367831,0.225790211,0,0.245158042,0.079001411,0.920998589,0,3.590021154,54.0166744,,90.1442178,,,,,,0,0,0,45.44249393,58.65011637,,3.590021154,54.0166744,,57.60669556,57.60669556,97.89689347,30.12398363,,7.733992747,27.74414641,,35.47813916,21,1,67,58,21,1,60,51,15,1,60,46,9,1,37,322,1,470,292,265,1,440,255,324,1,339,421,68,1,226,967,1,1997,1164,635,1,1725,913,857,1,2912,1753,163,1,1526,454,2544,17210
2,2003,3i Group plc,Capital Markets,Asset Management and Custody Banks,Europe,United Kingdom,47.6544019,62.07885305,,0.020631388,0.220247329,0.005284582,0.246163299,0.083811793,0.894720415,0.021467792,3.994000881,55.54321714,,88.17694464,,,,,,0,0,0,47.6544019,62.07885305,,3.994000881,55.54321714,,59.53721803,59.53721803,97.78632469,30.54020594,0,8.195647231,27.32494572,0,35.52059295,19,67,61,54,19,67,55,45,21,67,62,45,8,45,37,330,481,467,270,286,481,436,232,343,481,403,449,102,296,237,1007,3659,1935,1134,773,3659,1658,890,946,3659,3181,1920,266,1935,1565,454,2544,17210
3,2004,3i Group plc,Capital Markets,Asset Management and Custody Banks,Europe,United Kingdom,42.70798522,43.03713528,12.62135922,0.02582358,0.212322504,0.007197362,0.245343445,0.105254818,0.86540932,0.029335862,4.495221195,37.24473798,0.370258457,86.86537294,,,,,,0,0,0,42.70798522,43.03713528,12.62135922,4.495221195,37.24473798,0.370258457,42.11021763,42.11021763,97.66194306,30.62435501,67.1641791,10.27939,26.50260224,1.970319114,38.75231136,61,90,115,108,61,90,107,99,28,32,72,43,16,45,38,448,570,812,659,408,570,788,587,451,456,462,497,144,296,245,1686,4102,4143,3067,1488,4102,3752,2545,1462,3275,3487,2142,509,1934,1607,454,2544,17210
4,2005,3i Group plc,Capital Markets,Asset Management and Custody Banks,Europe,United Kingdom,54.1605312,63.50681537,24.27184466,0.026794957,0.21118902,0.007089713,0.245073689,0.109334285,0.861736812,0.028928903,5.921602958,54.7261606,0.702157842,85.37635618,,,,,,0,0,0,54.1605312,63.50681537,24.27184466,5.921602958,54.7261606,0.702157842,61.3499214,61.3499214,97.95116079,30.48462741,66.91729323,10.70942014,26.26972563,1.93584389,38.91498966,54,78,77,67,54,78,69,54,32,31,89,51,21,45,41,399,501,533,322,325,501,499,263,456,449,538,558,221,296,253,1542,3499,2216,1358,1194,3499,1866,991,1788,3258,3957,2693,876,1935,1654,454,2544,17210
5,2006,3i Group plc,Capital Markets,Asset Management and Custody Banks,Europe,United Kingdom,77.65601376,74.4321491,25.71428571,0.025173654,0.213017788,0.007353527,0.245544968,0.102521562,0.867530657,0.029947781,7.961415849,64.57217118,0.770085799,73.92820245,,,,,,0,0,0,77.65601376,74.4321491,25.71428571,7.961415849,64.57217118,0.770085799,73.30367283,73.30367283,97.90523411,30.3329626,68.11594203,10.03739755,26.31477496,2.039921319,38.39209383,9,73,57,45,9,73,47,34,34,34,99,59,55,45,41,165,571,396,149,113,571,363,122,487,532,606,619,528,296,264,503,3492,1851,624,306,3492,1325,437,1906,3245,4446,2983,2215,1935,1697,454,2544,17210
6,2007,3i Group plc,Capital Markets,Asset Management and Custody Banks,Europe,United Kingdom,83.27597379,74.32803072,20.88607595,0.025657306,0.211618045,0.008413763,0.245689114,0.104429965,0.861324467,0.034245568,8.696507045,64.02055144,0.715255531,72.3045382,,,,,,0,0,0,83.27597379,74.32803072,20.88607595,8.696507045,64.02055144,0.715255531,73.43231401,73.43231401,98.00401545,30.17867889,77.31958763,10.23455592,25.99363451,2.647853184,38.87604361,3,123,68,49,3,123,51,34,37,37,123,67,66,45,41,84,933,420,165,53,933,384,134,470,641,689,673,563,296,272,261,5094,2057,670,160,5094,1453,470,1820,3763,5011,3125,2342,1934,1741,454,2544,17210
7,2008,3i Group plc,Capital Markets,Asset Management and Custody Banks,Europe,United Kingdom,64.99009648,73.85826772,27.90697674,0.027055571,0.209819517,0.008481359,0.245356447,0.110270471,0.85516203,0.034567499,7.166488541,63.16078618,0.964674383,89.51769573,,,,,,0,0,0,64.99009648,73.85826772,27.90697674,7.166488541,63.16078618,0.964674383,71.29194911,71.29194911,98.32605414,30.09055787,78.84615385,10.84246029,25.73230256,2.725514323,39.30027718,33,116,76,62,33,116,52,43,37,37,140,71,7,45,43,281,894,448,197,200,894,404,162,394,698,770,665,91,296,276,1095,4974,2250,844,755,4974,1536,586,1447,4037,5541,3173,442,1934,1765,454,2544,17210
8,2009,3i Group plc,Capital Markets,Asset Management and Custody Banks,Europe,United Kingdom,85.59387994,51.63563161,5.142857143,0.02672657,0.210149671,0.008589489,0.24546573,0.108881064,0.856126318,0.034992618,9.319552746,44.20662314,0.179962036,84.07195122,,,,,,0,0,0,85.59387994,51.63563161,5.142857143,9.319552746,44.20662314,0.179962036,53.70613793,53.70613793,98.12304101,29.8873591,79.62962963,10.68374114,25.58735469,2.786449218,39.05754504,7,160,157,120,7,160,132,98,41,42,152,80,36,45,43,79,1197,901,597,45,1197,858,490,447,704,854,711,245,296,279,243,6748,5045,2944,136,6748,4321,2187,1614,4061,6082,3456,1153,1935,1783,454,2544,17210
9,2010,3i Group plc,Capital Markets,Asset Management and Custody Banks,Europe,United Kingdom,78.01306615,32.4113957,19.37172775,0.026800926,0.209915821,0.008777362,0.245494109,0.10917136,0.85507478,0.03575386,8.516792534,27.71416706,0.692614034,78.74575317,66.26046273,52.09162711,,,,0,0,0,78.01306615,32.4113957,19.37172775,8.516792534,27.71416706,0.692614034,36.92357363,36.92357363,99.43895323,42.319894,100,10.85588577,36.18667406,3.57538596,50.61794579,8,154,240,210,8,154,217,186,1,1,67,39,42,47,47,146,1092,1366,1176,93,1092,1341,1093,150,9,354,545,416,348,327,547,5991,7726,5833,318,5991,7045,4936,358,35,2629,2488,1848,1649,1706,454,2544,17210
10,2011,3i Group plc,Capital Markets,Asset Management and Custody Banks,Europe,United Kingdom,66.43457275,29.05056269,33.33333333,0.026789118,0.209731867,0.009042313,0.245563299,0.109092517,0.854084744,0.036822739,7.24751473,24.8116424,1.227424642,67.03280614,87.27989265,73.25282699,,,,0,0,0,66.43457275,29.05056269,33.33333333,7.24751473,24.8116424,1.227424642,33.28658177,33.28658177,99.35446128,60.98582405,100,10.83882822,52.08706193,3.682273926,66.60816407,23,133,280,250,23,133,266,224,2,1,32,15,88,33,22,323,1073,1577,1337,226,1073,1537,1251,157,3,96,350,714,224,97,1184,5128,9768,7018,758,5128,8902,5886,392,8,1336,1755,3125,1096,664,454,2544,17210
