#,IMONumber,VesselName,VesselTypeCode,InspectionDate,InspectionAuthority,FlagCode,InspectionPort,InspectionType,Detention,Ship_Deficiencies,Deficiency_Description,Technical_ISM_Manager,CountryCode,Website,Email,Phone,Address,CompanyIMO,DateModified
1,9433157,MSC JENNIFER II,,6/7/2024,Ireland,,Dublin-Dublin Ferryport Terminals,Initial,FALSE,2,"18425, Access / structural features (ship), Labour conditions - Health protection, medical care, ...",MSC Shipmanagement Ltd,,,[redacted],[redacted],"MSC House, 8, Spyrou Kyprianou Avenue, 3070 , Limassol, Cyprus",1535947,6/8/2024
2,9960227,DAISY LEADER,,6/7/2024,Belgium,,Zeebrugge,Initial,FALSE,9,"14606, Diesel engine relating to air pollution control, Pollution prevention - Marpol Annex VI, 1...",NYK Shipmanagement Pte Ltd,,,[redacted],[redacted],"15-01, HarbourFront Tower One, 1, Harbourfront Place, Singapore, Singapore",1968365,6/8/2024
3,9962598,MSC LORENZA,,6/7/2024,United Kingdom,,Felixstowe,Initial,FALSE,1,"14606, Diesel engine relating to air pollution control, Pollution prevention - Marpol Annex VI, 1...",MSC Shipmanagement Ltd,,,[redacted],[redacted],"MSC House, 8, Spyrou Kyprianou Avenue, 3070 , Limassol, Cyprus",1535947,6/8/2024
4,9393539,AAL GEELONG,,6/7/2024,Finland,,Brahestad (Raahe),Detailed,FALSE,2,"14405, Crew training and familiarization, Pollution prevention - Marpol Annex IV, 1011, Not as re...",Columbia Shipmanagement Ltd,,,[redacted],[redacted],"Columbia House, 21, Spyrou Kyprianou Avenue, Limassol, Cyprus",0778064,6/8/2024
5,9175171,METIN HUSEYNOV,,6/7/2024,Greece,,Thessaloniki,Follow-up,FALSE,1,"11110, Stowage and provision of liferafts, Life saving appliances, 1011, Not as required",PALMALI GEMICILIK VE ACENTELIK,,,[redacted],[redacted],", , Turkey",4079336,6/8/2024
6,9158654,AQUA SOLUNDOY,,6/7/2024,United Kingdom,,Stromness,Detailed,FALSE,5,"10106, Compass correction log, Safety of Navigation, 1000, Missing,01320, Garbage record book, Ce...",,,,[redacted],[redacted],", ,",,6/8/2024
7,9195377,HAV ALDA,,6/7/2024,United Kingdom,,Fairlie,Detailed,FALSE,7,"05115, Radio log (diary), Radio Communications, 1011, Not as required,10129, Navigation records, ...",Navigare Shipping Sp/F,,,[redacted],[redacted],"vio Trollaklett 21, FO660, Soldafjord, Faroe Islands",1247739,6/8/2024
8,9973054,LIGNUM WEB,,6/7/2024,Italy,,Ravenna,Initial,FALSE,3,"04108, Muster list, Emergency Systems, 1031, Incomplete,07124, Maintenance of Fire protection sys...",BLUEOCEAN SHIPMANAGEMENT INTL,,,[redacted],[redacted],"Room 8, 3rd Floor, Newtown Boulevard Building, Newtown Boulevard, Cebu City, Philippines",6409613,6/8/2024
9,8912302,YEOMAN BRIDGE,,6/7/2024,United Kingdom,,Glensanda,Follow-up,FALSE,5,"04102, Emergency fire pump and its pipes, Emergency Systems, 1082, Inoperative,18302, Sanitary Fa...",SMT Shipping Poland sp zoo,,,[redacted],[redacted],"ul Boleslawa Chrobrego, Sopot, Poland",5926470,6/8/2024
10,7638105,ELMAS,,6/7/2024,Bulgaria,,Burgas,Follow-up,FALSE,8,"03102, Freeboard marks, Water/Weathertight conditions, 1011, Not as required,01123, Continuous sy...",Barri Maritime LTD,,,[redacted],[redacted],"Oganlik Yeni Mah. Baltaci Mehmet Pasa Sok. No:4B, Daire 66 AC Moment Yapi Sitesi Kartal , Istanbu...",N/A,6/8/2024
11,9480722,TROMS CAPELLA,,6/7/2024,Germany,,Bremerhaven,Detailed,FALSE,3,"01315, Oil record book, Certificate & Documentation - Documents, 1011, Not as required,11117, Lif...",Tidewater Marine UK Ltd,,,[redacted],[redacted],"The Exchange 1, 62-104, Market Street, Aberdeen, United Kingdom",0588883,6/8/2024
12,9282742,LIBRA XS,,6/7/2024,Slovenia,,Koper,Follow-up,FALSE,7,"01123, Continuous synopsis record, Certificate & Documentation - Ship Certificates, 1000, Missing...",Yihai Ship Management Pte Ltd,,,[redacted],[redacted],", , Singapore",6292821,6/8/2024
13,9522893,LIBERTY BAY,,6/7/2024,Norway,,Fredrikstad,Detailed,FALSE,1,"01101, Cargo Ship Safety Equipment (including exemption), Certificate & Documentation - Ship Cert...",VG Shipmanagement SA,,,[redacted],[redacted],", , Greece",6232390,6/8/2024
14,8908466,ISLE OF INNISFREE,,6/7/2024,France,,Calais,Follow-up,FALSE,,,Matrix Ship Management Ltd,,,[redacted],[redacted],"Spyrou Kyprianou Avenue, Limassol, Cyprus",5642516,6/8/2024
15,9513907,WAIMEA,,6/7/2024,Ireland,,Aughinish Island,Follow-up,FALSE,,,Unisea Bulk Ltd,,,[redacted],[redacted],"Xenias Street, Kifisia, Athens, Greece",6009120,6/8/2024
16,9953365,CL ZHANGJIAJIE,,6/7/2024,Croatia,,Split,Detailed,FALSE,,,Synergy Marine Pte Ltd,,,[redacted],[redacted],"10-11/12, West Tower, Great World City, 1, Kim Seng Promenade, Great World City, Singapore, Singa...",5507517,6/8/2024
17,6617855,MISTRAL,,6/7/2024,Germany,,Lubeck,Detailed,FALSE,,,Mistral Shipping Co Ltd,,,[redacted],[redacted],", , Antigua and Barbuda",1822366,6/8/2024
18,9487823,THOR OMEGA,,6/7/2024,Norway,,Kristiansund,Initial,FALSE,,,Thor P/F,,,[redacted],[redacted],", , Faroe Islands",1711469,6/8/2024
19,9946477,HAFNIA LILLESAND,,6/7/2024,United Kingdom,,Teesport,Initial,FALSE,,,BW Fleet Management Pte Ltd,,,[redacted],[redacted],", , Singapore",5435373,6/8/2024
20,9667722,CHISE BULKER,,6/7/2024,Spain,,Castellon de la Plana,Initial,FALSE,,,New Century Overseas Mgmt Inc,,,[redacted],[redacted],", , Philippines",1887626,6/8/2024
21,9143790,YAKOOT,,6/7/2024,Spain,,Valencia,Initial,FALSE,,,White Line Shipping & Cargo,,,[redacted],[redacted],", , United Arab Emirates",5231323,6/8/2024
22,9525302,MAERSK CALABAR,,6/7/2024,Spain,,Algeciras,Initial,FALSE,,,Maersk A/S,,,[redacted],[redacted],"Esplanaden, Copenhagen, Denmark",5808451,6/8/2024
23,1013107,VERTIGE,,6/7/2024,Greece,,Argostolion,Initial,FALSE,,,,,,[redacted],[redacted],", ,",,6/8/2024
24,9951226,WADDENSTROOM,,6/7/2024,Germany,,Brunsbuttel,Initial,FALSE,,,,,,[redacted],[redacted],", ,",,6/8/2024
25,9545065,ARIETTA,Bulk,1/13/2023,United States of America,MTA,"Baltimore, Maryland",Initial,FALSE,1,System: 13 - Propulsion and Auxiliary Machinery Sub-System: N/A - No Subsystem Cause: Improper/La...,Alloceans Shipping Co Ltd,GRC,,[redacted],[redacted],"225-227 Kifissias Ave, ""ANAVRYTA 2"" Building 14561, Kifissia Greece",0544545,6/7/2024
26,9308091,CONSTELLATION,Tank,4/9/2024,United States of America,MAI,New York,Initial,FALSE,1,System: 07 - Fire Safety Sub-System: N/A - No Subsystem Component: 07199 - Other (fire safety) Ca...,,,,[redacted],[redacted],,,6/7/2024
27,8841632,VOLGO-BALT 213,Gen,6/6/2024,Turkey,PAN,Samsun,Initial,FALSE,6,SAFETY OF NAVIGATION (Signalling lamp) ; CARGO OPERATIONS INCLUDING EQUIPMENT (Cargo Securing Man...,Orbital Ship Management Co,TRK,,[redacted],[redacted],"Block B, Apartmani 13, Nadide Sokak 110, Mehmetnezihiozmen M, Gungoren, 34169 Istanbul, Turkey.",5442035,6/7/2024
28,9519171,DONNA JUDI,Bulk,2/27/2024,Russia,SVC,Novorossiysk,Detailed,FALSE,2,SAFETY OF NAVIGATION (Magnetic compass) ; LIFE SAVING APPLIANCES (Lifebuoys incl. provision and d...,Athenai Management Services Ltd,GRC,,[redacted],[redacted],"1St Floor, 83, Leoforos Poseidonos, Glyfada, 166 74, Athens",6125813,6/7/2024
29,9575888,KFS MERYEM ANA,Gen,6/6/2024,Turkey,PAN,Zonguldak,Detailed,FALSE,4,SAFETY OF NAVIGATION (Echo sounder) ; EMERGENCY SYSTEMS (Emergency source of power - Emergency ge...,KFS Maritime Co,TRK,,[redacted],[redacted],"C/O Canakcesme Denizcilik Ticaret Sanayi Ltd , A Blok, Yali Apartmani, Kucukyali Caddesi 10/1, Ya...",6119253,6/7/2024
30,9297125,SEA ARIES,Gen,6/6/2024,Turkey,BZE,Samsun,Detailed,FALSE,6,SAFETY OF NAVIGATION (Charts); CARGO OPERATIONS INCLUDING EQUIPMENT (Cargo Securing Manual) ; POL...,Optimal Denizcilik Tasimacilik Ltd Sti,TRK,http://www.optimalshipping.com/,[redacted],[redacted],"Daire 33, Levent Life 1, Dereboyu Caddesi 6, Ortabiyir Mah, Kagithane, 34413 Istanbul, Turkey.",5910841,6/7/2024
31,9110901,ELA,Bulk,3/23/2024,Turkey,MTA,Gulluk,Detailed,FALSE,9,Safety of Navigation - Voyage data recorder (VDR) / Simplified Voyage data recorder (S-VDR) Missi...,Gamma Denizcilik Nakliyat (Gamma Shipping Transport),TRK,http://www.gammashipping.com/,[redacted],[redacted],"621 Sokak 12, Ilkbahar Mah, Cankaya, 06550 Ankara, Turkey",5363531,6/7/2024
32,9423621,PRABHU PARVATI,Chem,6/6/2024,France,SNG,Marseille (gpm),Detailed,FALSE,1,Public address system Inoperative,T-Erudite Ship Managers Pvt Ltd,IND,,[redacted],[redacted],"10A, Bakhtawar, Nariman Point, Mumbai, India",5975782,6/7/2024
33,9514509,GOLDEN HORIZON,Bulk,6/7/2024,China,JPN,Rizhao,Follow-up,FALSE,7,POLLUTION PREVENTION - MARPOL ANNEX I (Oil filtering equipment) Yes 2 11104 LIFE SAVING APPLIANCE...,Asahi Shipping Co Ltd (Asahi Kaiun KK),JPN,,[redacted],[redacted],"23-1, Nishishinbashi 2-chome, Minato-ku, Tokyo, 105-0003, Japan.",1001341,6/7/2024
34,9011961,NEPTUNE,Gen,6/7/2024,Turkey,CKI,Samsun,Detailed,FALSE,6,POLLUTION PREVENTION - BALLAST WATER (Ballast Water Record Book); CERTIFICATE AND DOCUMENTATION -...,Kargo-Mahmut Can Egerci,TRK,http://www.mcekargo.com,[redacted],[redacted],"Cagdas Han, Tas Ocagi Sokak 1/25, Hasanpasa Mah, Kadikoy, 34722 Istanbul, Turkey.",5462700,6/7/2024
35,9760043,ANTHEA V,,6/6/2024,Bulgaria,,Varna,Follow-up,FALSE,2,"Other, Other, Other, Other, Other,01333, Ship specific plans for the recovery of persons from the...",Alexandria Shipping Hellas SA,,,[redacted],[redacted],", , Greece",1987991,6/7/2024
36,9948827,EMERALD SAKARA,Pass,6/6/2024,Croatia,BAH,Dubrovnik,Detailed,FALSE,1,Other (navigation) Other,Scenic Cruise Services Doo,CRT,,[redacted],[redacted],"ulica Riva Boduli 1, HR-51000 Rijeka, Croatia.",6227951,6/7/2024
37,9254733,GUTIAN TRUST,Bulk,6/6/2024,Romania,PAN,Constanta,Detailed,FALSE,5,Minimum Safe Manning Document Not properly filled ; Cargo Ship Safety Radio (including exemption)...,Shanghai Riding Wave Shipping Co Ltd,CHN,,[redacted],[redacted],"Room A-522, 188, Yesheng Lu, Pilot Free Trade Zone, Pudong Xinqu, Shanghai, China",6349923,6/7/2024
