#,date,AWIS_Station_ID,AWIS_state,Latitude,Longitude,Max_Temp,Min_Temp,Precip,Avg_WS,Avg_CC,Max_RH,Min_RH,Evap,PEvap,Sunshine,Solar_rad,Veg_Wet,MaxST,MinST,AVGst
1,07/04/2022,KSUT,nc,33.93,-78.07,93.4,75.7,0.56,7,22,93,61,0.29,0.26,13,8156,5,93.7,75.9,84.8
2,07/04/2022,KVTP,co,37.5,-105.17,59,44.6,0.11,12,74,93,58,0.13,0.13,2,3456,4,82.7,68.3,75.5
3,07/04/2022,KCPW,co,37.45,-106.8,53.6,39.2,0.05,12,58,100,76,0.09,0.09,3,3897,12,82.1,67.7,74.9
4,07/04/2022,KMNH,co,39.22,-104.63,82.4,55.4,0.05,8,27,9,5,0.21,999999,10,6489,5,93.7,66.7,80.2
5,07/04/2022,KMYP,co,38.48,-106.32,57.2,41,0.13,16,61,100,54,0.12,0.15,3,3829,7,81.3,65.1,73.2
6,07/04/2022,KSJX,mi,45.69,-85.57,75.6,55.2,0.08,3,28,98,26,0.21,0.2,13,7604,4,81.5,61.1,71.3
7,07/04/2022,KSLH,mi,45.65,-84.52,75.2,53.6,0.04,3,24,100,40,0.17,0.18,13,7488,2,81.9,60.3,71.1
8,07/04/2022,KCCU,co,39.47,-106.15,60.8,46.4,0.09,9,32,76,47,0.13,0.14,8,5779,4,84.1,69.7,76.9
9,07/04/2022,CXKI,CN_ON,48.15,-80,70.2,48.2,0,999999,999999,98,36,999999,0.2,999999,999999,0,77.7,55.7,66.7
10,07/04/2022,KFPK,mi,42.57,-84.81,86.4,55.4,0,2,7,94,27,0.3,0.27,14,7965,1,95.7,64.7,80.2
11,07/04/2022,KDUH,mi,41.74,-83.66,82.4,60.8,0,3,4,94,47,0.23,0.23,14,8221,0,92.1,70.5,81.3
12,07/04/2022,KNAK,md,38.9913,-76.4891,86,71.1,0,3,2,90,44,0.25,0.22,15,8398,0,93.4,78.6,86
13,07/04/2022,KGOV,mi,44.68,-84.73,78.8,51.8,0.02,4,39,93,34,0.24,0.24,11,7196,0,87.6,60.6,74.1
14,07/04/2022,KMGN,mi,45.43,-84.91,72.1,55,0.04,3,20,94,40,0.16,0.16,13,7597,3,80.6,63.5,72
15,07/04/2022,CXWF,CN_BC,49.11,-117.74,71.6,55.4,0.32,4,999999,100,56,999999,0.13,999999,999999,0,77.5,61.3,69.4
16,07/04/2022,K3T5,tx,29.9,-96.95,100,75.6,0.01,5,16,100,34,0.43,0.34,11,7038,4,103.7,79.3,91.5
17,07/04/2022,KHDC,la,30.52,-90.42,93.2,73.4,0.25,1,31,100,58,0.23,0.15,7,5477,5,96.6,76.8,86.7
18,07/04/2022,CXDP,CN_AB,54.32,-113.95,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
19,07/04/2022,KJYR,ne,40.9,-97.62,84.2,68,0.74,10,69,100,69,0.19,0.15,4,4037,9,94,77.8,85.9
20,07/04/2022,KIIY,ga,33.78,-82.82,94.3,70.2,0.84,4,18,98,47,0.3,0.23,11,7149,3,98.5,74.3,86.4
21,07/04/2022,KMDQ,al,34.87,-86.55,95.7,72.3,0.03,5,27,98,41,0.34,0.28,10,6867,10,100,76.6,88.3
22,07/04/2022,CXVN,CN_ON,43.18,-79.4,78.3,58.8,0,4,999999,76,36,999999,0.22,999999,999999,0,84.9,65.4,75.2
23,07/04/2022,KCHD,az,33.27,-111.81,107.6,82.4,0,11,38,33,12,0.73,0.56,9,6315,0,112,86.8,99.4
24,07/04/2022,CXBR,CN_AB,49.82,-113.77,62,50,0.72,5,999999,999999,999999,999999,999999,999999,999999,0,71.9,59.9,65.9
25,07/04/2022,CXHR,CN_AB,51.18,-112.5,59.7,46.6,0.02,6,999999,100,66,999999,0.11,999999,999999,0,70.9,57.8,64.3
26,07/04/2022,CXRL,CN_AB,54.5,-111.7,71.1,46.4,0,3,999999,97,37,999999,0.17,999999,999999,0,75.3,50.7,63
27,07/04/2022,CXBW,CN_AB,49.8,-112.3,59.2,52.7,0.17,8,999999,100,76,999999,0.08,999999,999999,0,69.3,62.8,66.1
28,07/04/2022,KFWS,tx,32.57,-97.31,102.2,77,0.03,7,16,78,25,0.5,0.38,11,7057,0,106.2,81,93.6
29,07/04/2022,KJAS,tx,30.89,-94.03,95,71.6,0,4,14,100,49,0.29,0.24,11,7177,4,98.7,75.3,87
30,07/04/2022,CXFR,CN_AB,56.08,-118.43,71.6,44.1,0,5,999999,100,44,999999,0.17,999999,999999,0,77.8,50.2,64
