#,SalesReportDate,IMONumber,VesselName,FlagName,VesselTypeCode,BuiltYear,DWTDesign,GT,LDT,Seller,Buyer,SalesPrice(USD million),SalesPrice($/Ldt),Destination,SaleType,DryDockDate,SpecialSurveyDate,SalesNote,PreviousSalesRecord,DateModified
1,6/7/2024,9349198,GRACE FORTUNA,Cook Islands,Tank,2007,47786,30053,9894,R Shipping Inc,Unknown,23.25,,,Reported Sold,9/7/2023,8/31/2025,BWMP(T) fitted,13-May-24: Vessel repoerted sold by R Shipping to an unknown buyer for $23.00 01-Apr-22 : Vesse...,6/7/2024
2,6/5/2024,9538141,ALHENA,Bahamas,Tank,2012,52420,30240,11975,Neptune Maritime Leasing Ltd,Unknown,31.5,,,Reported Sold,8/31/2025,5/31/2027,,,6/5/2024
3,6/4/2024,9359375,STOLT SISTO,Cayman Islands,Tank,2010,46011,26329,11223,Stolt Tankers BV,Unknown,28.5,,,Reported Sold,2/4/2025,2/4/2025,BWMP(T) fitted,,6/4/2024
4,6/4/2024,9554171,AKTEA R,Marshall Islands,Bulk,2010,28372,17018,6217,J G Roussos Shipping SA,Unknown,10.8,,,Reported Sold,3/3/2025,3/3/2025,Chinese Buyer,,6/4/2024
5,6/4/2024,9520948,SW MISTRAL I,Panama,Bulk,2011,58110,32305,9704,Kumiai Senpaku Co Ltd (Kumiai Senpaku KK),Sea World Management S.A.M,,,,Reported Sold,6/9/2024,5/16/2026,OLD sale. Price undisclosed. Vessel sold as the 'NEO',,6/5/2024
6,6/3/2024,9463334,CAPE KEYSTONE,Panama,Bulk,2011,179250,93227,26514,Kawasaki Kisen Kaisha Ltd (K Line),Unknown,32.5,,,Reported Sold,1/8/2025,12/20/2026,Chinese Buyer,,6/4/2024
7,6/3/2024,9339428,EDT PROMETHEUS,Liberia,Offs,2005,4861,4667,,EDT Shipmanagement Ltd,Unknown,24,,,Reported Sold,,4/9/2025,Leaseback sale,,6/6/2024
8,5/31/2024,9433107,SEACON 8,Panama,Bulk,2012,57000,33044,10681,Avic International Leasing Co. Ltd.,Unknown,14.13,,,Auction,1/15/2025,3/4/2027,,,6/3/2024
9,5/31/2024,9554664,BAO QUAN,Liberia,Bulk,2011,56947,33044,10733,Bao Sheng Ship Management Co Ltd,Unknown,13.7,,,Reported Sold,3/20/2026,3/20/2026,BWTS FITTED,27-Jan-2015 : Vessel reported sold by Black Sea Shipping to Livanos Group for $19m,6/2/2024
10,5/31/2024,9143764,GAKU,Comoros,PCC,1997,7570,11573,7824,Blue Whale Maritime Pvt Ltd,Bangladeshi Breakers,,516,Destination: Bangladesh,Sold for demo,5/9/2025,5/9/2025,,,6/3/2024
11,5/31/2024,9215165,JEPPESEN MAERSK,Denmark,Cont,2001,35097,30166,6314,Moller-Maersk A/S,Bms Gemi Geri Donusum AS,,,Destination: Turkey,Sold for demo,5/24/2024,5/24/2024,Beached 24/05/2024,,6/7/2024
12,5/31/2024,8603535,SPAN 33,Philippines,Gen,1986,4279,3113,1826,Trinitas Ship Management Pvt Ltd,Bangladeshi Breakers,,,Destination: Bangladesh,Sold for demo,,2/23/2024,,,6/3/2024
13,5/31/2024,9122306,NAGA2,Comoros,Cont,1996,7032,4914,2453,Blue Whale Maritime Pvt Ltd,Bangladeshi Breakers,,,Destination: Bangladesh,Sold for demo,3/10/2025,12/5/2025,,,6/3/2024
14,5/31/2024,9474204,V BROS,Marshall Islands,Bulk,2010,36187,23432,9425,Clipper Bulk A/S,Nautilus Management SA,,,,Reported Sold,4/15/2025,4/15/2025,BWTS fitted. INCL T/C UNTIL DEC 2024. Vessel sold as the CLIPPER NASSAU,22-Jun-2022 : Vessel reported sold by Conti 7 NV Holding to undisclosed interest for $16.5m,6/2/2024
15,5/31/2024,9602992,PROTECTOR ST. GEORGE,Liberia,Bulk,2011,56632,32962,11049,Holger Navigation Corp,Unknown,14,,,Reported Sold,7/6/2024,6/29/2026,,15-Apr-2022 : JIA LONG SHAN + JIA MAO SHAN + JIA SHENG SHAN sold enbloc by China Cosco Shipping t...,6/2/2024
16,5/30/2024,9738052,KONKAR VENTURE,Marshall Islands,Bulk,2015,82099,44127,13500,Konkar Shipping Agencies SA,Pyxis Tankers,30,,,Reported Sold,12/30/2023,6/9/2025,BWMP(T) fitted,,5/31/2024
17,5/29/2024,8914697,UNITED ID,Palau,Bulk,1991,38855,22147,7173,Overseas Marine Ltd,Pakistani Breakers,,529,Destination: Pakistan,Sold for demo,7/19/2020,7/19/2025,,,6/4/2024
18,5/29/2024,9066758,POSEIDON M,Panama,Bulk,1994,38858,22147,7170,Majesty Navigation Enterprises SA,Pakistani Breakers,,,Destination: Pakistan,Sold for demo,1/31/2023,2/28/2023,,29-Dec-2014 : Vessel reported sold by Star Bulk Carriers to Greek buyer for $5.9m,6/5/2024
19,5/29/2024,9214903,CAROLINE MAERSK,Denmark (DIS),Cont,2000,110387,92198,32413,Moller-Maersk A/S,Mediterranean Shipping Co SA (MSC),,,,Enbloc,2/24/2025,2/24/2025,"MSC is taking the 9,600-teu A.P. Moller, Caroline Maersk, Carsten Maersk and Cornelius Maersk (al...",,5/31/2024
20,5/29/2024,9198587,CORNELIUS MAERSK,Denmark (DIS),Cont,2000,110387,92198,32408,Moller-Maersk A/S,Mediterranean Shipping Co SA (MSC),,,,Enbloc,3/31/2025,3/31/2025,"MSC is taking the 9,600-teu A.P. Moller, Caroline Maersk, Carsten Maersk and Cornelius Maersk (al...",,5/31/2024
21,5/29/2024,1046922,BAO DI LONG 8,Sierra Leone,Gen,2006,10327,7142,3133,Wantong International Group Ltd,Turkish Breakers,,485,Destination: Turkey,Sold for demo,,,,,5/29/2024
22,5/29/2024,9060534,SURYA AKI,Bahamas,LNG,1996,11612,20519,8168,PT Humpuss Intermoda Transportasi,Unknown,,660,Destination: Unknown,Sold for demo,10/14/2022,3/25/2025,"For HKC recycling including 1,100 bunker ROB",,5/29/2024
23,5/29/2024,9219795,CARSTEN MAERSK,Denmark (DIS),Cont,2000,110387,92198,32419,Moller-Maersk A/S,Mediterranean Shipping Co SA (MSC),,,,Enbloc,3/8/2025,3/8/2025,"MSC is taking the 9,600-teu A.P. Moller, Caroline Maersk, Carsten Maersk and Cornelius Maersk (al...",,5/31/2024
24,5/28/2024,9392078,DINO,Panama,Bulk,2009,33371,21192,7327,Dalex Shipping Co SA,Unknown,13.4,,,Reported Sold,10/28/2024,10/28/2024,Buyers based in Turkey,,5/29/2024
25,5/28/2024,9123128,ANDHIKA NARESWARI,Indonesia,Bulk,1996,71290,38232,10308,Andhika Lines Pt Perus. Pelayran Samudera Khusus,Unknown,,515,Destination: Unknown,Sold for demo,5/31/2026,5/31/2026,AS-IS Singapore,06-Jul-2015 : Vessel reported sold by Zenobia Management to undisclosed interest for $4m,6/4/2024
26,5/28/2024,9393632,SUNSHINE,Bahamas,Bulk,2009,37317,22697,8065,Alberta Shipmanagement Ltd,Unknown,15,,,Reported Sold,9/19/2026,2/18/2024,Buyers based in the UAE,,5/29/2024
27,5/28/2024,9632947,GENESIS,Liberia,Bulk,2012,81305,44336,13681,Marlow Navigation Co,Unknown,22,,,Reported Sold,7/9/2025,5/29/2027,BWMP(E+T) fitted,,5/29/2024
28,5/28/2024,8607658,SKYMOON KING,Cameroon,Gen,1988,4336,2854,1240,Lucky 19 Shipping Ltd,Turkish Breakers,,660,Destination: Turkey,Sold for demo,12/12/2017,12/12/2017,,15-Feb-2010 : Vessel reported sold by Baltimar to undisclosed interest on P&C terms,6/3/2024
29,5/27/2024,9633109,VAN GOGH,Panama,Bulk,2013,95711,50626,14667,Libera Corp,Unknown,25,,,Reported Sold,12/9/2023,11/3/2025,Greek buyer,,5/28/2024
