#,id,date,max,min,max_st,min_st,pre,evap,pet,solar_rad,sunshine
1,KORD,01/01/2001,24.1,5.0,999999,999999,0.00,0.00,0.00,1072,2
2,KORD,01/02/2001,24.1,6.1,999999,999999,0.00,0.00,0.00,1946,7
3,KORD,01/03/2001,19.0,5.0,999999,999999,0.00,0.00,0.00,2361,9
4,KORD,01/04/2001,28.0,14.0,999999,999999,0.00,0.00,0.00,652,0
5,KORD,01/05/2001,34.0,19.0,999999,999999,0.00,0.00,0.00,658,0
6,KORD,01/06/2001,36.0,18.0,999999,999999,0.02,0.07,0.07,1710,5
7,KORD,01/07/2001,34.0,17.1,999999,999999,0.00,0.07,0.02,2057,7
8,KORD,01/08/2001,34.0,17.1,999999,999999,0.00,0.06,0.01,1178,2
9,KORD,01/09/2001,26.1,12.0,999999,999999,0.00,0.00,0.00,1644,5
10,KORD,01/10/2001,23.0,10.0,999999,999999,0.00,0.00,0.00,2461,9
