#,IMONumber,VesselName,SpecialSurveyDate,DryDockDate,IOPP_Issue_Date,IOPP_Exp_Date,Technical_Manager,CountryCode,Website,Email,Phone,Address,LinkedIn,DateModified
1,9381512,RED OPAL,3/29/2025,3/29/2020,12/16/2020,3/29/2025,Socomar Srl,ITL,http://www.socomar.eu/,[redacted],[redacted],"Via N. Rota 20, 80067 Sorrento NA, Italy.",https://cm.linkedin.com/company/so-co-mar-,6/7/2024
2,9414917,NOVA,6/7/2025,6/7/2020,4/25/2024,6/7/2025,Fleet Management Ltd - HKG,HKG,http://www.fleetship.com,[redacted],[redacted],"27th Floor, South Island Place, 8, Wong Chuk Hang Road, Southern, Hong Kong, China",,6/7/2024
3,9386304,GAS LAGOON,8/16/2023,8/16/2023,7/30/2023,8/16/2028,Torino Ship Management Service,UAE,,[redacted],[redacted],"Office 1201, Twin Tower Plot 117-0, Deira, Dubai, United Arab Emirates.",,6/7/2024
4,9396763,GRACE ADALBERHT,2/15/2029,,5/25/2024,2/15/2029,Cymare Navigation FZC,UAE,https://cymare.com/,[redacted],[redacted],"19th Floor Conrad Dubai Sheikh Zayed Road PO Box 5610, Dubai, UAE",,6/7/2024
5,9382695,ENY,6/9/2026,6/9/2021,7/14/2022,6/9/2026,Sun Ace Shipping Co Ltd,KRS,http://www.sunace.co.kr,[redacted],[redacted],"DanAm Building, 10, Sowol-ro Jung-gu, Seoul, 100-704 South Korea",,6/7/2024
6,9406051,MJ PINAR,2/19/2024,,4/8/2024,2/19/2029,Norbulk Shipping UK Ltd,GBI,http://www.norbulkshipping.com,[redacted],[redacted],68 Glassford Street Glasgow G1 1UP United Kingdom,,6/7/2024
7,9543110,STENA CONVOY,3/16/2027,3/16/2025,5/2/2022,3/16/2027,Synergy Maritime Pvt Ltd,IND,https://www.synergymarinegroup.com/,[redacted],[redacted],"4th Floor, AKDR Tower, 3/381, Rajiv Gandhi Salai (OMR), Mettukuppam, Chennai  600097, India",https://www.linkedin.com/company/synergy-maritime-private-limited/,6/7/2024
8,9542582,LUCKY STAR,7/13/2027,7/13/2020,2/8/2023,7/14/2027,Vietnam Ocean Shipping JSC (VOSCO) (Cong Ty Co Phan Van Tai Bien Viet Nam),VNM,,[redacted],[redacted],"215, Lach Tray, Dang Giang Ward, Ngo Quyen District, Haiphong City, Vietnam.",,6/7/2024
9,9547788,ANGEL No. 2,1/19/2025,11/1/2017,12/19/2019,1/19/2025,Shanghai Dingheng Shipping Technology Co Ltd,CHN,http://www.dinghengshipping.com,[redacted],[redacted],"Room 501, Block A, Changtai Plaza, No. 1, Lane 2889, Jinke Road, Pudong New Area, Shanghai",,6/7/2024
10,9403889,SJ ANGEL,1/31/2026,,10/27/2022,1/31/2026,Sung Kyung Maritime Co Ltd (SK Maritime),KRS,,[redacted],[redacted],"Room 710, 7th Floor, Dongil Tower, 14, Jobang-ro, Dong-gu, Busan, 48741, South Korea",,6/7/2024
11,9416434,PS VALLETTA,2/10/2025,2/10/2025,6/20/2022,2/10/2025,Balkan Denizcilik Ticaret Ltd,TRK,,[redacted],[redacted],"Yazmaci Tahir Sokak 52/4, Bostanci Mah, Kadikoy, 34744 Istanbul, Turkey.",,6/7/2024
12,9397717,GAILLARDIA SW,9/16/2024,,9/28/2022,9/16/2024,Shih Wei Navigation Co Ltd,TWN,http://www.swnav.com.tw,[redacted],[redacted],"16F., No. 167, Fuxing N. Rd., Songshan Dist., Taipei City 105403 , Taiwan (R.O.C.)",https://www.linkedin.com/company/shih-wei-navigation-co.-ltd./about/,6/7/2024
13,9200603,GEUM GANG,2/15/2025,2/15/2025,5/14/2021,2/15/2025,Jeil International Co. Ltd.,KRS,http://www.jit-int.com/index_eng.php,[redacted],[redacted],"Room 301, 3rd Floor, Samjung Enterprise B/D, 5, Jungang-daero 775beon-gil, Busanjin-gu, Busan, 47...",,6/7/2024
14,9138276,PANTHER,6/30/2028,10/24/2026,10/24/2023,6/30/2028,Element Shipmanagement S.A.,GRC,http://www.elementship.gr,[redacted],[redacted],"85 Akti Miaouli & 1  9 Zaimi Street, 185 38, Piraeus",,6/7/2024
15,9110901,ELA,6/30/2026,6/30/2026,7/31/2021,6/30/2026,Gamma Denizcilik Nakliyat (Gamma Shipping Transport),TRK,http://www.gammashipping.com/,[redacted],[redacted],"621 Sokak 12, Ilkbahar Mah, Cankaya, 06550 Ankara, Turkey",,6/7/2024
16,9194866,MSC CHERYL 3,10/31/2024,10/31/2024,8/12/2022,10/31/2024,MSC Shipmanagement Ltd,CYP,https://mscshipmanagement.com/,[redacted],[redacted],"MSC House, 8, Spyrou Kyprianou Avenue, Limassol, Cyprus",https://cy.linkedin.com/in/ravi-amarnath-41215b3b,6/7/2024
17,9227871,LADY AYSE,1/23/2026,,11/22/2022,1/23/2026,Gn Denizcilik Ve Acentelik Ltd,TRK,,[redacted],[redacted],"Cenap Sahabettin Sokak 56, Kosuyolu Mah, Kadikoy, 34718 Istanbul, Turkey",,6/7/2024
18,9198575,CLIFFORD MAERSK,12/20/2027,12/28/2025,12/29/2022,12/20/2027,,,,[redacted],[redacted],,,6/7/2024
19,9142136,OCEANUS 09,6/13/2028,9/7/2026,9/9/2023,6/13/2028,Nhat Viet Transportation Corp (NV Trans Corp),VNM,,[redacted],[redacted],"151, Nguyen Van Thu, District 1, Ho Chi Minh City, Vietnam.",,6/7/2024
20,9113032,LIZA,1/20/2024,12/7/2021,4/11/2024,1/20/2029,Liza LLC,RUS,,[redacted],[redacted],"ul Kupecheskaya 24, Nakhodka, Primorskiy kray, 692905, Russia",,6/7/2024
21,9423621,PRABHU PARVATI,11/20/2023,11/10/2021,12/21/2023,11/20/2028,T-Erudite Ship Managers Pvt Ltd,IND,,[redacted],[redacted],"10A, Bakhtawar, Nariman Point, Mumbai, India",,6/7/2024
22,9121041,SUNNY SPRUCE,4/3/2026,,7/22/2022,4/14/2026,Hana Shipping Co Ltd,KRS,,[redacted],[redacted],"Room 905, 9th Floor, Eunsan Bay Building, 88, Jungang-daero, Jung-gu, Busan, 48939, South Korea.",,6/7/2024
23,9145671,HAO HUNG 66,7/9/2026,7/9/2026,1/19/2022,7/9/2026,Van Loc Hung International Sea Shipping Co Ltd (Van Loc Hung Iss Co Ltd),VNM,,[redacted],[redacted],"A15-A17 Bach Dang 1, Ward 2, Tan Binh District, Ho Chi Minh City, Vietnam",,6/7/2024
24,9128300,SUNNY PALM,7/24/2026,8/21/2023,8/15/2022,7/24/2026,Hana Shipping Co Ltd,KRS,,[redacted],[redacted],"Room 905, 9th Floor, Eunsan Bay Building, 88, Jungang-daero, Jung-gu, Busan, 48939, South Korea.",,6/7/2024
25,9113721,CARIBE VOYAGER,3/31/2025,5/13/2023,3/3/2022,3/31/2025,Hyde Shipping Corp,USA,https://www.hydeshipping.com/,[redacted],[redacted],"Suite 2, 10025, NW 116th Way, Medley FL 33178-1197, USA.",https://www.linkedin.com/company/hyde-shipping-corporation/,6/7/2024
26,9045168,WATER PHOENIX,10/15/2027,,12/27/2022,10/15/2027,Seatrade Groningen B.V.,NTH,http://www.seatrade.nl,[redacted],[redacted],"Leonard Springerlaan 17, 9727 KB Groningen, Netherlands",,6/7/2024
27,9011961,NEPTUNE,9/30/2026,,3/18/2022,9/30/2026,Kargo-Mahmut Can Egerci,TRK,http://www.mcekargo.com,[redacted],[redacted],"Cagdas Han, Tas Ocagi Sokak 1/25, Hasanpasa Mah, Kadikoy, 34722 Istanbul, Turkey.",,6/7/2024
28,7814462,WAWEL,2/10/2025,,6/16/2020,2/9/2025,Polish Baltic Shipping Co. (Polferries),POL,http://www.polferries.pl,[redacted],[redacted],"ul Portowa 41, 78-100 Kolobrzeg, Poland.",,6/7/2024
29,7638105,ELMAS,4/1/2015,4/1/2013,3/3/2023,8/31/2024,Bright Star Maritime Ltd,MAI,,[redacted],[redacted],"Trust Company Complex, Ajeltake Road, Ajeltake, Majuro MH 96960, Marshall Islands.",,6/7/2024
30,9084229,ROYAL O,8/11/2024,8/11/2024,5/15/2023,8/11/2024,Blue Sea Ship Management Ltd,TRK,,[redacted],[redacted],"Ic Kapi 6, Office 3F, 52104 Sokak, Livora Caddesii Sitesi, Merkez Mah, Mersin, Turkey",,6/7/2024
31,9504607,SAFEEN PRIME,6/24/2024,6/24/2024,8/18/2021,6/24/2024,GFS Ship Management FZE,UAE,http://www.globalfeeders.com/,[redacted],[redacted],"Office FZJOB1015, Jafza One, Jebel Ali Free Zone, Jebel Ali, Dubai, United Arab Emirates",,6/7/2024
32,9495363,LA BAMBA,4/9/2027,5/9/2025,5/10/2022,4/9/2027,Marine Ace Co Ltd (Marine Ace YK),JPN,,[redacted],[redacted],"F, N & S Building, 1-11, Nihonbashiningyo-cho 1-chome, Chuo-ku, Tokyo, 103-0013, Japan",,6/7/2024
33,9507740,GAS CERBERUS,4/19/2026,4/19/2021,8/4/2022,4/19/2026,Stealth Maritime Corp SA,GRC,http://www.stealth.gr/,[redacted],[redacted],"331, Kifisias Avenue, Kifisia, 145 61 Athens, Greece",,6/7/2024
34,8912120,GREEN COSTA RICA,10/30/2026,3/24/2025,3/24/2022,10/30/2026,Green Management Sp. z.o.o,POL,http://www.greenreefers.no,[redacted],[redacted],"Pu?askiego 6, 81-368 Gdynia Poland",,6/7/2024
35,9497878,WL PACIFIC,10/31/2026,10/31/2026,2/6/2023,10/31/2026,Cachalot Denizcilik Ticaret AS,TRK,,[redacted],[redacted],"Yakut Sokak 2/10, Guzelyali Mah, Pendik, Istanbul, Turkey",,6/7/2024
36,9525637,HAI BINH 16,6/1/2019,6/1/2017,5/22/2024,9/4/2024,TTC Ship Management Co Ltd,VNM,,[redacted],[redacted],"Office 101, TTC Building, 630, Le Thanh Tong, Hai An District, Haiphong City, Vietnam.",,6/7/2024
