#,id,date,hr,temp,dewpt,pre6,pre24,ws,cc
1,KAMA,01/01/1950,0,51.08,35.06,999999,999999,8,0
2,KAMA,01/01/1950,1,41,35.06,999999,999999,8.05,0
3,KAMA,01/01/1950,2,37.04,33.98,999999,999999,8.05,0
4,KAMA,01/01/1950,3,35.96,33.98,999999,999999,5.75,0
5,KAMA,01/01/1950,4,33.08,32,999999,999999,6.9,0
6,KAMA,01/01/1950,5,30.92,30.02,999999,999999,8.05,0
7,KAMA,01/01/1950,6,33.98,28.94,999999,999999,3.45,0
8,KAMA,01/01/1950,7,33.08,28.94,999999,999999,12.65,0
9,KAMA,01/01/1950,8,35.96,28.94,999999,999999,12.65,0
10,KAMA,01/01/1950,9,35.06,28.04,999999,999999,3.45,0
11,KAMA,01/01/1950,10,32,26.06,999999,999999,1.15,0
12,KAMA,01/01/1950,11,37.04,28.04,999999,999999,6.9,0
13,KAMA,01/01/1950,12,33.98,28.94,999999,0,3.45,0
14,KAMA,01/01/1950,13,35.96,30.02,999999,999999,3.45,0
15,KAMA,01/01/1950,14,39.02,33.08,999999,999999,9.2,0
16,KAMA,01/01/1950,15,41,35.06,999999,999999,10.35,0
17,KAMA,01/01/1950,16,48.92,39.02,999999,999999,14.95,0
18,KAMA,01/01/1950,17,55.04,42.98,999999,999999,18.4,0
19,KAMA,01/01/1950,18,57.92,42.08,999999,999999,16.1,0
20,KAMA,01/01/1950,19,60.98,42.08,999999,999999,14.95,0
21,KAMA,01/01/1950,20,62.06,39.02,999999,999999,14.95,0
22,KAMA,01/01/1950,21,62.06,35.96,999999,999999,13.8,0
23,KAMA,01/01/1950,22,62.06,39.02,999999,999999,12.65,0
24,KAMA,01/01/1950,23,57.92,41,999999,999999,8.05,0
25,KAMA,01/02/1950,0,53.96,42.98,999999,999999,6.9,0
26,KAMA,01/02/1950,1,51.98,42.98,999999,999999,11.5,0
27,KAMA,01/02/1950,2,51.98,46.04,999999,999999,17.25,0
28,KAMA,01/02/1950,3,50,46.04,999999,999999,12.65,0
29,KAMA,01/02/1950,4,50,46.04,999999,999999,13.8,0
30,KAMA,01/02/1950,5,51.08,46.04,999999,999999,19.55,0
31,KAMA,01/02/1950,6,51.08,46.04,999999,999999,18.4,0
32,KAMA,01/02/1950,7,48.92,44.96,999999,999999,16.1,0
33,KAMA,01/02/1950,8,48.02,44.06,999999,999999,11.5,0
34,KAMA,01/02/1950,9,46.04,42.98,999999,999999,12.65,0
35,KAMA,01/02/1950,10,44.96,42.98,999999,999999,11.5,0
36,KAMA,01/02/1950,11,44.06,42.08,999999,999999,17.25,0
37,KAMA,01/02/1950,12,44.06,41,999999,0,11.5,0
38,KAMA,01/02/1950,13,44.06,39.92,999999,999999,8.05,0
39,KAMA,01/02/1950,14,44.96,39.92,999999,999999,11.5,0
40,KAMA,01/02/1950,15,46.04,41,999999,999999,18.4,0
41,KAMA,01/02/1950,16,48.92,42.08,999999,999999,14.95,0
42,KAMA,01/02/1950,17,57.92,42.98,999999,999999,23,0
43,KAMA,01/02/1950,18,64.04,39.92,999999,999999,18.4,0
44,KAMA,01/02/1950,19,66.02,39.92,999999,999999,21.85,0
45,KAMA,01/02/1950,20,68,37.94,999999,999999,18.4,0
46,KAMA,01/02/1950,21,66.02,37.94,999999,999999,20.7,0
47,KAMA,01/02/1950,22,64.94,39.92,999999,999999,25.3,0
48,KAMA,01/02/1950,23,64.04,37.94,999999,999999,11.5,0
49,KAMA,01/03/1950,0,60.08,39.02,999999,999999,8.05,0
50,KAMA,01/03/1950,1,57.92,41,999999,999999,10.35,0
