#,Company,Contact Title,First Name,Last Name,Address,City,State,Zip,Z4,Phone Number,Primary SIC Code,Website,Wireless Flag,Number of Employees,Sales Volume,Contact Title description,Number of Employees description,Primary SIC Code description,Sales Volume description
1,PREMIER FAMILY DENTAL,99,[redacted],[redacted],[redacted],WESTLAKE,OH,44145,4366,[redacted],80210202,www.premierfamilydentaloh.com,Y,A,A,Other,1 to 4,Dentists' office,Less than $500000
2,CLEVELAND BUILDING RESTORATION,99,[redacted],[redacted],[redacted],AURORA,OH,44202,8549,[redacted],17990000,www.clerestoration.com,Y,A,A,Other,1 to 4,Special Trade Contractors Nec,Less than $500000
3,GREATHOUSE EXPRESS INC,2,[redacted],[redacted],[redacted],PASADENA,CA,91103,2617,[redacted],42120000,,Y,A,A,Manager,1 to 4,Local Trucking Without Storage,Less than $500000
4,DONNYLAH CONTRACTING LLC,11,[redacted],[redacted],[redacted],BRONX,NY,10473,1152,[redacted],73899999,,Y,A,A,Principal,1 to 4,Business Services nec,Less than $500000
5,RINAS CLOSET REVIVAL,11,[redacted],[redacted],[redacted],ROYAL OAK,MI,48067,1833,[redacted],59320000,,Y,A,A,Principal,1 to 4,Used Merchandise Stores,Less than $500000
6,HUBERT LITTLE TRUCKER LLC,99,[redacted],[redacted],[redacted],MONROEVILLE,AL,36460,2449,[redacted],42120301,,Y,A,A,Other,1 to 4,Lumber (log) trucking local,Less than $500000
7,PUSHING PINK TO ERADICATE BREA,3,[redacted],[redacted],[redacted],YULEE,FL,32097,3478,[redacted],73899923,,Y,A,A,President,1 to 4,Fund raising organizations,Less than $500000
8,WARREN DANGELO,11,[redacted],[redacted],[redacted],POMPANO BEACH,FL,33076,1757,[redacted],73899999,,Y,A,A,Principal,1 to 4,Business Services nec,Less than $500000
9,STAR CARS LEASING LLC,1,[redacted],[redacted],[redacted],AUGUSTA,GA,30906,4638,[redacted],87420000,,Y,A,A,Owner,1 to 4,Management Consulting Services,Less than $500000
10,JUST BE THERAPY AND HEALING,11,[redacted],[redacted],[redacted],SAN FRANCISCO,CA,94107,4407,[redacted],58130103,,Y,A,A,Principal,1 to 4,Cocktail lounge,Less than $500000
11,EUGENE PHOTO BOOTH,1,[redacted],[redacted],[redacted],EUGENE,OR,97404,2394,[redacted],72219903,www.eugenephotobooth.com,Y,A,A,Owner,1 to 4,Photographer still or video,Less than $500000
12,C&G HOMES LLC,11,[redacted],[redacted],[redacted],WAUCHULA,FL,33873,37,[redacted],15210000,,Y,A,A,Principal,1 to 4,Single-family Housing Construction,Less than $500000
13,DISCOUNT MEDICAL SUPPLY,1,[redacted],[redacted],[redacted],SEATTLE,WA,98198,5747,[redacted],59990900,www.discountmedicaltacoma.net,Y,A,A,Owner,1 to 4,Medical apparatus and supplies,Less than $500000
14,MAID NEAR ME LLC,99,[redacted],[redacted],[redacted],MADISON,WI,53716,2953,[redacted],73499903,,Y,A,A,Other,1 to 4,Maid services contract or fee basis,Less than $500000
15,KINARD HEATING & AIR CONDITION,11,[redacted],[redacted],[redacted],JACKSONVILLE,FL,32244,8518,[redacted],17110405,,Y,A,A,Principal,1 to 4,Warm air heating and air conditioning contractor,Less than $500000
16,RUSTIC FLAIR PHOTOGRAPHY LLC,1,[redacted],[redacted],[redacted],PROVENCAL,LA,71468,6128,[redacted],72219903,,Y,A,A,Owner,1 to 4,Photographer still or video,Less than $500000
17,4040 FINANCIAL LLC,11,[redacted],[redacted],[redacted],MCKINNEY,TX,75072,3709,[redacted],62820000,,Y,A,A,Principal,1 to 4,Investment Advice,Less than $500000
18,AVON,99,[redacted],[redacted],[redacted],BOYNTON BEACH,FL,33436,2844,[redacted],59639903,www.avon.com,Y,A,A,Other,1 to 4,Cosmetic sales house-to-house,Less than $500000
19,ELBA LUBRICATION INC,17,[redacted],[redacted],[redacted],BRENTWOOD,NY,11717,3919,[redacted],51720204,www.elba-lubes.com,Y,A,A,Director,1 to 4,Lubricating oils and greases,Less than $500000
20,ERNEST L LEPORINI,11,[redacted],[redacted],[redacted],CITRUS HEIGHTS,CA,95610,6711,[redacted],73899999,,Y,A,A,Principal,1 to 4,Business Services nec,Less than $500000
21,WENAAS LIVING TRUST,99,[redacted],[redacted],[redacted],MINNEAPOLIS,MN,55424,1540,[redacted],67330000,,Y,A,A,Other,1 to 4,Trusts Nec,Less than $500000
22,WAXXI TAXXI LLC,11,[redacted],[redacted],[redacted],DECATUR,GA,30034,1926,[redacted],72910000,,Y,A,A,Principal,1 to 4,Tax Return Preparation Services,Less than $500000
23,NORTHWEST VTERINARY ENTPS PLLC,11,[redacted],[redacted],[redacted],COLUMBIA FALLS,MT,59912,3608,[redacted],7420000,,Y,A,A,Principal,1 to 4,Veterinary Services Specialties,Less than $500000
24,ADAM KHAN FOOD INC,11,[redacted],[redacted],[redacted],NEW YORK,NY,10035,5005,[redacted],54110000,,Y,A,A,Principal,1 to 4,Grocery Stores,Less than $500000
25,ELITE APPRAISAL,1,[redacted],[redacted],[redacted],OZARK,MO,65721,8083,[redacted],65319901,,Y,A,A,Owner,1 to 4,Appraiser real estate,Less than $500000
26,ALL STYLE TILE LLC,2,[redacted],[redacted],[redacted],SARASOTA,FL,34232,2462,[redacted],17439904,,Y,A,A,Manager,1 to 4,Tile installation ceramic,Less than $500000
27,TARGET 2017 JUNE BOARD OF,99,[redacted],[redacted],[redacted],MINNEAPOLIS,MN,55404,2595,[redacted],53119901,,Y,A,A,Other,1 to 4,Department stores discount,Less than $500000
28,MAIN AUTO WASH LLC,99,[redacted],[redacted],[redacted],FREWSBURG,NY,14738,9799,[redacted],75429904,,Y,A,A,Other,1 to 4,Washing and polishing automotive,Less than $500000
29,EDWARD SURRENA,1,[redacted],[redacted],[redacted],JAMESTOWN,NY,14701,3722,[redacted],76990000,,Y,A,A,Owner,1 to 4,Repair Services Nec,Less than $500000
30,DNA PAIN MGT SRVCS-FMILY NP PC,11,[redacted],[redacted],[redacted],FLUSHING,NY,11355,4283,[redacted],80110000,,Y,A,A,Principal,1 to 4,Offices and Clinics of Medical Doctors,Less than $500000
31,BELL FEED & FARM WELL & PUMP,1,[redacted],[redacted],[redacted],BELL,FL,32619,3925,[redacted],1910000,,Y,A,A,Owner,1 to 4,General Farms Primarily Crop,Less than $500000
32,BOSHANSKI MICHEAL MARY T,11,[redacted],[redacted],[redacted],LAWRENCE TOWNSHIP,NJ,8648,2801,[redacted],73899999,,Y,A,A,Principal,1 to 4,Business Services nec,Less than $500000
