#,ID,ShortName,LongName,CompanyType,CountryCode,CompanyIMO,Website,CompanyStatus,Email,Phone,Address,LinkedIn,ParentCompanyIMO,ParentCompanyName,DateModified
1,1124021,Moradina SL,Moradina SL,Owner,SPN,1124021,http://www.moradina.com,Active,[redacted],[redacted],Rua Arrecife 7 36940 Cangas (Pontevedra) Spain,,,,6/7/2024
2,5432793,Upstream Shipping,Upstream Shipping Ltd,Independent Shipping,NIG,5432793,,Active,[redacted],[redacted],"BC, Hinderer Road, Apapa GRA, Apapa, Nigeria",,,,6/7/2024
3,5230299,Bok Seng Logistics,Bok Seng Logistics Pte Ltd,Owner,SNG,5230299,https://bokseng-ipl.com/,Active,[redacted],[redacted],"No. 5 Tuas Avenue 3, Bok Seng HQ, Singapore(639405)",https://sg.linkedin.com/company/bok-seng-group,,,6/7/2024
4,6198331,Blues Water Maritime,Blues Water Maritime Shipping,Owner,YEM,6198331,,Active,[redacted],[redacted],"San'a, Yemen",,,,6/7/2024
5,1D63272C-F574-4961-982A-DFAC30187971,Eskja hf,Eskja hf,Owner,ICL,0222658,http://eskja.is/?lang=en,Active,[redacted],[redacted],"Strandgata 39, 735 Eskifjordur, Iceland",,,,6/7/2024
6,5214342,Bok Seng Asia,Bok Seng Asia Pte Ltd,Owner,SNG,5214342,http://www.bokseng-ipl.com,Active,[redacted],[redacted],"BS Logistics Hub 5, Tuas Avenue 3 Singapore 639405",,5230299,Bok Seng Logistics Pte Ltd,6/7/2024
7,1723532,Vessel Management Services,Vessel Management Services Inc,Commercial Manager,USA,1723532,https://vms.co.nz/,Active,[redacted],[redacted],"9487, Regency Square Boulevard Jacksonville FL 32225-8183 USA",,0541789,Crowley Maritime Corporation,6/7/2024
8,5921761,Indah Permata PT,PT Pelayaran Indah Permata,Owner,IDA,5921761,,Active,[redacted],[redacted],"Blok A-22, Jalan Tanjung Batu 22, Kec Pabean Cantikan, Surabaya, Indonesia",,,,6/7/2024
9,1940251,Vergi,Vergi Ltd,Owner,LAV,1940251,https://vergi.lv/en/,Active,[redacted],[redacted],"Melluu prosp.66a-3, J?rmala LV-2008, Latvia",,,,6/7/2024
10,5843941,Ingria Shipping,Ingria Shipping Ltd,Owner,RUS,5843941,,Active,[redacted],[redacted],"Office 8-N, Building 15, Area A, ul Krasnoputilovskaya St Petersburg, 198152, Russia",,,,6/7/2024
11,C520D4C2-D24D-4B0F-8595-31A464EFA698,Saudi Aramco,Saudi Arabian Oil Co,Owner,SAU,0095882,http://www.saudiaramco.com,Active,[redacted],[redacted],Dhahran Aramco P.O. Box 5000 Dhahran 31311 Kingdom of Saudi Arabia,https://www.linkedin.com/company/aramco/,,,6/6/2024
12,6393206,Northwind Denizcilik,Northwind Denizcilik Sanayi ve Ticaret Ltd Sti,Commercial Manager,TRK,6393206,,Active,[redacted],[redacted],"Sahil Bulvari, Guzelyali Mah, 141, Pendik, 34903 Istanbul, Turkey",,,,6/6/2024
13,6095067,Tisha Ship Management,Tisha Ship Management Pvt Ltd,Commercial Manager,IND,6095067,https://tishaship.com/,Active,[redacted],[redacted],"Fort Pearl Apartment, Flat #1C, Church Landing Road, Pallimukku, Kochi - 682016, Kerala, India",,,,6/6/2024
14,C829168B-E210-4C9B-85AD-51D492201ABC,Aquavita International,Aquavita International SA,Operator / Control,GRC,5542233,https://www.aquavitainternational.com/,Active,[redacted],[redacted],"16 Georgiou Kondyli Str, Glyfada, Athens 16675 Greece",https://www.linkedin.com/company/aquavita-international/,,,6/6/2024
15,4063401,Navinsa,Naviera Integral S.A. de C.V. (Navinsa),Owner,MEX,4063401,http://www.navinsa.com.mx,Active,[redacted],[redacted],"Arquimedes 209-104, Col Polanco, Miguel Hidalgo, 11570 Mexico City, DF, Mexico",,,,6/6/2024
16,6229254,ATC,ARAMCO Trading Co,Operator / Control,SAU,6229254,https://www.aramcotrading.com/en/,Active,[redacted],[redacted],"Al-Midra Tower Building Floor 3, East Wing Dhahran 31311, Saudi Arabia",https://www.linkedin.com/company/saudi-aramco-products-trading-company-aramco-trading-/,0095882,Saudi Arabian Oil Co,6/6/2024
17,6290401,Reachy Shipping (SGP),Reachy Shipping (SGP) Pte Ltd,Owner,SNG,6290401,,Active,[redacted],[redacted],"14-02, 152, Beach Road, Singapore 189721",,,,6/6/2024
18,04E6C805-1935-436D-B1A4-04C60708A5BF,AtoBatC Shipping,AtoBatC Shipping AB,Operator / Control,SWD,5772832,https://www.atobatc.se/,Active,[redacted],[redacted],"Hamntorget 2A, SE-271 39 Ystad, Sweden",https://www.linkedin.com/company/esl-shipping-oy,0204339,ESL Shipping Oy,6/6/2024
19,6438720,Manassa Queen,Manassa Queen Shipping Co,Independent Shipping,TRK,6438720,,Active,[redacted],[redacted],"IC Kapi 14, Kat 5, Erdogan Center, Gazi Mustafa Kemal Bulvari, Akdeniz Mah, 910, 33340 Mersin, Tu...",,,,6/6/2024
20,6430874,One Way Inc,One Way Inc,Commercial Manager,TRK,6430874,,Active,[redacted],[redacted],"Ali Gaffar Okan Caddesi 3, Kesikkapi Mah, Fethiye, Turkey",,,,6/5/2024
