#,date,country_code,number_of_active_listings,average_occupancy (%),average_daily_rate (EUR),median_occupancy (%),median_daily_rate (EUR)
1,2021-01,Andorra,570,20.3,181.2,12,135
2,2021-02,Andorra,551,26.1,185.8,20,140.3
3,2021-03,Andorra,593,20.6,166.4,12,120.9
4,2021-04,Andorra,597,17.9,154.6,8,99.7
5,2021-05,Andorra,370,17.6,121.1,5,90.9
6,2021-06,Andorra,590,20.8,134.9,12,96.2
7,2021-07,Andorra,609,30.3,137.5,27,99.7
8,2021-08,Andorra,592,46.6,141.6,48,103.2
9,2021-09,Andorra,588,26.1,132.3,18,94.4
10,2021-10,Andorra,629,30.5,131.8,22,93.5
11,2021-11,Andorra,600,33.3,167.9,23.5,109.4
12,2021-12,Andorra,604,53.2,206.7,53,154.4
13,2021-01,United-Arab-Emirates,3271,38.7,146.9,33,86.5
14,2021-02,United-Arab-Emirates,2985,39.5,139.5,36,82.9
15,2021-03,United-Arab-Emirates,4446,37.6,161.8,32,100.6
