#,datetime (UTC),"coordinates (lat,lon)",model (name),model elevation (surface),utc_offset (hrs),temperature (degC),dewpoint_temperature (degC),skin_temperature (degC),relative_humidity (0-1),humidex_index (degC),wind_speed (m/s),wind_direction (deg),10m_wind_gust (m/s),100m_wind_speed (m/s),100m_wind_direction (deg),surface_solar_radiation (W/m^2),surface_thermal_radiation (W/m^2),surface_direct_solar_radiation (W/m^2),surface_diffuse_solar_radiation (W/m^2),mean_sea_level_pressure (Pa),surface_pressure (Pa),total_cloud_cover (0-1),total_precipitation (mm of water equivalent),snowfall (mm of water equivalent),snow_depth (mm of water equivalent)
1,1990-01-01 00:00:00,"(42.3605, -71.0596)",era5,34.12,-5.0,5.84,5.17,5.52,0.95,5.19,6.67,179.05,13.18,11.6,182.74,0.0,337.72,0.0,0.0,100469.51,100054.55,1.0,0.79,0.0,5.65
2,1990-01-01 01:00:00,"(42.3605, -71.0596)",era5,34.12,-5.0,6.51,5.98,6.4,0.96,6.14,7.04,186.5,13.08,11.99,189.8,0.0,350.77,0.0,0.0,100243.94,99832.0,1.0,0.77,0.0,5.72
3,1990-01-01 02:00:00,"(42.3605, -71.0596)",era5,34.12,-5.0,7.83,7.49,7.05,0.98,8.04,6.66,199.97,12.17,11.26,203.32,0.0,353.81,0.0,0.0,100146.68,99736.22,1.0,0.64,0.0,5.87
4,1990-01-01 03:00:00,"(42.3605, -71.0596)",era5,34.12,-5.0,7.94,7.71,7.26,0.98,8.23,6.38,207.76,12.11,10.62,210.47,0.0,357.64,0.0,0.0,100010.0,99600.55,1.0,0.59,0.0,4.88
5,1990-01-01 04:00:00,"(42.3605, -71.0596)",era5,34.12,-5.0,8.18,7.92,7.26,0.98,8.56,6.28,215.12,11.95,10.65,217.79,0.0,360.25,0.0,0.0,99928.73,99519.71,1.0,0.95,0.0,4.52
6,1990-01-01 05:00:00,"(42.3605, -71.0596)",era5,34.12,-5.0,7.99,7.6,7.25,0.97,8.24,6.63,219.77,12.29,11.21,222.48,0.0,361.33,0.0,0.0,99832.19,99423.08,1.0,0.57,0.0,4.3
7,1990-01-01 06:00:00,"(42.3605, -71.0596)",era5,34.12,-5.0,7.63,7.15,7.1,0.97,7.7,6.49,222.26,11.81,11.09,225.53,0.0,360.09,0.0,0.0,99743.77,99334.29,1.0,0.06,0.0,4.15
8,1990-01-01 07:00:00,"(42.3605, -71.0596)",era5,34.12,-5.0,7.4,6.9,6.81,0.97,7.38,5.83,223.99,10.31,10.26,227.9,0.0,355.74,0.0,0.0,99687.12,99277.63,1.0,0.09,0.0,4.15
9,1990-01-01 08:00:00,"(42.3605, -71.0596)",era5,34.12,-5.0,6.95,6.27,6.2,0.95,6.69,4.5,217.14,7.66,8.33,223.48,0.0,349.17,0.0,0.0,99519.82,99110.48,1.0,0.21,0.0,4.16
10,1990-01-01 09:00:00,"(42.3605, -71.0596)",era5,34.12,-5.0,6.52,5.94,5.67,0.96,6.13,4.76,222.34,8.36,8.75,226.26,0.0,348.56,0.0,0.0,99444.13,99034.13,1.0,1.25,0.0,4.01
