#,GUID,Title,Brand,Latitude,Longitude,House number,Street,Locality,Village/Town/City,Area,Country,Postal code,Address,Wheelchair,Phone,Website,Opening hours: Monday,Opening hours: Tuesday,Opening hours: Wednesday,Opening hours: Thursday,Opening hours: Friday,Opening hours: Saturday,Opening hours: Sunday
1,0001ce8c-10a7-4d20-b851-93365411e388,M&S Foodhall,Marks & Spencer,51.45785304,-0.075459147,,Lordship Lane,London,High Street,Greater London,England,SE22 8HF,"Lordship Lane, London, SE22 8HF, Greater London, United Kingdom",Yes,[redacted],https://www.marksandspencer.com/stores/dulwich-foodhall-1994?extid=local,8:00 AM - 10:00 PM,8:00 AM - 10:00 PM,8:00 AM - 10:00 PM,8:00 AM - 10:00 PM,8:00 AM - 10:00 PM,8:00 AM - 10:00 PM,11:00 AM - 5:00 PM
2,0002ef58-b4d3-413f-ac26-fa8042021b33,Premier,Premier,51.49612829,0.129239555,202-206,Yarnton Way,,Erith,Greater London,England,DA18 4AX,"202-206 Yarnton Way, Erith, DA18 4AX, Greater London, United Kingdom",,[redacted],https://www.premier-stores.co.uk/?utm_source=gmb&utm_medium=yext,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,8:00 AM - 6:00 PM
3,00033f6a-1395-4739-b706-1083b0b68301,Premier,Premier,53.42843869,-2.43576668,104,Liverpool Road,Cadishead,Salford,Greater Manchester,England,M44 5AN,"104 Liverpool Road, Cadishead, M44 5AN, Greater Manchester, United Kingdom",Yes,[redacted],https://www.premier-stores.co.uk/?utm_source=gmb&utm_medium=yext,,,,,,,
4,0004abbb-f06d-4f33-90e1-3dba808a4012,Tesco Superstore,Tesco,52.60131964,0.37705567,,London Road,,Downham Market,Norfolk,England,PE38 9AW,"London Road, Downham Market, PE38 9AW, Norfolk, United Kingdom",Yes,[redacted],https://www.tesco.com/store-locator/downham-market/london-rd?sc_cmp=ref*yg*stc*2393&utm_source=ye...,6:00 AM - 12:00 AM,6:00 AM - 12:00 AM,6:00 AM - 12:00 AM,6:00 AM - 12:00 AM,6:00 AM - 12:00 AM,6:00 AM - 12:00 AM,10:00 AM - 4:00 PM
5,000b5ae8-20da-4b7e-8245-60ea8b239442,Tesco Express,Tesco,51.7321879,0.455479329,107,Waterhouse Lane,,Chelmsford,Essex,England,CM1 2RY,"107 Waterhouse Lane, Chelmsford, CM1 2RY, Essex, United Kingdom",Yes,[redacted],https://www.tesco.com/store-locator/chelmsford/107-waterhouse-ln?sc_cmp=ref*yg*stc*6724&utm_sourc...,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM
6,00124f1d-d851-409b-a200-c84b21e34233,Tesco Extra,Tesco,53.58143684,-2.5317476,,Mansell Way,Horwich,Bolton,Greater Manchester,England,BL6 6JS,"Mansell Way, Horwich, BL6 6JS, Greater Manchester, United Kingdom",Yes,[redacted],https://www.tesco.com/store-locator/bolton/mansell-way?sc_cmp=ref*yg*stc*2699&utm_source=yext_goo...,6:00 AM - 12:00 AM,6:00 AM - 12:00 AM,6:00 AM - 12:00 AM,6:00 AM - 12:00 AM,6:00 AM - 12:00 AM,6:00 AM - 12:00 AM,11:00 AM - 5:00 PM
7,0014c86b-dd86-42a6-9cc0-e4e91b974933,Sainsbury's Local,Sainsbury's,51.47497027,-0.338442474,489,London Road,,Isleworth,Greater London,England,TW7 4BZ,"489 London Road, Isleworth, TW7 4BZ, Greater London, United Kingdom",Yes,[redacted],https://stores.sainsburys.co.uk/6117/isleworth-london-road-local?utm_source=gmb&utm_medium=yext&y...,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM
8,001f72e8-0ae9-4e4c-a248-6a00ea081a7b,Premier,Premier,51.39301026,0.169986788,31,Azalea Drive,,Swanley,Kent,England,BR8 8HS,"31 Azalea Drive, Swanley, BR8 8HS, Kent, United Kingdom",,[redacted],https://www.premier-stores.co.uk/,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM,6:00 AM - 10:00 PM
9,0021ac51-86b3-49ea-b2b2-6e4cad81e55b,Iceland Supermarket,Iceland,51.53908181,-0.194340149,100-104,Kilburn High Road,,London,Greater London,England,NW6 4HS,"100-104 Kilburn High Road, London, NW6 4HS, Greater London, United Kingdom",Yes,[redacted],https://www.iceland.co.uk/store-finder/store?StoreID=1226&StoreName=KILBURN%20HIGH%20ROAD&utm_sou...,8:00 AM - 10:00 PM,8:00 AM - 10:00 PM,8:00 AM - 10:00 PM,8:00 AM - 10:00 PM,8:00 AM - 9:00 PM,8:00 AM - 10:00 PM,11:00 AM - 5:00 PM
10,002584f7-4f03-4b5f-8bc8-8c2d82964992,Morrisons,Morrisons,53.58573062,-2.45427594,,Mornington Road,,Bolton,Greater Manchester,England,BL1 4EU,"Mornington Road, Bolton, BL1 4EU, Greater Manchester, United Kingdom",Yes,[redacted],https://my.morrisons.com/storefinder/59,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,10:00 AM - 4:00 PM
