#,ZONEID,NUTS,CODEPOSTAL,ZONENAME,CITY,CATEGORY,NBR_COMPANIES,X,Y
1,FR 77002 001,77002,77120,Z.A. LES BALIVEAUX,AMILLIS,INDUSTRIAL AREA,A,"3,11151","48,7404"
2,FR 77005 001,77005,77410,Z.A. DES CINQ NOYERS,ANNET-SUR-MARNE,INDUSTRIAL AREA,A,"2,71286","48,9195"
3,FR 77005 002,77005,77410,VEOLIA,ANNET-SUR-MARNE,BIG COMPANY SITE,A,"2,70488","48,9174"
4,FR 77014 001,77014,77210,Z.A.,AVON,INDUSTRIAL AREA,C,"2,73917","48,4226"
5,FR 77014 002,77014,77210,Z.A.C. DE LA VALLÉE,AVON,Z.A.C.,A,"2,72752","48,4119"
6,FR 77014 003,77014,77210,Z.A.C. DE L'ECOQUARTIER DES YEBLES DE CHANGIS,AVON,Z.A.C.,A,"2,72684","48,4157"
7,FR 77014 004,77014,77210,LE DOMAINE DE BELLEFONTAINE,AVON,LOTISSEMENT D'HABITATION,A,"2,73051","48,4201"
8,FR 77014 005,77014,77210,CARREFOUR MARKET,AVON,SHOPPING CENTRE,A,"2,72025","48,4147"
9,FR 77016 001,77016,77167,Z.A.,BAGNEAUX-SUR-LOING,INDUSTRIAL AREA,A,"2,70519","48,2319"
10,FR 77018 002,77018,77700,PARC INTERNATIONAL D'ENTREPRISES,BAILLY-ROMAINVILLIERS,INDUSTRIAL AREA,B,"2,80192","48,8402"
