#,UniqueID,BusinessName,Address1,PostCode,City,Province,Country,Phone,Fax,Mobile,PhoneOrMobile,Email,Website,NationalID,Latitude,Longitude,GeolevelLabel,InternationalCode,InternationalLabel,Language,CEOName,CEOTitle,CEOFirstName,CEOLastName,YearStarted,SalesVolume,Currency,EmployeesTotal,StatusCodeName,FamilyMembers,LegalStatus,ImportExportAgent
1,0469923873,"NPTS SPETSNEFTPRODUKT, AO",[redacted],121069,Moskva,Moskva,Russia,[redacted],[redacted],[redacted],[redacted],[redacted],,52764037,55.7560837,37.5918579,House,2899,"Chemical preparations, nec",RUL,[redacted],Director-General,[redacted],[redacted],2000,493161000,RUB,47,Single Location,0,Corporation,None or Not Available
2,0642761852,"ROO SVRO, OO",[redacted],440034,Penza,Penzenskaya oblast',Russia,[redacted],[redacted],[redacted],[redacted],[redacted],,85876550,53.1574999,44.9902999,House,8699,"Membership organizations, nec",RUL,[redacted],Chairman,[redacted],[redacted],2008,3032102,RUB,1,Single Location,0,Non profit organization,None or Not Available
3,0613896119,"LEBED, OOO",[redacted],167026,Syktyvkar,Komi respublika,Russia,[redacted],[redacted],[redacted],[redacted],[redacted],,64915300,61.8007727,50.7388327,House,7219,"Laundry and garment services, nec",RUL,[redacted],Director,[redacted],[redacted],2010,21830000,RUB,33,Single Location,0,Corporation,None or Not Available
4,0465860469,"NOVY ATRIUM, OOO",[redacted],109012,Moskva,Moskva,Russia,[redacted],[redacted],[redacted],[redacted],[redacted],,70034058,55.7526308,37.6268768,House,5812,Eating places,RUL,[redacted],Principal,[redacted],[redacted],2003,8189000,RUB,13,Single Location,0,Corporation,None or Not Available
5,0793561776,"PREZIDENT, OF",[redacted],125009,Moskva,Moskva,Russia,[redacted],[redacted],[redacted],[redacted],[redacted],,81496023,55.7653317,37.6029179,House,8732,Commercial nonphysical research,RUL,[redacted],President,[redacted],[redacted],2007,12000,RUB,5,Single Location,0,Partnership of unknown type,None or Not Available
6,0468728843,"RRZ-RUSAUDIO, AO",[redacted],390023,Ryazan,Ryazanskaya oblast',Russia,[redacted],[redacted],[redacted],[redacted],[redacted],,57399878,54.6210334,39.7629821,House,3669,"Communications equipment, nec",RUL,[redacted],Director-General,[redacted],[redacted],2001,597368000,RUB,246,Single Location,0,Corporation,None or Not Available
7,0642362034,"TFOMS VOLOGODSKOI OBLASTI, GKU",[redacted],160017,Vologda,Vologodskaya oblast',Russia,[redacted],[redacted],[redacted],[redacted],[redacted],,22754969,59.2073198,39.8587697,House,6399,"Insurance carriers, nec",RUL,[redacted],Director,[redacted],[redacted],1993,494578198,RUB,100,Single Location,116,,None or Not Available
8,0633859642,"FORMULA KROVLI, OOO",[redacted],350900,Krasnodar,Krasnodarskiy kray,Russia,[redacted],[redacted],[redacted],[redacted],[redacted],,23251673,45.1284089,38.9924694,Street,5039,"Construction materials, nec",RUL,[redacted],Director-General,[redacted],[redacted],2017,21807000,RUB,3,Single Location,0,Corporation,None or Not Available
9,0473628256,"MOLOCHNY GOROD, OOO",[redacted],610932,Kirov,Kirovskaya oblast',Russia,[redacted],[redacted],[redacted],[redacted],[redacted],,02976550,58.6029045,49.668064,City,5143,"Dairy products, except dried or canned",RUL,[redacted],Director,[redacted],[redacted],2016,30727000,RUB,4,Single Location,0,Corporation,None or Not Available
10,0633852013,"POLITBUK, OOO",[redacted],603163,Nizhniy Novgorod,Nizhegorodskaya oblast',Russia,[redacted],[redacted],[redacted],[redacted],[redacted],,22071512,56.2856120,44.0804067,House,7383,News syndicates,RUL,[redacted],Director,[redacted],[redacted],2017,290000,RUB,1,Single Location,0,Corporation,None or Not Available
11,0469400493,"TERTSET, OOO",[redacted],394063,Voronezh,Voronezhskaya oblast',Russia,[redacted],[redacted],[redacted],[redacted],[redacted],,42622017,51.6925924,39.2621754,House,5044,Office equipment,RUL,[redacted],Director,[redacted],[redacted],1996,6416000,RUB,6,Single Location,0,Corporation,None or Not Available
12,0618146739,"KAMRER, OOO",[redacted],606000,Dzerzhinsk,Nizhegorodskaya oblast',Russia,[redacted],[redacted],[redacted],[redacted],[redacted],,25589028,56.2417940,43.4574715,House,8742,Management consulting services,RUL,[redacted],Director,[redacted],[redacted],2014,781000,RUB,2,Single Location,0,Corporation,None or Not Available
13,0615125346,"BOLSHOI, AO",[redacted],664025,Irkutsk,Irkutskaya oblast',Russia,[redacted],[redacted],[redacted],[redacted],[redacted],,30028680,52.2832799,104.2772899,House,6371,"Pension, health, and welfare funds",RUL,[redacted],Director,[redacted],[redacted],,0,,0,Branch,39,,None or Not Available
14,0470037684,"DETSKI SAD OV N1, MBU",[redacted],162480,,,Russia,[redacted],[redacted],[redacted],[redacted],[redacted],,54000605,,,Not geocoded,8211,Elementary and secondary schools,RUL,[redacted],Principal,[redacted],[redacted],2000,252191853,RUB,50,Single Location,16,,None or Not Available
15,0633543033,"VESNA, OOO",[redacted],425223,,,Russia,[redacted],[redacted],[redacted],[redacted],[redacted],,16144480,,,Not geocoded,5411,Grocery stores,RUL,[redacted],Director,[redacted],[redacted],2017,13258000,RUB,4,Single Location,0,Corporation,None or Not Available
16,0793308760,"DREVESNY UGOL, OOO",[redacted],156518,Kostroma,Kostromskaya oblast',Russia,[redacted],[redacted],[redacted],[redacted],[redacted],http://www.ugo144.ru,79187361,57.7760007,40.9546400,Street,2869,"Industrial organic chemicals, nec",RUL,[redacted],Director,[redacted],[redacted],2006,415000,RUB,3,Single Location,0,Corporation,None or Not Available
17,0642721105,"SEMYA, OO",[redacted],620100,Yekaterinburg,Sverdlovskaya oblast',Russia,[redacted],[redacted],[redacted],[redacted],[redacted],,75008657,56.8286935,60.6353333,House,8699,"Membership organizations, nec",RUL,[redacted],Chairman,[redacted],[redacted],2004,14840288,RUB,5,HQ,3,Non profit organization,None or Not Available
18,0474629161,"AK AITIMS, OOO",[redacted],170100,Tver,Tverskaya oblast',Russia,[redacted],[redacted],[redacted],[redacted],[redacted],,63431669,56.859419,35.9123669,City,7699,"Repair services, nec",RUL,[redacted],Director-General,[redacted],[redacted],2009,4247000,RUB,4,Single Location,0,Corporation,None or Not Available
19,0794386682,"UKS, OOO",[redacted],620141,Yekaterinburg,Sverdlovskaya oblast',Russia,[redacted],[redacted],[redacted],[redacted],[redacted],,97920374,56.8726358,60.5440577,House,8711,Engineering services,RUL,[redacted],Director-General,[redacted],[redacted],2006,14663442,RUB,2,Single Location,0,Corporation,None or Not Available
20,0642403175,"KIROVSKI RAIONNY SUD G. SARATOVA, SUD",[redacted],107392,Saratov,Saratovskaya oblast',Russia,[redacted],[redacted],[redacted],[redacted],[redacted],http://kirovsky.sar.sudrf.ru,02867789,51.5508116,46.0150513,House,9222,Legal counsel and prosecution,RUL,[redacted],Chairman,[redacted],[redacted],1993,15644184,RUB,5,Single Location,0,,None or Not Available
21,0794080569,"TORGOVY DOM KISTEN, OOO",[redacted],243259,Desyatukha,Bryanskaya oblast',Russia,[redacted],[redacted],[redacted],[redacted],[redacted],,95274094,52.5855953,32.8368668,City,5099,"Durable goods, nec",RUL,[redacted],Director-General,[redacted],[redacted],2006,10120000,RUB,3,Single Location,0,Corporation,None or Not Available
22,0468658202,"SHUSHENSKI RYNOK, MUP",[redacted],662710,Shushenskoye,Krasnoyarskiy kray,Russia,[redacted],[redacted],[redacted],[redacted],[redacted],,36154753,53.3278,91.9431,City,6531,Real estate agents and managers,RUL,[redacted],Director,[redacted],[redacted],1995,4419000,RUB,13,Single Location,29,Corporation,None or Not Available
23,0469815127,"KASAR, OOO",[redacted],344019,Rostov-na-Donu,Rostovskaya oblast',Russia,[redacted],[redacted],[redacted],[redacted],[redacted],,51575713,47.2479810,39.7745739,House,6531,Real estate agents and managers,RUL,[redacted],Director-General,[redacted],[redacted],1999,9509000,RUB,5,Single Location,0,Corporation,None or Not Available
24,0612128960,"POLIGRAFSERVIS, OOO",[redacted],170027,Tver,Tverskaya oblast',Russia,[redacted],[redacted],[redacted],[redacted],[redacted],,67247276,56.8299830,35.8635906,Street,5111,Printing and writing paper,RUL,[redacted],Director,[redacted],[redacted],2010,8662000,RUB,7,Single Location,0,Corporation,None or Not Available
25,0465606474,"UNR-35 TRESTA LOS, OOO",[redacted],196084,Sankt-Peterburg,Sankt-Peterburg,Russia,[redacted],[redacted],[redacted],[redacted],[redacted],,32004940,59.9083933,30.2654200,House,6531,Real estate agents and managers,RUL,[redacted],Director-General,[redacted],[redacted],1994,18203000,RUB,10,Single Location,0,Corporation,None or Not Available
