#,GUID,Name,lat,lng,Locality,type
1,4445B37C-BAE7-3CDD-082F-F9BD37719EC8,Raymond Tourisaintservices,36.036,14.2357,Fontana,car rental
2,80568EF7-50C5-7670-1C53-F2B335BAAECE,Sacred Heart Parish Church,36.0398,14.2367,Fontana,church
3,ECE1B23D-75E9-4A8F-94F9-AF1EF7A7A3B4,Enigma Bed And Breakfast,36.0381,14.2357,Fontana,hotel
4,B488DF90-D7D7-FB5F-96C0-323C1C34EBF9,Doublec Vehicles,36.0333,14.2426,Ir-Rabat Għawdex,car dealer
5,17454B1E-F8B2-A3D3-577F-70438D45F311,Bank Of Valletta,35.8912,14.4413,Attard,bank
6,E00CDBD8-0899-DCA0-F7DD-571FB6D272C2,Attard Sports Bar,35.8908,14.4412,Attard,bar
7,7520E578-28CA-E895-B239-A1A128FF37D6,Bov Atm,35.8911,14.4415,Attard,atm
8,734AE56E-0885-57FC-F071-D61B852B83D1,Bnf Bank,35.8909,14.4418,Attard,bank
9,62F807A2-43EB-3DCC-1433-4DC41F16A000,Horace Bar,35.8884,14.4371,Attard,bar
10,2EA7C85A-BD1C-21D9-0759-8EF387641CB3,Hooked Fish Shop And Eatery,35.891,14.4415,Attard,fast food
11,C1D19EA5-C2F6-3DCC-AD96-D089EAF2CB2A,La Siciliana,35.8906,14.4409,Attard,fast food
12,A918CD35-4C79-0E72-58B0-7FB6FEEA0711,"Brown'S Pharmacy, Attard",35.8915,14.4411,Attard,pharmacy
13,F1A7F110-B4DC-BF88-9D0B-CA3A1BE1F632,Saint Nicholas College Attard Primary School,35.8913,14.4417,Attard,primary school
14,46395C5B-43E8-1B58-4573-FE5E2C589266,Century 21 Zenith Realty (Real Estate Service),35.8891,14.4375,Attard,real estate agency
15,176BC253-34C1-6179-FF45-60DFB894D060,Abra,35.8885,14.4367,Attard,furniture store
16,610386C1-B433-6D4B-7B55-D75F341D4FFD,Club Sushi Attard,35.8916,14.4413,Attard,fast food
17,FE02D291-02A0-CED4-4297-045FBABEC805,Tereza Kebab • Grill • Pizza • Burger,35.8899,14.4402,Attard,fast food
18,B71EDF29-F12F-422A-BEE3-F30507399BFA,Euroim - Jsm Ltd / Mon Lung Woodworks,35.8884,14.4364,Attard,furniture store
19,E02A1AC9-B614-87A8-C0A1-16DAB965957A,Forex Ironmongery,35.889,14.4387,Attard,hardware store
20,544A87F3-7A4A-8568-DF16-CABFFB929EB1,Chai,35.889,14.4403,Attard,cafe
