#,GUID,Lat,Lon,Name,Street no,Street,Town,Post code,State,Category
1,00002120-43E5-37BC-52D3-87B1221A22CA,27.70327117,-97.36596551,Hampton Inn & Suites,5879,South Padre Island Drive,Corpus Christi,78412,TX,hotel
2,0000B7AE-1AE6-A87C-A4BD-5BF4E7758675,38.447304,-122.700935,Dierk's Midtown Cafe,,4th Street,Santa Rosa,95404,CA,restaurant
3,0000C168-6F85-C8D5-1159-E97D4AD128C6,35.59146532,-82.52908722,Extended Stay America,6,Kenilworth Knoll,Asheville,28802,NC,hotel
4,00015171-257F-267B-E35A-D8DDA7F1574F,35.09619734,-80.93561399,Comfort Inn,,Cabelas Drive,York County,29710,SC,hotel
5,000159B3-F9FB-3534-6141-A77BF90E59DB,36.20792,-86.29217,Capitol Theater,110,West Main Street,Lebanon,37087,TN,cinema
6,00015BCE-43FB-1CC6-EC06-7B750DB90B47,30.004343,-90.17892,New Orleans Original Daiquiris,,Independence Street,Metairie,70006,LA,bar
7,000162BE-E5FB-59C2-892E-9E8158A9F6A7,45.053978,-87.76134,Subway,,French Street,Peshtigo,54157,WI,fast_food
8,00019D72-95EC-63FD-3C04-7567F79D2008,40.633266,-74.005585,Tengu Sushi & Noodle,5920,Fort Hamilton Parkway,Brooklyn,11219,NY,restaurant
9,0001A3A3-358E-6C49-1A3C-168031F95248,37.7392936,-121.421751,McDonald's,,East 11th Street,Tracy,95376,CA,fast_food
10,0002095E-75FE-3458-FE8F-AB47EC58EB33,29.82821815,-95.3939911,Taqueria El Paisano,426,Crosstimbers Street,Houston,77022,TX,restaurant
11,0002A0EC-0A78-89F7-269C-BBCE4E926384,40.39204347,-77.88792223,County Line Inn,,US 22,Lucy Furnace,17066,PA,bar
12,0002E847-6FDE-505B-261C-66750E6C0107,33.951885,-118.18485,Sam's Burgers and Mexican Food,,Dudlext Avenue,South Gate,90280,CA,fast_food
13,000300B7-F122-997D-2B47-5F18AA5B260C,39.77371921,-101.7939498,Saint Francis High School Track,,East Jackson Street,St. Francis,67756,KS,sport facility
14,0003573E-012E-F986-CBAE-43756701C2AB,44.64839859,-93.29180054,Rudy's Red Eye Grill,20800,Kenrick Avenue,Lakeville,55044,MN,restaurant
15,0003C07D-97E7-3ECE-D5F2-3151A22EE40F,40.05763574,-84.23482204,Comfort Suites,1800,Towne Park Drive,Troy,45373,OH,hotel
16,0003C444-03AA-E2B2-EDC9-DCA6AE5360DF,35.142803,-81.5077,McDonald's,1010,North Mountain Street,Blacksburg,29702,SC,fast_food
17,0003E09D-C8BC-D30F-B197-6A05F49E4952,30.391134,-97.738495,NXNW North By Northwest,10010,North Capital of Texas Highway,Gateway,78759,TX,restaurant
18,00046C67-8011-770F-443A-1BFAE40476D8,37.78893718,-79.43611899,Consessions,,North Main Street,Lexington,24450,VA,fast_food
19,0004B3ED-24FE-69A6-FCED-D4A60AC3A5E0,30.26049738,-98.88403075,Burger King,1102,South State Highway 16,Fredericksburg,78624,TX,fast_food
20,0004BFD4-DE75-7AF3-E89D-C155D7E20560,36.16196,-86.77449,Acme Feed and Seed,,Broadway,Downtown Nashville,37203,TN,restaurant
