#,GIUD,Name,Lat,Lon,Street no,Place name,Street,Locality,Postal code,Type
1,00000108-6867-47ec-b73e-12d59d9ed6c7,Sands Restaurant,52.957195,0.8517031,13,,The Quay,North Norfolk,NR23 1AH,restaurant
2,0000fb2f-b7f1-467e-afbe-ed7a400d8298,Ye Olde New Inn,52.41079,-2.3587134,,,Dowles Road,Button Oak,DY12 3AG,pub
3,0000fb79-8785-4c52-a953-796ff110c4cf,Two Palms,51.545475,-0.0554959,291,,Mare Street,London,E8 1EJ,bar
4,0001416c-c306-4f39-8237-37c7dfdaf2ea,The Admiral Fish Bar,52.73304,-1.5631893,7,,Main Street,Overseal,DE12 6LG,fast food
5,0001c7ee-b52e-461f-a896-17fe50dfb38c,Reabrook Sports and Social Club,52.70139315,-2.742191706,,,Brunel Way,Shrewsbury,SY3 7PL,social club
6,00022a3b-f347-4c17-a620-efadf0335c38,Fury's Bar,51.338383,1.4178556,48,,Boundary Road,Ramsgate,CT11 7NY,pub
7,00022b63-9dad-4536-8459-23ba19a5bbf2,Ellenbank Country House Hotel,54.72036054,-3.475749637,,,A596,Birkby,CA15 6RE,hotel
8,0003580d-f3d5-4a0e-b054-e6ae21d4d0d3,Speedwell Fish Bar,51.46668841,-2.526371014,12,,Duncombe Road,Bristol,BS15 1EL,fast food
9,0003b9cc-1f4b-405e-a62b-28fae5a6c9f9,Asda Café,53.452194,-2.995711,81,,Strand Road,Liverpool,L20 4BB,cafe
10,0003e93a-e16d-4f86-ab9c-dc9c0b1d60e7,Apollo Theatre,51.51158168,-0.133413229,31,,Shaftesbury Avenue,London,W1D 7ES,theatre
11,00040bf7-d6b2-4605-84de-962804f36679,Travelodge,51.06327159,-4.084337364,,,Lauder Lane,North Devon,EX31 3TA,hotel
12,00045582-6144-4efe-8e9a-938cca8a890f,Red Sun,51.515057,-0.1580496,,,New Quebec Street,London,W1H 7HX,restaurant
13,0004b122-241c-43fe-bc61-6d4f1d1fafe8,Kasute,51.53421797,-0.104453133,100,,Islington High Street,London,N1 8EG,cafe
14,0004f822-f4f7-4cb8-af9d-e8f141bd38d8,Done + Dusted,51.61758405,-3.966864138,,,Beechwood Road,Swansea,SA2 0HL,cafe
15,000530a5-e302-4fad-bcf1-399e73457055,KFC,52.502613,-1.9322956,,,Soho Road,Birmingham,B21 9DP,fast food
16,0005a85a-e08e-4681-b76d-030de96d99ae,The Station Garden,51.60445776,-1.270618684,,,Gentian Mews,Vale of White Horse,OX11 6GR,pub
17,000628a8-1a8d-4a1a-9fc1-4b4994665b7f,North Shore,53.322414,-2.984398,,,Allport Road,Bromborough,CH62 6AD,cafe
18,00067c77-52db-40cf-a3ce-4c5e5f21d636,Whistle and Flute,52.085346,-0.2660477,5,,Mill Lane,Biggleswade,SG18 8AZ,pub
19,0006bb78-d854-4b50-b19c-57804ed6046c,Knockbox Coffee,51.521297,-0.1183002,,,Lambs Conduit Street,London,WC1N 3NG,cafe
20,0006f449-4c9b-480a-8d7e-8d212a110993,La Barantine,55.935966,-3.2098877,202,,Bruntsfield Place,Edinburgh,EH10 4DF,cafe
