#,LSOA/SDZ,LSOA/SDZ Name,Total Population,Income band code,Income band range
1,E01000001,City of London 001A,2002,14,"70,001+"
2,E01000002,City of London 001B,1901,14,"70,001+"
3,E01000003,City of London 001C,2202,14,"70,001+"
4,E01000005,City of London 001E,1542,7,"30,001 - 32,000"
5,E01000006,Barking and Dagenham 016A,1868,5,"26,001 - 28,000"
6,E01000007,Barking and Dagenham 015A,2951,7,"30,001 - 32,000"
7,E01000008,Barking and Dagenham 015B,1826,5,"26,001 - 28,000"
8,E01000009,Barking and Dagenham 016B,1827,6,"28,001 - 30,000"
9,E01000011,Barking and Dagenham 016C,1728,4,"24,001 - 26,000"
10,E01000012,Barking and Dagenham 015D,2370,4,"24,001 - 26,000"
11,E01000013,Barking and Dagenham 013A,1910,3,"22,001 - 24,000"
12,E01000014,Barking and Dagenham 013B,1774,4,"24,001 - 26,000"
13,E01000015,Barking and Dagenham 009A,2462,4,"24,001 - 26,000"
14,E01000016,Barking and Dagenham 009B,1878,5,"26,001 - 28,000"
15,E01000017,Barking and Dagenham 009C,1757,4,"24,001 - 26,000"
16,E01000018,Barking and Dagenham 009D,1807,4,"24,001 - 26,000"
17,E01000019,Barking and Dagenham 023A,1676,4,"24,001 - 26,000"
18,E01000020,Barking and Dagenham 023B,2237,5,"26,001 - 28,000"
19,E01000021,Barking and Dagenham 008A,1722,3,"22,001 - 24,000"
20,E01000022,Barking and Dagenham 008B,1502,5,"26,001 - 28,000"
