#,Date(dd.mm.yyyy),GMT-Time(HH:00:00),CloseMid
1,01.01.1999,01:00:00,113.905
2,01.01.1999,02:00:00,NA
3,01.01.1999,03:00:00,NA
4,01.01.1999,04:00:00,NA
5,01.01.1999,05:00:00,NA
6,01.01.1999,06:00:00,NA
7,01.01.1999,07:00:00,NA
8,01.01.1999,08:00:00,113.905
9,01.01.1999,09:00:00,113.25
10,01.01.1999,10:00:00,113.25
11,01.01.1999,11:00:00,113.24
12,01.01.1999,12:00:00,112.95
13,01.01.1999,13:00:00,NA
14,01.01.1999,14:00:00,113.905
15,01.01.1999,15:00:00,NA
16,01.01.1999,16:00:00,NA
17,01.01.1999,17:00:00,NA
18,01.01.1999,18:00:00,NA
19,01.01.1999,19:00:00,NA
20,01.01.1999,20:00:00,113.905
21,01.01.1999,21:00:00,NA
22,01.01.1999,22:00:00,113.48
23,01.01.1999,23:00:00,NA
24,02.01.1999,00:00:00,NA
25,02.01.1999,01:00:00,113.425
26,02.01.1999,02:00:00,NA
27,02.01.1999,03:00:00,NA
28,02.01.1999,04:00:00,113.5
29,02.01.1999,05:00:00,NA
30,02.01.1999,06:00:00,113.25
31,02.01.1999,07:00:00,113.05
32,02.01.1999,08:00:00,113.075
33,02.01.1999,09:00:00,113.35
34,02.01.1999,10:00:00,113.5
35,02.01.1999,11:00:00,113.57
36,02.01.1999,12:00:00,113.34
37,02.01.1999,13:00:00,NA
38,02.01.1999,14:00:00,NA
39,02.01.1999,15:00:00,113.425
40,02.01.1999,16:00:00,113.425
41,02.01.1999,17:00:00,113.425
42,02.01.1999,18:00:00,113.435
43,02.01.1999,19:00:00,113.435
44,02.01.1999,20:00:00,113.45
45,02.01.1999,21:00:00,NA
46,02.01.1999,22:00:00,NA
47,02.01.1999,23:00:00,NA
48,03.01.1999,00:00:00,NA
49,03.01.1999,01:00:00,113.35
50,03.01.1999,02:00:00,NA
51,03.01.1999,03:00:00,NA
52,03.01.1999,04:00:00,NA
53,03.01.1999,05:00:00,NA
54,03.01.1999,06:00:00,NA
55,03.01.1999,07:00:00,NA
56,03.01.1999,08:00:00,NA
57,03.01.1999,09:00:00,NA
58,03.01.1999,10:00:00,NA
59,03.01.1999,11:00:00,NA
60,03.01.1999,12:00:00,NA
61,03.01.1999,13:00:00,NA
62,03.01.1999,14:00:00,NA
63,03.01.1999,15:00:00,NA
64,03.01.1999,16:00:00,NA
65,03.01.1999,17:00:00,113.555
66,03.01.1999,18:00:00,113.43
67,03.01.1999,19:00:00,113.2
68,03.01.1999,20:00:00,113.255
69,03.01.1999,21:00:00,113.365
70,03.01.1999,22:00:00,113.3
71,03.01.1999,23:00:00,113.25
72,04.01.1999,00:00:00,112.795
73,04.01.1999,01:00:00,113.45
74,04.01.1999,02:00:00,113.27
75,04.01.1999,03:00:00,113.85
76,04.01.1999,04:00:00,113.785
77,04.01.1999,05:00:00,113.41
78,04.01.1999,06:00:00,113.47
79,04.01.1999,07:00:00,113.49
80,04.01.1999,08:00:00,113.83
81,04.01.1999,09:00:00,113.58
82,04.01.1999,10:00:00,113.84
83,04.01.1999,11:00:00,113.63
84,04.01.1999,12:00:00,113.41
85,04.01.1999,13:00:00,113.43
86,04.01.1999,14:00:00,112.995
87,04.01.1999,15:00:00,112.835
88,04.01.1999,16:00:00,112.635
89,04.01.1999,17:00:00,112.115
90,04.01.1999,18:00:00,111.775
91,04.01.1999,19:00:00,112
92,04.01.1999,20:00:00,112.145
93,04.01.1999,21:00:00,111.925
94,04.01.1999,22:00:00,111.785
95,04.01.1999,23:00:00,112.07
96,05.01.1999,00:00:00,112
97,05.01.1999,01:00:00,111.65
98,05.01.1999,02:00:00,111.6
99,05.01.1999,03:00:00,112.125
