#,CODGEO,Commune,Polygon File,Polygon ID,Households,Households 1 person,Households Males single,Households Females single,Households without family,Households with family(ies),Household with a couple with children,Household with a couple withou children,Household with a single parent family,Families,Families Couple with children,Families Single parents,Families single fathers,Families single mothers,Families Couples without children,Families 0 children under 25,Families 1 child under 25,Families 2 children under 25,Families 3 children under 25,Families 4+ children under 25,Number of households with at least one reserved parking space,Number of households with at least one car,Number of households with a car,Number of households with two or more cars
1,1001,L'Abergement-Clémenciat,France,284481,342,69,42,27,9,264,114,126,24,264,127,24,10,14,113,128,67,49,15,5,292,327,107,220
2,1002,L'Abergement-de-Varey,France,294249,113,35,26,9,0,78,32,41,5,79,42,5,0,5,32,32,15,26,6,0,87,108,47,61
3,1004,Ambérieu-en-Bugey,France,291409,6916,3051,1327,1724,82,3783,1647,1452,684,3813,1464,687,138,549,1662,1815,877,686,326,109,5053,5842,3604,2238
4,1005,Ambérieux-en-Dombes,France,297643,756,189,66,123,26,541,224,281,36,541,281,36,15,21,224,261,122,117,36,5,617,726,290,436
5,1006,Ambléon,France,293147,55,15,15,0,0,40,20,10,10,40,10,10,0,10,20,21,19,0,0,0,45,55,26,29
6,1007,Ambronay,France,291231,1221,359,190,169,21,841,334,393,114,841,393,114,21,93,334,370,191,204,66,10,990,1153,494,659
7,1008,Ambutrix,France,293531,340,101,59,42,10,229,95,108,26,229,108,26,5,21,95,106,57,56,5,5,294,331,124,207
8,1009,Andert-et-Condon,France,293303,152,49,27,22,0,103,58,30,15,103,30,15,5,10,58,64,15,19,5,0,118,145,72,73
9,1010,Anglefort,France,151303,492,163,87,76,0,329,131,158,40,329,158,40,16,24,131,136,87,69,28,9,424,455,193,262
10,1011,Apremont,France,47569,159,43,27,16,0,116,58,58,0,116,59,0,0,0,57,63,20,19,14,0,138,150,63,87
11,1012,Aranc,France,291279,153,56,25,31,5,92,41,41,10,92,41,10,0,10,41,46,10,26,5,5,121,142,74,68
12,1013,Arandas,France,294693,66,20,15,5,0,46,26,20,0,47,21,0,0,0,26,27,5,10,5,0,49,61,26,35
13,1014,Arbent,France,43115,1398,363,160,203,10,1025,476,440,109,1029,440,114,37,77,475,552,199,176,75,27,1018,1298,630,668
14,1015,Arboys en Bugey,France,11513783,305,85,21,64,5,215,111,88,16,215,88,16,0,16,111,138,31,31,15,0,254,285,114,171
15,1016,Arbigny,France,278279,194,46,5,41,0,148,66,77,5,149,78,5,0,5,66,67,36,31,15,0,163,177,57,120
16,1017,Argis,France,296061,210,85,42,43,0,125,50,65,10,125,64,10,10,0,51,61,27,17,12,8,129,192,112,80
17,1019,Armix,France,293413,21,5,5,0,0,16,11,5,0,16,5,0,0,0,11,16,0,0,0,0,13,14,7,7
18,1021,Ars-sur-Formans,France,291373,581,151,50,101,5,425,171,216,38,429,216,38,11,27,175,186,97,100,36,10,473,550,226,324
19,1022,Artemare,France,295733,593,232,82,150,5,356,168,129,59,356,129,59,5,54,168,184,77,74,13,8,462,530,288,242
20,1023,Asnières-sur-Saône,France,277935,36,10,5,5,0,26,16,10,0,27,11,0,0,0,16,17,0,10,0,0,27,34,16,18
