#,CODGEO,Commune,Polygon File,Polygon ID,Dwellings,Main residence,Secondary res and occasional logs,Vacant housing,Houses,Apartments,Other,Main Res 1 room,Main Res 2 rooms,Main Res 3 rooms,Main Res 4 rooms,Main Res 5 rooms+,Number of main res occupied by owners,Number of main res occupied by tenants,Number of main HLM residences rented empty,Number of main res occupied free of charge
1,1001,L'Abergement-Clémenciat,France,284481,374,336,17,21,365,8,1,0,7,29,90,210,288,46,13,2
2,1002,L'Abergement-de-Varey,France,294249,179,113,50,16,177,2,0,1,2,12,27,71,99,11,0,3
3,1004,Ambérieu-en-Bugey,France,291409,7813,6914,126,773,3245,4502,66,325,941,1796,1846,2006,2876,3913,1533,125
4,1005,Ambérieux-en-Dombes,France,297643,850,752,7,91,627,220,3,6,50,102,204,390,552,187,69,13
5,1006,Ambléon,France,293147,77,58,11,8,74,3,0,0,1,7,17,33,42,15,1,1
6,1007,Ambronay,France,291231,1310,1214,43,53,1111,197,2,10,62,145,408,589,888,315,110,11
7,1008,Ambutrix,France,293531,371,338,6,27,338,33,0,5,18,47,116,152,252,81,17,5
8,1009,Andert-et-Condon,France,293303,199,151,25,23,185,13,1,1,3,14,33,100,131,20,0,0
9,1010,Anglefort,France,151303,612,480,81,51,549,61,2,2,16,65,159,238,372,106,41,2
10,1011,Apremont,France,47569,191,154,21,16,166,24,1,0,3,13,46,92,124,28,11,2
11,1012,Aranc,France,291279,222,150,51,21,207,15,0,2,2,16,47,83,123,20,8,7
12,1013,Arandas,France,294693,118,64,37,17,115,2,1,0,0,12,18,34,56,6,2,2
13,1014,Arbent,France,43115,1518,1401,9,108,988,512,18,15,115,237,436,598,853,529,371,19
14,1015,Arboys en Bugey,France,11513783,429,307,77,45,419,8,2,2,5,46,71,183,249,50,2,8
15,1016,Arbigny,France,278279,221,188,17,16,218,2,1,0,4,24,52,108,168,16,3,4
16,1017,Argis,France,296061,330,204,54,72,270,48,12,5,27,28,56,88,170,23,2,11
17,1019,Armix,France,293413,29,13,15,1,28,1,0,0,0,2,4,7,10,2,0,1
18,1021,Ars-sur-Formans,France,291373,624,575,16,33,511,113,0,2,36,89,140,308,420,146,31,9
19,1022,Artemare,France,295733,750,592,41,117,537,208,5,9,31,102,183,267,371,205,73,16
20,1023,Asnières-sur-Saône,France,277935,47,35,7,5,45,0,2,1,1,10,13,10,29,5,0,1
