#,Methodology Version,API Title,Algorithm,ts,id,ivrating_score,ivrating_stars,ivrating_rank,ecosystem_score,utility_score,technology_score,sentiments_score,name,type,abbr,logo,marketPrice,marketPrice-USD,circulatingSupply,marketCapitalisation,marketCapitalisation-USD,crunchLevel,description,ivrank
1,2.0,RDA IV Rating,RDA.SLICER_v4.2,2021-11-03T13:00:00.000944,1027,86.57178981205675%,4.157178981205676,1,96.16415634564291%,50.12300290258415%,100.0%,100.0%,Ethereum,null,ETH,https://assets.rdaindex.com/img/cryptoicons/32x32/1027.png,3312.806755958217,4522.170926953348,1.181911038115E8,3.915442872009E11,5.344803734808956E11,95.91836734693877,Ethereum (ETH) is a cryptocurrency . Users are able to generate ETH through the process of mining...,2
2,2.0,RDA IV Rating,RDA.SLICER_v4.2,2021-11-03T13:00:00.000944,2682,60.70692126128077%,2.690230708709359,2,100.0%,100.0%,34.83530515447126%,7.992379890651834%,Holo,null,HOT,https://assets.rdaindex.com/img/cryptoicons/32x32/2682.png,0.009636599504,0.013154510154660978,1.7289587044336282E11,1.66612825941E9,2.2743604835169315E9,91.83673469387756,Holo (HOT) is a cryptocurrency and operates on the Ethereum platform. Holo has a current supply o...,1
3,2.0,RDA IV Rating,RDA.SLICER_v4.2,2021-11-03T13:00:00.000944,2010,55.97136951121556%,2.5323789837071855,3,65.36565263420493%,17.885434188281945%,81.89025740248137%,58.74413381989402%,Cardano,null,ADA,https://assets.rdaindex.com/img/cryptoicons/32x32/2010.png,1.510685097393,2.0621716660428335,3.3270316465615E10,5.026097127015E10,6.8609103935664795E10,95.91836734693877,Cardano (ADA) is a cryptocurrency launched in 2017. Users are able to generate ADA through the pr...,4
4,2.0,RDA IV Rating,RDA.SLICER_v4.2,2021-11-03T13:00:00.000944,1,51.27166922463628%,2.3757223074878757,4,35.85009533891185%,15.64388059498899%,88.95049661565061%,64.64220434899364%,Bitcoin,null,BTC,https://assets.rdaindex.com/img/cryptoicons/32x32/1.png,45831.420651129185,62562.513686240425,1.8862587E7,8.6449915936552E11,1.1800908573453994E12,95.91836734693877,Bitcoin (BTC) is a cryptocurrency . Users are able to generate BTC through the process of mining....,7
5,2.0,RDA IV Rating,RDA.SLICER_v4.2,2021-11-03T13:00:00.000944,825,42.05423018614751%,2.06847433953825,5,45.39550198526732%,22.59312023401542%,79.74470435330174%,20.48359417200554%,Tether,null,USDT,https://assets.rdaindex.com/img/cryptoicons/32x32/825.png,0.733243719904,1.0009196662489583,7.104576076065137E10,5.209385790356E10,7.111109914896864E10,93.87755102040816,Tether (USDT) is a cryptocurrency and operates on the Ethereum platform. Tether has a current sup...,5
6,2.0,RDA IV Rating,RDA.SLICER_v4.2,2021-11-03T13:00:00.000944,1720,33.28949192241727%,1.6644745961208633,6,37.640729737268416%,5.125706840618145%,75.52723053204635%,14.864300579736172%,IOTA,null,MIOTA,https://assets.rdaindex.com/img/cryptoicons/32x32/1720.png,0.985638695549,1.3454532611886907,2.779530283E9,2.73961260238E9,3.739728083841814E9,95.91836734693877,"IOTA (MIOTA) is a cryptocurrency launched in 2015. IOTA has a current supply of 2,779,530,283. Th...",16
7,2.0,RDA IV Rating,RDA.SLICER_v4.2,2021-11-03T13:00:00.000944,4705,31.128778858786042%,1.5564389429393022,7,56.84026848046446%,58.438156376746534%,9.236690577933189%,0.0%,PAX Gold,null,PAXG,https://assets.rdaindex.com/img/cryptoicons/32x32/4705.png,1303.727575159878,1779.6627969475637,179251.126,2.3369463584E8,3.190065602468021E8,95.91836734693877,PAX Gold (PAXG) is a cryptocurrency and operates on the Ethereum platform. PAX Gold has a current...,3
8,2.0,RDA IV Rating,RDA.SLICER_v4.2,2021-11-03T13:00:00.000944,2011,30.54320680843656%,1.527160340421828,8,39.11101458892304%,9.590854078895854%,39.77583283763374%,33.695125728293625%,Tezos,null,XTZ,https://assets.rdaindex.com/img/cryptoicons/32x32/2011.png,4.523861444883,6.175329927355742,8.65566320214685E8,3.91570210401E9,5.345157601335022E9,95.91836734693877,"Tezos (XTZ) is a cryptocurrency . Tezos has a current supply of 894,582,378.421315 with 865,566,3...",14
9,2.0,RDA IV Rating,RDA.SLICER_v4.2,2021-11-03T13:00:00.000944,1958,30.447998109280956%,1.5223999054640478,9,49.517515787097196%,8.326684762357973%,50.39905230928%,13.548739578388643%,TRON,null,TRX,https://assets.rdaindex.com/img/cryptoicons/32x32/1958.png,0.075957088061,0.10368577482151868,7.165965736949E10,5.44305890524E9,7.430087097806347E9,95.91836734693877,"TRON (TRX) is a cryptocurrency . TRON has a current supply of 100,850,743,811.662003 with 71,659,...",10
10,2.0,RDA IV Rating,RDA.SLICER_v4.2,2021-11-03T13:00:00.000944,8916,30.377315419724088%,1.5188657709862043,10,90.95256946750874%,9.284055431430135%,21.272636779957473%,0.0%,Internet Computer,null,ICP,https://assets.rdaindex.com/img/cryptoicons/32x32/8916.png,33.521228155245,45.758395996621445,1.7527222507E8,5.87534024585E9,8.020175881963492E9,93.87755102040816,Internet Computer (ICP) is a cryptocurrency launched in 2021. Internet Computer has a current sup...,6
11,2.0,RDA IV Rating,RDA.SLICER_v4.2,2021-11-03T13:00:00.000944,512,29.417489423772956%,1.470874471188648,11,46.578397661906294%,12.906720808546568%,46.68662857462376%,11.4982106500152%,Stellar,null,XLM,https://assets.rdaindex.com/img/cryptoicons/32x32/512.png,0.275375085835,0.37590276128561056,2.419920123987099E10,6.66385711858E9,9.096546566990177E9,93.87755102040816,"Stellar (XLM) is a cryptocurrency . Stellar has a current supply of 50,001,802,663.98352 with 24,...",8
