#,LOB,Year,Company,Group Name,Business Quality Rating,Total Efficiency Rating,Claims Efficiency Rating,Underwriting Efficiency Rating,Better or Worse Than Average Business Quality Rating,Better or Worse Than Average Total Efficiency Rating,Better or Worse Than Average Claims Efficiency Rating,Better or Worse Than Average Underwriting Efficiency Rating,Percentile Rank Business Quality Rating,Percentile Rank Total Efficiency Rating,Percentile Rank Claims Efficiency Rating,Percentile Rank Underwriting Efficiency Rating,Net Premium Written (000),Net Premium Earned (000),Combined Ratio,Loss Ratio,Expense Ratio,
1,Commercial Lines,2015,1st Auto & Casualty Ins Co.,WISCONSIN RE GRP,82.01,77.33,95.40,79.65,4.39,7.78,7.09,4.20,69%,88%,87%,74%,"$1,878","$1,905",69.03%,43.36%,25.67%,
2,Commercial Lines,2015,1st Choice Advantage Ins Co.,Everett Mut Grp,69.49,74.56,91.53,79.22,-8.13,5.02,3.23,3.78,17%,78%,64%,72%,"$4,615","$4,288",95.79%,69.38%,26.41%,
3,Commercial Lines,2015,360 Insurance Co.,Mountain West Farm Grp,70.60,78.72,88.71,86.53,-7.01,9.18,0.40,11.09,21%,92%,40%,94%,$267,$157,86.43%,70.70%,15.73%,
4,Commercial Lines,2015,A. Central Insurance Co.,NYCM Ins Grp,74.64,69.52,91.19,73.96,-2.98,-0.02,2.88,-1.49,37%,44%,60%,33%,"$2,709","$2,647",95.58%,60.26%,35.33%,
5,Commercial Lines,2015,A.I.M. Mutual Insurance Companies (P&C Group),AIM Mut Grp,70.21,74.48,88.48,81.60,-7.40,4.93,0.17,6.15,18%,78%,37%,83%,"$132,779","$133,068",94.46%,71.74%,22.72%,
6,Commercial Lines,2015,ACA Financial Guaranty Corp.,NA,26.84,0.65,93.33,0.64,-50.78,-68.90,5.02,-74.80,0%,0%,77%,0%,$62,"$18,444",15679.79%,266.89%,15412.90%,
7,Commercial Lines,2015,Academic Hlth Professionals,NA,66.23,76.74,83.58,89.00,-11.39,7.19,-4.73,13.55,8%,87%,18%,96%,"$71,579","$69,300",99.07%,86.43%,12.64%,
8,Commercial Lines,2015,Academic Med Professionals Ins,NA,91.97,65.18,94.07,66.98,14.35,-4.36,5.77,-8.47,89%,19%,81%,9%,$555,$507,79.91%,30.18%,49.73%,
9,Commercial Lines,2015,Acceptance Casualty Ins Co.,IAT Reins Co Grp,68.93,68.96,86.67,76.31,-8.68,-0.59,-1.64,0.86,15%,41%,26%,51%,"$11,269","$11,565",107.86%,76.61%,31.25%,
10,Commercial Lines,2015,Acceptance Indemnity Ins Co.,IAT Reins Co Grp,71.42,67.59,84.62,76.35,-6.19,-1.95,-3.69,0.90,23%,29%,20%,53%,"$60,693","$57,879",105.73%,74.60%,31.13%,
11,Commercial Lines,2015,Acceptance Indemnity Ins Co. & Acceptance Casualty Ins Co. (Combined),IAT Reins Co Grp,70.99,67.81,84.95,76.34,-6.62,-1.73,-3.35,0.90,22%,31%,21%,52%,"$71,965","$69,444",106.08%,74.94%,31.15%,
12,Commercial Lines,2015,Access Home Insurance Co.,Cypress Holdings Grp,97.24,67.34,93.26,68.83,19.62,-2.21,4.95,-6.62,95%,28%,76%,12%,"$7,813","$7,871",69.11%,22.93%,46.18%,
13,Commercial Lines,2015,Accident Fund General Ins Co.,BCBS OF MI GRP,74.52,77.36,88.02,85.70,-3.09,7.82,-0.29,10.25,36%,88%,34%,92%,"$42,490","$40,418",81.21%,64.41%,16.80%,
14,Commercial Lines,2015,Accident Fund Ins Co. of Am,BCBS OF MI GRP,74.52,76.36,87.99,84.50,-3.09,6.82,-0.32,9.05,36%,85%,34%,90%,"$812,631","$772,981",82.90%,64.45%,18.45%,
