#,Restaurant Name,Restaurant Type/Category,Type of Cuisine,Area,City,Country,Latitude,Longitude,Number of Ratings,Average Rating
1,Gazebo,Most Selling | Ibtedah | Kuch Naram Kuch Garam | Saath Saath | Shorba | Kabab Charcoal Grill Se C...,"Indian, Curry, Kebab, Biryani, Grills",Mussafah,Abu Dhabi,UAE,24.330893,54.52367,3128,4.6
2,KFC,Most Selling | What's New | The Duo's | For One | Sandwiches | For Sharing | Sides & Desserts | D...,"Fried Chicken, Chicken, Sandwiches",Bani Yas East,Abu Dhabi,UAE,24.286844,54.641635,7233,3.3
3,Al Areesh,Most Selling | Breakfast | Al Areesh Mezza | Al Areesh Sandwiches Sliced | Al Areesh Sandwiches |...,"Lebanese, Shawarma, Grills",Al Khalidiyah,Abu Dhabi,UAE,24.473284,54.351769,2599,4.4
4,Pizza Hut,Most Selling | New South Asian Flavors | Special Offers | Only on Talabat | For Me | Melts | Hut ...,"Pizza, Fast Food, Italian",Al Bahya,Abu Dhabi,UAE,24.52325295,54.67077463,10673,4.4
5,Osha Emirati Gourmet,Most Selling | All Day Light Dishes | Salad | Soup | Starters | Main Course - Emirati | Main Cour...,"Emirati, Arabic, Grills",Masdar City,Abu Dhabi,UAE,24.411804,54.590023,2326,4.2
6,Elysium Cafe And Restaurant,Most Selling | Breakfast | Extras | Desserts | Smoothies | Soft Drinks | Drinks | Juices,"International, American, Italian",Shakhbout City,Abu Dhabi,UAE,24.366071,54.62126,792,4.1
7,Pizza Hut,Most Selling | New South Asian Flavors | Special Offers | Only on Talabat | For Me | Melts | Hut ...,"Pizza, Fast Food, Italian",Al Hosn,Abu Dhabi,UAE,24.475357,54.346362,8050,4.6
8,Al Mandi & Al Madhbi House,Most Selling | Salad | Breakfast | Desserts | Drinks,"Mandi, Arabic, Yemeni",Al Bahya,Abu Dhabi,UAE,24.52163068,54.6696149,1511,4.4
9,Fateraty,Most Selling | All Day Breakfast | Salad | Appetizers | Drinks | Grills | Burgers | Manakeesh | P...,"Breakfast, Arabic, Manaqeesh",Madinat Khalifa - A,Abu Dhabi,UAE,24.41045479,54.56558991,528,4.4
10,Cinnabon,Most Selling | Festive Flavors | Savory Breakfast - New | Rolls | Cinnapacks | Cinnabon Stix | ...,"Desserts, Coffee, Breakfast",Bani Yas East,Abu Dhabi,UAE,24.312105,54.6208,2792,4.2
11,Al Bosphor Shawerma and Restaurant,Most Selling | Turkish Breakfast | Cold Appetizers | Hot Appetizers | Salads | From Oven | Pizza ...,"Turkish, Shawarma, BBQ",Al Dafrah,Abu Dhabi,UAE,24.474514,54.375894,2546,4.5
12,Eiz Al Sham Cafeteria And Grill,Most Selling | Promotion | Breakfast | Appetizers | Shawarma & Grills | Sandwiches | Diet Meals |...,"Grills, Arabic, Bbq",Shahama,Abu Dhabi,UAE,24.557896,54.6946,1911,4.8
13,Sushi Art,Most Selling | 10th Year anniversary | 100% Customizable Box | Signature Boxes | Platters | App...,"Sushi, Japanese, Asian",Masdar City,Abu Dhabi,UAE,24.429117,54.619225,3195,4.7
14,Broasted & Shawarma Al Sultan Resturant,Most Selling | Broasted | Grills | Appetizers | Breakfast | Cold Drinks | Mix Al Sultan | Sandwic...,"Fried Chicken, Grills, Arabic",Bani Yas East,Abu Dhabi,UAE,24.28813272,54.63994151,1778,3.5
15,Gazebo,Most Selling | Ibtedah | Kuch Naram Kuch Garam | Saath Saath | Shorba | Kabab Charcoal Grill Se C...,"Indian, Curry, Kebab, Biryani, Grills",Al Khalidiyah,Abu Dhabi,UAE,24.470133,54.351094,7923,4.6
16,Saj Al Fareej,Most Selling | Small Manakish | Small Margherita And Vegetable Pizza | New Arrival | Manakeesh | ...,"Arabic, Coffee, Breakfast",Shahama,Abu Dhabi,UAE,24.532136,54.691743,858,4.3
17,Dunkin,Most Selling | Office Catering | Winter Donuts and Beverages | Special Offers | Celebration Boxes...,"Donuts, Desserts, Coffee",Bain Al Jesrain,Abu Dhabi,UAE,24.407434,54.505027,1538,4.6
18,Broccoli Pizza & Pasta,Most Selling | Offers | 2 or More Pizza Offers | What's New? | Pastas | Quesadilla | Large pizza ...,"Pizza, Pasta, Italian",Shakhbout City,Abu Dhabi,UAE,24.3683195,54.6253825,3537,4.5
19,Kababji Grill Restaurant,Most Selling | Amazing Offers | Meal Deal | NEW - Roast Chicken Selection | Cold Appetizers | Hot...,"Arabic, Kebab, Grills",Al Maryah Island,Abu Dhabi,UAE,24.501157,54.388393,2417,4.4
20,Kababji Grill Restaurant,Most Selling | Amazing Offers | Meal Deal | NEW - Roast Chicken Selection | Cold Appetizers | Hot...,"Arabic, Kebab, Grills",Masdar City,Abu Dhabi,UAE,24.4291,54.6205,340,3.7
