#,id,Country Code,Country,Region,Municipality,Name_en,Total Population,Males,Females,Pop 0-14,Pop 15-64,Pop 64+,EU,EZ,Balkan,Baltic,Scandinavian,BeNeLux,Area_km2,Population Density
1,69775,AU,Austria,Steiermark,Hausmannstätten,,3783,1862,1921,629,2476,678,Yes,Yes,No,No,No,No,6.780024415425475,557.9625924934963
2,69761,AU,Austria,Steiermark,Laßnitzhöhe,,2830,1348,1482,377,1766,687,Yes,Yes,No,No,No,No,14.871424103622607,190.2978477569358
3,69807,AU,Austria,Steiermark,Werndorf,,2768,1370,1398,481,1848,439,Yes,Yes,No,No,No,No,6.236243003446576,443.8569822359733
4,69809,AU,Austria,Steiermark,Wundschuh,,1681,848,833,277,1091,313,Yes,Yes,No,No,No,No,12.885448788925316,130.45723339064236
5,7758413,AU,Austria,Steiermark,Fladnitz an der Teichalm,,1803,910,893,271,1170,362,Yes,Yes,No,No,No,No,66.50354674329168,27.111335985728786
6,7805223,AU,Austria,Steiermark,Aflenz,,2431,1205,1226,308,1458,665,Yes,Yes,No,No,No,No,55.04314959754109,44.165350598116916
7,70783,AU,Austria,Steiermark,Frauental an der Laßnitz,,3135,1554,1581,451,2039,645,Yes,Yes,No,No,No,No,15.582136038681895,201.19192851464746
8,70813,AU,Austria,Steiermark,Sankt Josef (weststeiermark),,1714,847,867,267,1137,310,Yes,Yes,No,No,No,No,13.296891026735778,128.90231231899972
9,102661,AU,Austria,Steiermark,Mooskirchen,,2194,1073,1121,319,1417,458,Yes,Yes,No,No,No,No,17.97064033107774,122.0880257786797
10,98623,AU,Austria,Steiermark,Allerheiligen bei Wildon,,1597,768,829,245,967,385,Yes,Yes,No,No,No,No,20.51190646565106,77.85721930208257
11,7883637,AU,Austria,Steiermark,Riegersburg,,5041,2538,2503,725,3230,1086,Yes,Yes,No,No,No,No,71.11650817633553,70.88368269573483
12,73741,AU,Austria,Steiermark,Söchau,,1468,695,773,205,876,387,Yes,Yes,No,No,No,No,18.18667569736542,80.71843499208924
13,72629,AU,Austria,Steiermark,Unterlamm,,1242,615,627,149,815,278,Yes,Yes,No,No,No,No,16.729870289116995,74.23847158025711
14,7841779,AU,Austria,Steiermark,Hartl,,2123,1063,1060,333,1367,423,Yes,Yes,No,No,No,No,33.82248539517093,62.7688939826733
15,74717,AU,Austria,Steiermark,Ebersdorf,,1282,641,641,180,861,241,Yes,Yes,No,No,No,No,17.285258937246777,74.16724300481894
16,7836999,AU,Austria,Steiermark,Kaindorf,,3022,1518,1504,454,1954,614,Yes,Yes,No,No,No,No,28.004187300089132,107.91243350919817
17,5322029,AU,Austria,Steiermark,Buch-st. Magdalena,,2183,1110,1073,314,1403,466,Yes,Yes,No,No,No,No,26.401078728810905,82.68601531109942
18,75053,AU,Austria,Steiermark,Hartberg Umgebung,,2237,1157,1080,381,1424,432,Yes,Yes,No,No,No,No,30.429319093353254,73.5146255865
19,75057,AU,Austria,Steiermark,Greinbach,,1871,958,913,272,1231,368,Yes,Yes,No,No,No,No,23.376845828732797,80.03646059471072
20,75325,AU,Austria,Tirol,Breitenwang,,1469,754,715,197,957,315,Yes,Yes,No,No,No,No,18.996557398766754,77.32980082461502
