#,time,dewpoint_2meter,temperature_2meter,cape_index,mean_sea_level_pressure,snow_depth,snowfall,surface_pressure,solar_radiation_surface,total_cloud_cover,total_precipitation,relative_humidity,wind_speed_10m,wind_speed_100m,wind_direction_10m,wind_direction_100m,wind_direction_text_10m,wind_direction_text_100m,windchill,uv_index,precipitation_type
1,2003-01-01 00:00,7.3,11.5,0.0,1009.8,0.0,0.0,999.8,0.0,84.0,0.0,75.0,3.7,6.1,352.0,9.0,N,N,9.9,0.0,no precipitation
2,2003-01-01 01:00,7.2,11.4,0.0,1009.5,0.0,0.0,999.5,0.0,81.0,0.0,75.0,4.0,6.3,343.0,1.0,N,N,9.7,0.0,no precipitation
3,2003-01-01 02:00,7.1,11.1,0.0,1009.0,0.0,0.0,999.0,0.0,93.0,0.0,76.0,4.0,6.3,336.0,352.0,NW,N,9.3,0.0,no precipitation
4,2003-01-01 03:00,6.9,11.0,0.0,1008.2,0.0,0.0,998.2,0.0,94.0,0.0,76.0,3.8,6.4,334.0,349.0,NW,N,9.3,0.0,no precipitation
5,2003-01-01 04:00,7.2,11.0,0.0,1007.9,0.0,0.0,997.9,0.0,99.0,0.2,77.0,3.7,6.3,342.0,356.0,N,N,9.4,0.0,no precipitation
6,2003-01-01 05:00,7.4,10.9,0.0,1007.9,0.0,0.0,997.8,0.0,98.0,0.2,79.0,3.9,6.4,345.0,0.0,N,N,9.2,0.0,rain
7,2003-01-01 06:00,7.8,11.0,30.0,1008.1,0.0,0.0,998.1,3.0,91.0,0.4,80.0,4.4,7.1,346.0,359.0,N,N,9.1,0.0,rain
8,2003-01-01 07:00,7.9,11.0,20.0,1008.5,0.0,0.0,998.4,52.0,83.0,0.5,81.0,4.6,7.4,343.0,352.0,N,N,9.0,0.0,rain
9,2003-01-01 08:00,7.8,11.1,10.0,1008.7,0.0,0.0,998.7,119.0,67.0,0.2,80.0,4.4,7.1,343.0,349.0,N,N,9.2,1.0,rain
10,2003-01-01 09:00,8.1,11.6,10.0,1008.5,0.0,0.0,998.4,227.0,67.0,0.2,79.0,3.9,6.3,343.0,350.0,N,N,10.0,2.0,rain
11,2003-01-01 10:00,8.8,11.3,10.0,1007.7,0.0,0.0,997.6,260.0,71.0,0.3,84.0,2.9,4.3,319.0,322.0,NW,NW,10.1,3.0,no precipitation
12,2003-01-01 11:00,9.1,11.4,60.0,1007.4,0.0,0.0,997.3,278.0,88.0,0.2,86.0,1.8,2.7,319.0,319.0,NW,NW,11.0,3.0,no precipitation
13,2003-01-01 12:00,9.5,11.1,30.0,1007.5,0.0,0.0,997.4,206.0,96.0,0.4,90.0,0.4,0.9,251.0,269.0,W,W,12.8,2.0,rain
14,2003-01-01 13:00,9.1,11.1,20.0,1008.2,0.0,0.0,998.1,125.0,99.0,0.7,88.0,2.2,2.6,157.0,174.0,SE,S,10.3,1.0,rain
15,2003-01-01 14:00,8.3,9.5,20.0,1008.3,0.0,0.0,998.2,60.0,99.0,1.0,93.0,4.3,5.7,160.0,171.0,S,S,7.2,1.0,rain
16,2003-01-01 15:00,8.3,9.0,20.0,1008.8,0.0,0.0,998.6,8.0,100.0,0.7,95.0,5.1,7.7,164.0,174.0,S,S,6.3,0.0,rain
17,2003-01-01 16:00,8.2,8.7,20.0,1009.7,0.0,0.0,999.4,0.0,100.0,0.4,97.0,5.5,8.4,173.0,178.0,S,S,5.7,0.0,rain
18,2003-01-01 17:00,7.6,8.0,10.0,1010.1,0.0,0.0,999.8,0.0,100.0,0.4,97.0,5.9,9.0,176.0,180.0,S,S,4.7,0.0,rain
19,2003-01-01 18:00,7.2,7.6,10.0,1010.6,0.0,0.0,1000.3,0.0,100.0,0.4,97.0,5.9,9.1,178.0,181.0,S,S,4.2,0.0,rain
20,2003-01-01 19:00,6.9,7.3,10.0,1011.0,0.0,0.0,1000.6,0.0,100.0,0.4,97.0,6.0,9.1,180.0,182.0,S,S,3.8,0.0,rain
