#,ID,Name,Straße und Nummer,Postleitzahl,Stadt,Amtsgericht,Registerart,Registernummer,Rechtsform,Gründungsdatum,Stammkapital,Unternehmensgegenstand,Branche (Code),Branche (Titel),Geschäftsführung 1,Geschäftsführung 2,Geschäftsführung 3,Implisense Profil
1,DEUBSJT5CF20,Kooperative Beratung eG,Ziehringer Weg 14,93426,Roding,Regensburg,GnR,703,Eingetragene Genossenschaft,01.01.2024,,"a) Sie kann Bauten in allen Rechts- und Nutzungsformen bewirtschaften, errichten, erwerben, vermi...",L68.31,"Vermittlung von Grundstücken, Gebäuden und Wohnungen für Dritte",,,,https://implisen.se/DEUBSJT5CF20
2,DEWUCJJKCK47,Narrenverein Waldhexen e.V.,Schöngartenstraße 5,88131,Lindau (Bodensee),Kempten (Allgäu),VR,201591,Eingetragener Verein,01.01.2024,,,,,,,,
3,DEIT9SUGZO04,EnergyByte eG,Geschwendaer Straße 7,98693,Martinroda OT Angelroda,Jena,GnR,500162,Eingetragene Genossenschaft,01.01.2024,,"die Förderung des Erwerbs oder der Wirtschaft der Mitglieder, insbesondere als Produktivgenossens...",J62.02,Erbringung von Beratungsleistungen auf dem Gebiet der Informationstechnologie,,,,https://implisen.se/DEIT9SUGZO04
4,DE98Y3WS9X48,MOVE2GETHER Ballschule Thüringen e.V.,,,Erfurt,Erfurt,VR,163233,Eingetragener Verein,01.01.2024,,,,,,,,
5,DEBM0CY80341,KG Die Nussknacker e.V.,Poststraße 9,67685,Weilerbach,Kaiserslautern,VR,31040,Eingetragener Verein,01.01.2024,,,,,,,,
6,DEKGGNEZMW25,optus 975. GmbH,"c/o Cormoran GmbH, Am Zirkus 2",10117,Berlin,Frankfurt am Main,HRB,133397,Gesellschaft mit beschränkter Haftung,02.01.2024,"25.000,00 €",Verwaltung eigener Vermögenswerte,K64.20,Beteiligungsgesellschaften,Cornelia Wendt,,,https://implisen.se/DEKGGNEZMW25
7,DE8JV7OMMU53,ULB Capital GmbH,Schubertstraße 41,55218,Ingelheim am Rhein,Mainz,HRB,52611,Gesellschaft mit beschränkter Haftung,02.01.2024,"25.000,00 €","Die Betreuung und Beratung von Unternehmern und Unternehmen in strategischen, personellen und fin...",M70.22,Unternehmensberatung,Leon Ulbrich,,,https://implisen.se/DE8JV7OMMU53
8,DEESHGGOS029,Therapiezentrum Brandenburg Ilse Promnitz OHG,Gördenallee 34,14772,Brandenburg an der Havel,Potsdam,HRA,8383,Offene Handelsgesellschaft,02.01.2024,,,,,,,,https://implisen.se/DEESHGGOS029
9,DE7ML1AP7543,optus 972. GmbH,"c/o Cormoran GmbH, Am Zirkus 2",10117,Berlin,Frankfurt am Main,HRB,133365,Gesellschaft mit beschränkter Haftung,02.01.2024,"25.000,00 €",Die Verwaltung eigener Vermögenswerte.,K64.20,Beteiligungsgesellschaften,Cornelia Wendt,,,https://implisen.se/DE7ML1AP7543
10,DEU9X5150U55,Feller & Gold GmbH,Sonnenweg 131,60529,Frankfurt am Main,Frankfurt am Main,HRB,133790,Gesellschaft mit beschränkter Haftung,02.01.2024,"25.000,00 €","Erbringung von Servicedienstleistungen in den Bereichen PR, Marketing, Sales und Events",M70.21,Public-Relations-Beratung,Jenny Alisa Bergold,Stefanie Feller (geb. Mehlhorn),,https://implisen.se/DEU9X5150U55
