#,time_of_recording,city,latitude,longitude,speed,source,accuracy,os,elisium_id
1,2022-12-20T20:22:38.884Z,Brescia,45.5369697,10.229371,5.522,Mat: ZTL,20.621,Android REL,2ca970c0-12d1-432c-a17a-7f6680da831e
2,2022-12-21T15:28:57.954Z,Palermo,38.1210903,13.3575168,92.175705,Mat: ZTL,27.707,Android REL,0acb6716-1bce-4543-9ab2-35fd5f7f754b
3,2022-12-23T08:51:07.146Z,Bergamo,45.6928837,9.6739089,19.38056,Mat: ZTL,35.445,Android REL,acafd1f5-afea-4e59-995b-bb9823047c88
4,2022-12-23T11:34:38.836Z,Monza,45.5844069,9.2707365,233.79613,Mat: ZTL bckg,13.946,Android REL,99c3c6b2-00e1-49a9-8912-f0bea6be0433
5,2022-12-23T11:51:31.765Z,Bergamo,45.6925547,9.6681229,28.948,Mat: ZTL,15.783,Android REL,acafd1f5-afea-4e59-995b-bb9823047c88
6,2022-12-23T11:57:14.187Z,Bergamo,45.6938641,9.6695673,25.57226,Mat: ZTL,44.019,Android REL,acafd1f5-afea-4e59-995b-bb9823047c88
7,2022-12-23T11:58:52.023Z,Bergamo,45.6945292,9.6714712,243.69057,Mat: ZTL,22.397,Android REL,acafd1f5-afea-4e59-995b-bb9823047c88
8,2022-12-24T04:42:49.407Z,Bergamo,45.6957496,9.6720484,123.49898,Mat: ZTL,134.5,Android REL,915c0327-f430-4cf3-a2cf-31369a6f48f0
9,2022-12-24T07:41:30.389Z,Bergamo,45.6963858,9.6745895,34.589203,Mat: ZTL,37.713,Android REL,915c0327-f430-4cf3-a2cf-31369a6f48f0
10,2022-12-24T08:49:48.444Z,Bergamo,45.6946252,9.6714301,89.073296,Mat: ZTL,18.593,Android REL,915c0327-f430-4cf3-a2cf-31369a6f48f0
11,2022-12-24T16:10:23.213Z,Modena,44.6446335,10.9311041,5.173,Mat Voice Assistant Copilot,6.741,Android 13,a90276ef-d250-481f-94f2-4102194878ba
12,2022-12-24T16:10:36.055Z,Modena,44.644045,10.9306379,29.614,Mat Voice Assistant Copilot,8.868,Android 13,a90276ef-d250-481f-94f2-4102194878ba
13,2022-12-24T16:11:20.317Z,Modena,44.6412597,10.9262068,42.948,Mat Voice Assistant Copilot,8,Android 13,a90276ef-d250-481f-94f2-4102194878ba
14,2022-12-24T16:11:37.470Z,Modena,44.6417815,10.9243626,19.861,Mat Voice Assistant Copilot,8.333,Android 13,a90276ef-d250-481f-94f2-4102194878ba
15,2022-12-24T19:09:50.668Z,Modena,44.6445945,10.9311454,41.846,Mat Voice Assistant Copilot,8,Android 13,a24d9e61-5675-477b-8259-f1d5baf73cb5
16,2022-12-24T19:09:56.758Z,Modena,44.6440213,10.9306995,43.232,Mat Voice Assistant Copilot,8,Android 13,a24d9e61-5675-477b-8259-f1d5baf73cb5
17,2022-12-24T19:11:23.766Z,Modena,44.6413395,10.9262887,15.793,Mat Voice Assistant Copilot,6,Android 13,a24d9e61-5675-477b-8259-f1d5baf73cb5
18,2022-12-24T19:12:01.890Z,Modena,44.6418084,10.9243985,16.826,Mat Voice Assistant Copilot,5.6,Android 13,a24d9e61-5675-477b-8259-f1d5baf73cb5
19,2022-12-25T10:15:35.013Z,Bergamo,45.6962641,9.6749176,13.057,Mat: ZTL,47.691,Android REL,915c0327-f430-4cf3-a2cf-31369a6f48f0
20,2022-12-25T12:07:26.903Z,Modena,44.6446376,10.9312061,27.508,Mat Voice Assistant Copilot,12,Android 13,fc117d8e-1024-4335-8081-87de8f1af247
