#,time_of_recording,city,latitude,longitude,speed,source,accuracy,os,device_id
1,2022-12-19T16:34:01.965Z,Monza,45.5792033,9.2720903,3.276,Mat: ZTL (bkg),38,Android 11,86304b53-171b-4851-b7cb-3c80d3ecf010
2,2022-12-19T16:34:11.894Z,Assisi,43.0698828,12.6143059,3.294,Mat: ZTL (bkg),64.1,Android 12,fafbd632-09a4-48b8-ad89-dceb515b687e
3,2022-12-19T16:34:59.926Z,Monza,45.5791403,9.2724785,1.26,Mat: ZTL (bkg),20.3,Android 11,86304b53-171b-4851-b7cb-3c80d3ecf010
4,2022-12-19T16:35:14.181Z,Assisi,43.069722,12.6137449,1.253,Mat: ZTL (bkg),104.1,Android 12,fafbd632-09a4-48b8-ad89-dceb515b687e
5,2022-12-19T16:36:15.190Z,Monza,45.5790756,9.2725875,0,Mat: ZTL (bkg),13.372,Android 11,86304b53-171b-4851-b7cb-3c80d3ecf010
6,2022-12-19T16:36:17.285Z,Assisi,43.0718785,12.6082802,0.4,Mat: ZTL (bkg),172.1,Android 12,fafbd632-09a4-48b8-ad89-dceb515b687e
7,2022-12-19T16:37:23.330Z,Assisi,43.0726875,12.6071843,1000.1052,Mat: ZTL (bkg),51.115,Android 12,fafbd632-09a4-48b8-ad89-dceb515b687e
8,2022-12-19T16:37:33.177Z,Monza,45.5790785,9.2725093,0.356,Mat: ZTL (bkg),32,Android 11,86304b53-171b-4851-b7cb-3c80d3ecf010
9,2022-12-19T16:38:26.368Z,Assisi,43.0729451,12.6074769,133.68414,Mat: ZTL (bkg),60,Android 12,fafbd632-09a4-48b8-ad89-dceb515b687e
10,2022-12-19T16:39:00.138Z,Monza,45.5791493,9.2722988,2.599,Mat: ZTL (bkg),11.144,Android 11,86304b53-171b-4851-b7cb-3c80d3ecf010
11,2022-12-19T16:39:30.251Z,Assisi,43.0737514,12.6069298,421.86353,Mat: ZTL (bkg),22.5,Android 12,fafbd632-09a4-48b8-ad89-dceb515b687e
12,2022-12-19T16:40:06.596Z,Monza,45.579148,9.2724569,1.152,Mat: ZTL (bkg),9,Android 11,86304b53-171b-4851-b7cb-3c80d3ecf010
13,2022-12-19T16:40:36.066Z,Assisi,43.0737732,12.6072437,0.122,Mat: ZTL (bkg),8.3,Android 12,fafbd632-09a4-48b8-ad89-dceb515b687e
14,2022-12-19T16:41:08.151Z,Monza,45.579092,9.2725704,19.487566,Mat: ZTL (bkg),11.919,Android 11,86304b53-171b-4851-b7cb-3c80d3ecf010
15,2022-12-19T16:41:53.431Z,Monza,45.5789636,9.2723897,0.763,Mat: ZTL (bkg),14,Android 11,86304b53-171b-4851-b7cb-3c80d3ecf010
16,2022-12-19T16:42:17.154Z,Monza,45.5793595,9.2725704,0.00027088285,Mat: ZTL (bkg),2.6,Android 11,86304b53-171b-4851-b7cb-3c80d3ecf010
17,2022-12-19T16:42:40.024Z,Assisi,43.0733862,12.6073314,10.829,Mat: ZTL (bkg),104.1,Android 12,fafbd632-09a4-48b8-ad89-dceb515b687e
18,2022-12-19T16:42:58.445Z,Monza,45.5791582,9.2726266,0.07,Mat: ZTL (bkg),11.5,Android 11,86304b53-171b-4851-b7cb-3c80d3ecf010
19,2022-12-19T16:43:23.150Z,Monza,45.5792754,9.2725747,3.4925647e-06,Mat: ZTL (bkg),3.3,Android 11,86304b53-171b-4851-b7cb-3c80d3ecf010
20,2022-12-19T16:43:42.940Z,Assisi,43.073965,12.607205,0.209,Mat: ZTL (bkg),7.7,Android 12,fafbd632-09a4-48b8-ad89-dceb515b687e
