#,GUID,Title,Brand,Latitude,Longitude,Street No,Street,City,District,Federal State,Address,Postal Code,Wheelchair,Phone,Website,Opening hours: Monday,Opening hours: Tuesday,Opening hours: Wednesday,Opening hours: Thursday,Opening hours: Friday,Opening hours: Saturday,Opening hours: Sunday
1,F1FECE43-C189-2F61-980F-FB656C912774,ALDI Aachen,ALDI,50.7792930419999,6.120243189,139,Elsassstraße,Aachen,Städteregion Aachen,North Rhine-Westphalia,"139 Elsassstraße, Aachen, 52068, Städteregion Aachen, Germany",52068,Yes,[redacted],https://filialen.aldi-sued.de/nordrhein-westfalen/aachen/elsassstrasse-139?utm_source=google&utm_...,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,off
2,9D1300B0-269B-48DF-B330-F57354377501,ALDI Aachen,ALDI,50.71305904,6.139191927,21,Werkstraße,Aachen,Städteregion Aachen,North Rhine-Westphalia,"21 Werkstraße, Aachen, 52076, Städteregion Aachen, Germany",52076,Yes,[redacted],https://filialen.aldi-sued.de/nordrhein-westfalen/aachen/werkstrasse-21?utm_source=google&utm_med...,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,off
3,E8454BAF-66B9-F97F-A052-489883521668,ALDI Ahaus,ALDI,52.127140949,6.910461172,24,Haaksbergener Straße,Ahaus,Kreis Borken,North Rhine-Westphalia,"24 Haaksbergener Straße, Ahaus, 48683, Kreis Borken, Germany",48683,Yes,[redacted],https://www.aldi-nord.de/,7:00 AM - 8:00 PM,7:00 AM - 8:00 PM,7:00 AM - 8:00 PM,7:00 AM - 8:00 PM,7:00 AM - 8:00 PM,7:00 AM - 8:00 PM,off
4,EF3EF61C-8AE4-8EBE-47ED-8D391A511835,ALDI Amberg,ALDI,49.444417851,11.836914419,2,Rammertshofer Weg,Amberg,Amberg,Bavaria,"2 Rammertshofer Weg, Amberg, 92224, Germany",92224,Yes,[redacted],https://filialen.aldi-sued.de/bayern/amberg/rammertshofer-weg-2?utm_source=google&utm_medium=orga...,7:00 AM - 8:00 PM,7:00 AM - 8:00 PM,7:00 AM - 8:00 PM,7:00 AM - 8:00 PM,7:00 AM - 8:00 PM,7:00 AM - 8:00 PM,off
5,CAFB1188-8554-89FC-1E3E-466E5E833C27,ALDI Annaberg-Buchholz,ALDI,50.564936691,13.011489604,6,Oberwiesenthaler Weg,Annaberg-Buchholz,Erzgebirgskreis,Saxony,"6 Oberwiesenthaler Weg, Annaberg-Buchholz, 09456, Germany",9456,Yes,[redacted],https://www.aldi-nord.de/,7:00 AM - 8:00 PM,7:00 AM - 8:00 PM,7:00 AM - 8:00 PM,7:00 AM - 8:00 PM,7:00 AM - 8:00 PM,7:00 AM - 8:00 PM,off
6,D7AF44D3-A977-DB5A-C9D0-10E527A27BBD,ALDI Ansbach,ALDI,49.2960504,10.5786301,24,Feuerbachstraße,Ansbach,Ansbach,Bavaria,"24 Feuerbachstraße, Ansbach, 91522, Germany",91522,Yes,[redacted],https://filialen.aldi-sued.de/bayern/ansbach/feuerbachstrasse-24?utm_source=google&utm_medium=org...,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,off
7,EFED4177-4118-79BF-DDE6-1AB2BEB4A36D,ALDI Arnsberg,ALDI,51.460110838,7.95122961799999,16 b,Im Ohl,Arnsberg,Hochsauerlandkreis,North Rhine-Westphalia,"16 b Im Ohl, Hochsauerlandkreis, 59757, Hochsauerlandkreis, Germany",59757,Yes,[redacted],https://www.aldi-nord.de/,7:00 AM - 9:00 PM,7:00 AM - 9:00 PM,7:00 AM - 9:00 PM,7:00 AM - 9:00 PM,7:00 AM - 9:00 PM,7:00 AM - 9:00 PM,off
8,75378229-3A84-0C79-1646-4A9BCA782E28,ALDI Aschersleben,ALDI,51.749845419,11.458667678,3,Eislebener Straße,Aschersleben,Salzlandkreis,Saxony-Anhalt,"3 Eislebener Straße, Aschersleben, 06449, Germany",6449,Yes,[redacted],https://www.aldi-nord.de/,7:00 AM - 8:00 PM,7:00 AM - 8:00 PM,7:00 AM - 8:00 PM,7:00 AM - 8:00 PM,7:00 AM - 8:00 PM,7:00 AM - 8:00 PM,off
9,BDBDB430-5DA1-E813-809F-E800C35BFCFC,ALDI Auerbach/Vogtland,ALDI,50.513322692,12.397686197,15 a,Bahnhofstraße,Auerbach/Vogtland,Vogtlandkreis,Saxony,"15 a Bahnhofstraße, Auerbach/Vogtland, 08209, Germany",8209,Yes,[redacted],https://www.aldi-nord.de/,7:00 AM - 8:00 PM,7:00 AM - 8:00 PM,7:00 AM - 8:00 PM,7:00 AM - 8:00 PM,7:00 AM - 8:00 PM,7:00 AM - 8:00 PM,off
10,A226293C-CE5E-34D0-F8AE-8DD95BCC1319,ALDI Augsburg,ALDI,48.3553420069999,10.910472469,9,Hofrat-Röhrer-Straße,Augsburg,Augsburg,Bavaria,"9 Hofrat-Röhrer-Straße, Augsburg, 86161, Germany",86161,Yes,[redacted],https://filialen.aldi-sued.de/bayern/augsburg/hofrat-roehrer-strasse-9?utm_source=google&utm_medi...,7:00 AM - 8:00 PM,7:00 AM - 8:00 PM,7:00 AM - 8:00 PM,7:00 AM - 8:00 PM,7:00 AM - 8:00 PM,7:00 AM - 8:00 PM,off
