#,indx,contract_link,contract_id,contract_date,contract_number,contract_name,ITEM_NUMBER,project_name,purchaser,purchaser_location,supplier,subject_of_contract,specifications,quantity,price_per_unit,total_contract_price,PURCHASE_METHOD,SIGN_DATE,INDUSTRY,BRIEF_INFO
1,0,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382a9785796a90178589055db0507?contractSign=0,2c8382a9785796a90178589055db0507,3/22/2021,Z1302082001861331,唐山市丰润区残疾人联合会残疾人意外伤害保险采购合同,HB2020127620020005,残疾人意外伤害保险,唐山市丰润区残疾人联合会,唐山市丰润区残疾人联合会,中国人寿保险股份有限公司唐山市丰润支公司,残疾人意外伤害保险,详见文件,1,587125,58.712500万元,,3/19/2021,,详见文件
2,1,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382a9785796a9017858906285050b?contractSign=0,2c8382a9785796a9017858906285050b,3/22/2021,CYCG_21_0130-001,2021年红领巾公园安置农村劳动力派遣项目政府采购合同,CYCG_21_0130,2021年红领巾公园安置农村劳动力派遣项目,北京市朝阳区红领巾公园,详见中标成交公告及合同附件,北京圣安卫嘉保安服务有限公司,2021年红领巾公园安置农村劳动力派遣项目,详见中标成交公告及合同附件,详见中标成交公告及合同附件,211.6300000万元,211.630000万元,公开招标,3/1/2021,,详见中标成交公告及合同附件
3,10,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382aa785756d70178592547010b90?contractSign=0,2c8382aa785756d70178592547010b90,3/22/2021,HXZB-2021-02-21,（政府购买服务合同）涞水县农业农村局农药兽药包装废弃物押金制回收处理项目,HB2021023260020035,涞水县农业农村局农药兽药包装废弃物押金制回收处理项目,涞水县农业农村局,涞水县农业农村局,北京盈创高科新技术发展有限公司,农药兽药包装废弃物押金制回收服务,符合相关行业标准,1,498800,49.880000万元,,3/22/2021,,符合相关行业标准
4,100,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382aa785756d70178576c88b900e7?contractSign=0,2c8382aa785756d70178576c88b900e7,3/22/2021,20210318HT(WZ)000014,宁夏民族职业技术学院第二学生餐厅改造项目,D6403000141002004-1,宁夏民族职业技术学院第二学生餐厅改造项目,宁夏民族职业技术学院,宁夏民族职业技术学院院内,吴忠市古城建筑工程有限公司,宁夏民族职业技术学院第二学生餐厅改造项目,宁夏民族职业技术学院第二学生餐厅改造项目,1,782630.88,78.263088万元,公开招标,7/11/2018,,吴忠市利通区
5,1000,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382a978263459017843b1c6ff7875?contractSign=0,2c8382a978263459017843b1c6ff7875,3/18/2021,Hbsx202102,餐饮服务合同,HBCT-210029-001,河北省税务干部学校（西山校区）餐饮管理服务采购项目,河北省税务干部学校,石家庄市新石南路171号,石家庄尤嘉餐饮管理有限公司,餐饮服务,国家标准,1,96.118万元,96.118000万元,公开招标,3/5/2021,,1年
6,10000,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382a9778430cd017784a3ed3802b4?contractSign=0,2c8382a9778430cd017784a3ed3802b4,2/9/2021,20210209HT(GY)000004,西吉县机关事务服务中心食堂食材政府采购项目三标段,D6404000141003815-3,西吉县机关事务服务中心食堂食材政府采购项目三标段,西吉县机关事务服务中心,西吉县,西吉县永祥超市,蔬菜,详见中标通知书,1,362979,36.297900万元,竞争性磋商,12/7/2020,,详见中标通知书
7,100000,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382aa744e3d5a01747afd9c385503?contractSign=0,2c8382aa744e3d5a01747afd9c385503,9/11/2020,20200910HT000001,宁夏医科大学2020年科技中心激光共聚焦显微镜激光器更换项目,01daad36-1c4b-4df3-ad0f-43864bc4a69c,宁夏医科大学2020年科技中心激光共聚焦显微镜激光器更换项目,宁夏医科大学,银川市胜利南街1160号,银川珉玉电子科技有限公司,635激光器,制造商,1,143000,28.600000万元,公开招标,9/9/2020,,交货期
8,100001,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382aa744e3d5a01747afd462b54fe?contractSign=0,2c8382aa744e3d5a01747afd462b54fe,9/11/2020,4530000HT202003880,全省危险化学品生产企业安全现状评价项目,4530000JH202005887,全省危险化学品生产企业安全现状评价项目,云南省应急管理厅,云南省昆明市官渡区曙光中路1号,昆明阳光安全科技工程有限公司,全省危险化学品生产企业安全现,危险化学品生产企业安全现状评价报告编制,1次,1100000,110.000000万元,,9/7/2020,,1年，根据服务内容，签订合同时约定
9,100002,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382aa744e3d5a01747afb011854f0?contractSign=0,2c8382aa744e3d5a01747afb011854f0,9/11/2020,20200904HT000013,宁夏回族自治区空气质量实时发布及预警预报系统网络安全等级保护整改项目,D6400000141005498-1,宁夏回族自治区空气质量实时发布及预警预报系统网络安全等级保护整改,宁夏回族自治区生态环境监测中心,银川市金凤区阅欣路3号,宁夏无线互通信息技术有限公司,核心交换机引擎,H3C S10508X,1,221000,198.000000万元,公开招标,9/1/2020,,合同签订后90日历天内完成设备供货安装及调试，完成系统等保测评缺陷
10,100003,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382a9744e38820174a0745e5b45cd?contractSign=0,2c8382a9744e38820174a0745e5b45cd,9/11/2020,TRZFCG-2020-121-1,铜仁市碧江区教育局2020-2021学年度中小学目标试卷、期末试卷采购,TRZFCG-2020-121,铜仁市碧江区教育局2020-2021学年度中小学目标试卷、期末试卷采购,无,铜仁市碧江区教育局,余庆县快捷印务有限公司,见附件,见附件,见附件,见附件,62.800000万元,竞争性谈判,9/7/2020,,见附件
11,100004,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382aa744e3d5a01747ca6110b5d2b?contractSign=0,2c8382aa744e3d5a01747ca6110b5d2b,9/11/2020,TCCX-2019-156,施工合同,TCCX-2019-156,北京市房山区农业农村局所属农服中心美丽生态牧场建设项目,北京市房山区农业技术综合服务中心,北京市房山区良乡西潞街道金光路1号,北京恒泰瑞景建筑工程有限公司,北京市房山区农业农村局所属农服中心美丽生态牧场建设项目,/,/,/,86.152893万元,竞争性磋商,1/23/2020,,合同履行日期
12,100005,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382aa744e3d5a01747c9794a85cea?contractSign=0,2c8382aa744e3d5a01747c9794a85cea,9/11/2020,KYQ-2020-023,北京高端制造业（房山）基地管理委员会研究院南侧绿化提升项目施工合同书,KYQ-2020-023,北京高端制造业（房山）基地管理委员会研究院南侧绿化提升项目,北京高端制造业（房山）基地管理委员会,北京市房山区窦店镇交道东大街5号,北京鑫隆通瑞建设工程有限公司,北京高端制造业（房山）基地管理委员会研究院南侧绿化提升项目,须具备建设行政主管部门颁发的市政公用工程施工总承包叁级（含）以上资质等,1,178.375608,178.375608万元,竞争性磋商,8/13/2020,,北京市房山区
13,100006,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382aa744e3d5a01747c81df345ca8?contractSign=0,2c8382aa744e3d5a01747c81df345ca8,9/11/2020,ZC130800202001471001001,2020年社会化服务试点项目（机械起薯）第一标段,HB2020073269990001,2020年农业生产社会化服务项目,围场满族蒙古族自治县农业农村局,围场满族蒙古族自治县农业农村局,围场满族蒙古族自治县向民薯菜种植专业合作社,见采购文件,见采购文件,1,404640,40.464000万元,,8/1/2020,,见采购文件
14,100007,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382aa744e3d5a01747c71914b5c44?contractSign=0,2c8382aa744e3d5a01747c71914b5c44,9/11/2020,HBKT20200428,石家庄市新华区人民法院办公设备及数字法庭采购项目一标段合同,HB2020081610020001,办公设备及数字法庭采购,新华区人民法院,新华区人民法院,石家庄爱诺科技有限公司,一标段,黑白复印机理光MP6503SP；彩色复印机理光MP C6004exSP；多功能一体机理光SP221S；扫描仪爱普生DS-410；彩色激光打印机惠普M154A；台式电脑联想启天M415；笔记本电脑...,一批,392600,39.260000万元,,9/10/2020,,供货地点
15,100008,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382aa744e3d5a01747c69450b5bfd?contractSign=0,2c8382aa744e3d5a01747c69450b5bfd,9/11/2020,4530000HT202004523,保山文化研究院《保山丛书》出版服务合同公告,4530000JH202005466,保山文化研究院《保山丛书》出版服务,保山学院,保山市隆阳区远征路16号,国家图书馆出版社有限公司,保山文化研究院<<保山丛书>,供应方负责底本联系及复制、编辑、出版、印刷和发行等全部工作，并承担相关费用,10册,92500,92.500000万元,,9/11/2020,,在双方约定的时间前完成出版
16,100009,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382aa744e3d5a01747c50cf005b57?contractSign=0,2c8382aa744e3d5a01747c50cf005b57,9/11/2020,4530000HT202003843,工作网门户网站建设项目,4530000JH202005530,昆明市官渡区人民检察院检察工作网门户网站建设,昆明市官渡区人民检察院,昆明市官渡区,昆明帮联传媒科技有限公司,工作网门户网站建设,详见合同内容,1项,29900,2.990000万元,,9/10/2020,,自接到采购人通知后至本项目所有内容完止。（合同签订后40个工作日内完成）
17,10001,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382a9778430cd0177852a0a2404bf?contractSign=0,2c8382a9778430cd0177852a0a2404bf,2/9/2021,20210114HT000006,宁夏医科大学总医院科研设备 (生物芯片中心设备）采购项目,1c429180-5e0c-42b4-b6b5-c3a988f2408f,宁夏医科大学总医院科研设备（生物芯片中心设备）,宁夏医科大学总医院,银川市胜利南街804号,银川传盛伟业科贸有限公司,超灵敏多功能成像仪等,A1800等,一批,549120,54.912000万元,公开招标,1/6/2021,,履约期限
18,100010,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382aa744e3d5a01747c2d8b705aa3?contractSign=0,2c8382aa744e3d5a01747c2d8b705aa3,9/11/2020,0876-2011168(HT),兰州大学第一医院兰州大学第一医院医用直线加速器升级采购项目,0876-2011168,兰州大学第一医院医用直线加速器升级采购项目,兰州大学第一医院,无,甘肃恒旭商贸有限公司,治疗计划系统1套、实时四维超声影像引导系统1套、医用直线加速器呼吸门控系统1套,详见合同,详见合同,详见合同,830.000000万元,单一来源,8/10/2020,,详见合同
19,100011,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382aa744e3d5a01747c1bfb685a30?contractSign=0,2c8382aa744e3d5a01747c1bfb685a30,9/11/2020,TCCX-2020-029,北京市房山区农业农村局2020年低收入产业增收监理项目,TCCX-2020-029,北京市房山区农业农村局2020年低收入产业增收监理项目,北京市房山区农业农村局,北京市房山区金光路1号,北京集东建设工程监理有限责任公司,2020年低收入产业增收监理,服务要求,无,106万元,106.000000万元,公开招标,8/12/2020,,施工工期
20,100012,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382aa744e3d5a01749f47613335b4?contractSign=0,2c8382aa744e3d5a01749f47613335b4,9/11/2020,8/15/2020,凤冈县中等职业学校学生课桌凳采购项目,SJZB2020-95,凤冈县中等职业学校学生课桌凳采购项目,无,凤冈县,贵州兴钢办公教学设备有限责任公司,凤冈县中等职业学校学生课桌凳采购项目,采购学生课桌凳3000套,采购学生课桌凳3000套,219,65.700000万元,竞争性磋商,8/15/2020,,成交供应商在领取中标通知书后 5 个工作日内，须以银行汇票、电子凭据、银行进账单等形式向采购人缴纳中标金额的 3%的履约保证金，（缴纳方式为转账或银行存款）。合同签订后，供应商完成所有施工和安装调式完
