#,Company Name,Executive First Name,Executive Last Name,Professional Title,Executive Title,Address,City,State,ZIP Code,ZIP Four,County,Metro Area,Phone Number Combined,Toll Free Number Combined,Website,Company Description,Primary SIC Code,Primary SIC Description,Primary NAICS,Primary NAICS Description,Location Employee Size Actual,Location Sales Volume Actual,Corporate Employee Size Actual,Corporate Sales Volume Actual,Type of Business,Location Type,IUSA Number,Year Established,Ticker Symbol,Stock Exchange,Twitter,Linked-In,Facebook
1,Alaska Cook Inlet Funeral Svc,Amanda,Hasara,,Manager,[redacted],Anchorage,AK,99518,2353.0,Anchorage,"Anchorage, AK",(907) 696-4400,,Alaskacremation.Com,,726105,Funeral Plans (Pre-Arranged),81221005,Funeral Homes And Funeral Services,3,"$408,000",0,$0,Private,Single Loc,42-113-4843,,,,,,
2,Oceanfront Kodiak,Mark,Anderson,,Manager,[redacted],Kodiak,AK,99615,6662.0,Kodiak Island,,Not Available,,,,653118,Real Estate,53121003,Offices Of Real Estate Agents And Brokers,2,"$159,000",0,$0,Private,Single Loc,71-182-5576,2015.0,,,,,
3,Clinical Urology Assoc PC,Doyle D,Stephens,DO,,[redacted],Gadsden,AL,35903,1156.0,Etowah,"Gadsden, AL",(256) 492-4040,,Clinicalurology.Com,,801101,Physicians & Surgeons,62111107,Offices Of Physicians (Except Mental Health Specia,3,"$846,000",0,$0,Private,Single Loc,40-267-0662,,,,,,
4,Hope Presbyterian Church,Lewis,Agnew,,Religious Dir,[redacted],Huntsville,AL,35803,2609.0,Madison,"Huntsville, AL",(256) 881-4673,,Hopehuntsville.Org,,866107,Churches,81311008,Religious Organizations,4,$0,0,$0,Private,Single Loc,80-374-6692,,,,,,https://www.facebook.com/hopehuntsville
5,Lincoln High School,,,,,[redacted],Lincoln,AL,35096,,Talladega,"Talladega, AL",(256) 315-5295,,Tcboe.Org,,821103,Schools,61111007,Elementary And Secondary Schools,54,$0,0,$0,Private,Single Loc,40-050-2566,1911.0,,,http://twitter.com/tcboe,,
6,New Brockton Volunteer Fire,Greg,Lee,,Manager,[redacted],New Brockton,AL,36351,7623.0,Coffee,"Enterprise, AL",(334) 470-0014,,,,922404,Fire Departments,92216003,Fire Protection,20,$0,0,$0,Private,Single Loc,54-584-2882,,,,,,https://www.facebook.com/newbrocktonfirerescue
7,Tyler Watts Agency,Tyler,Watts,,Owner,[redacted],Vestavia Hills,AL,35216,1905.0,Jefferson,"Birmingham, AL",(205) 822-5477,,Nationwide.Com,,641112,Insurance,52421001,Insurance Agencies And Brokerages,3,"$445,000",0,$0,Private,Single Loc,47-757-9007,,,,,,
8,Dusty Diggs Construction Inc,Dustin N,Diggs,,Owner,[redacted],Hot Springs National Park,AR,71913,7817.0,Hot Spring,"Malvern, AR",Not Available,,,,152144,Construction Companies,23611512,New Single-Family Housing Construction (Except For,2,"$426,000",0,$0,Private,Single Loc,71-820-9543,2015.0,,,,,https://www.facebook.com/dustydiggsconstruction
9,Ink Therapy Tattoos,Kevin,House,,Owner,[redacted],Fort Smith,AR,72901,2827.0,Sebastian,"Ft Smith, AR-OK",(479) 242-1939,,,,729943,Tattooing,81219923,Other Personal Care Services,1,"$23,000",0,$0,Private,Single Loc,74-812-9221,2020.0,,,,,https://www.facebook.com/inktherapytattoosco
10,Little Rock Titan Youth Athltc,Eddie,Walker,,Owner,[redacted],Alexander,AR,72002,7243.0,Saline,"Little Rock, AR",Not Available,,,,832222,Youth Organizations & Centers,62411006,Child And Youth Services,4,"$428,000",0,$0,Private,Single Loc,43-266-5731,,,,,,
11,Superior Stone & Cabinets LLC,Brad,Peppers,,Manager,[redacted],Jonesboro,AR,72401,9155.0,Craighead,"Jonesboro, AR",(870) 275-6416,,Superiorstoneandmore.Com,,571236,Cabinets,33711002,Wood Kitchen Cabinet And Countertop Manufacturing,4,"$1,116,000",0,$0,Private,Single Loc,43-594-2985,,,,,,https://www.facebook.com/superiorstoneandmorellc
12,Lightworks Acupuncture,Lee,Roberts,,Manager,[redacted],Tucson,AZ,85712,2319.0,Pima,"Tucson, AZ",(520) 390-6767,,Lightworksacupuncture.Com,"Lightworks Acupuncture Helps Tucson Patients With Chronic Pain, Headaches, Stress Relief, Prostat...",804913,Acupuncture,62139901,Offices Of All Other Miscellaneous Health Practiti,2,"$112,000",0,$0,Private,Single Loc,70-634-2076,,,,http://twitter.com/lightworksacu,http://www.linkedin.com/in/candice-thomas-5a01a159,https://www.facebook.com/lightworksacupuncture
13,Millennium Medical Supply,Caelve,Calaraig,,Owner,[redacted],Safford,AZ,85546,4012.0,Graham,"Safford, AZ",(928) 348-0652,,,,504704,Physicians & Surgeons Equip & Supls-Whls,42345028,"Medical, Dental, And Hospital Equipment And Suppli",3,"$3,212,000",0,$0,Private,Single Loc,21-956-0042,,,,,,https://www.facebook.com/millenniummedicalsupply
14,Navajo County Manager,,,,,[redacted],Holbrook,AZ,86025,3479.0,Navajo,"Show Low, AZ",(928) 524-4053,,Navajocountyaz.Gov,,912103,Government Offices-County,92112007,Legislative Bodies,5,$0,0,$0,Private,Single Loc,42-726-2714,,,,,,
15,Radiant Research,Natalie,Wiley,,Manager,[redacted],Mesa,AZ,85213,5226.0,Maricopa,"Phoenix-Mesa, AZ",(480) 898-1300,,Clinicalresearch.Com,,873304,Medical Research,54171518,"Research And Development In The Physical, Engineer",5,$0,0,$0,Private,Branch,94-923-2235,,,,http://twitter.com/quintiles,,http://www.facebook.com/quintiles
16,"Stoker, Chad M DDS",Chad M,Stoker,DDS,,[redacted],Mesa,AZ,85210,5030.0,Maricopa,"Phoenix-Mesa, AZ",(602) 459-7456,8668141886.0,,,801101,Physicians & Surgeons,62111107,Offices Of Physicians (Except Mental Health Specia,4,"$842,000",0,$0,Private,Single Loc,72-113-2814,,,,,,
17,A & R Chimney Sweeps & Supls,,,,,[redacted],Bakersfield,CA,93309,,Kern,"Bakersfield, CA",(661) 836-1000,,,,734916,Chimney & Fireplace Cleaning Build/Rpr,23899055,All Other Specialty Trade Contractors,1,"$75,000",0,$0,Private,Single Loc,21-884-6970,,,,,,
18,A Fast Bail Bonds,,,,,[redacted],Hermosa Beach,CA,90254,2411.0,Los Angeles,"LA-Long Bch, CA",(310) 421-9335,,,,614114,Bonds-Bail,81299056,All Other Personal Services,3,"$2,008,000",0,$0,Private,Single Loc,40-179-6119,,,,,,
19,A R O H A,Steven,Kaller,,Manager,[redacted],Los Angeles,CA,90038,1703.0,Los Angeles,"LA-Long Bch, CA",Not Available,,,,999977,Nonclassified Establishments,99999004,Unclassified Establishments,0,$0,0,$0,Private,Single Loc,72-440-1378,2017.0,,,,,
20,A Robledo Construction Engrng,,,,,[redacted],Napa,CA,94558,,Napa,"Napa, CA",(707) 492-9508,,,,161101,Paving Contractors,23731010,"Highway, Street, And Bridge Construction",5,"$1,416,000",0,$0,Private,Single Loc,44-068-8309,,,,,,
