#,filing_url,filing_uuid,filing_year,client_uuid,client_name,ticker_symbol,client_ticker_indicator,client_government_entity,affiliated_organizations_indicator,affiliated_organizations,affiliated_organizations_count,registrant_id,registrant_name,lobbyist_ids,lobbyist_names,lobbyist_count,lobbyist_more_info,lobbyist_conviction_disclosures,lobbyist_conviction_disclosures_count,agencies,agency_count,general_issue_codes,general_issues,general_issue_count,specific_issues,bills_lobbied_on,lobbying_activities_more_info,foreign_entity_indicator,foreign_entities,foreign_entity_issues,foreign_entity_count,dollar_amount,filing_type,termination_date,date_time_posted,date_posted
1,https://lda.senate.gov/filings/public/filing/42fae8b1-c910-4797-8701-9571dcfbaf9b/print/,42fae8b1-c910-4797-8701-9571dcfbaf9b,1999,65e354ca6a31347af945804c940eb33570ad6454739d29c857,At&T,T,Yes,No,No,,,47996,"Paxton & Assoc, James M.",18002,James M Paxton,1.0,"[{'lobbyist_id': '18002', 'lobbyist_name': 'James M Paxton', 'previous_positions': ''}]",,,,,"DEF, SCI, TAX, TEC","Defense, Taxation/Internal Revenue Code, Telecommunications, Science/Technology",4.0,,,"[{'agency_ids': '', 'lobbyist_ids': '18002', 'specific_issue': '', 'general_issue_code': 'TEC', '...",No,,,,,Registration,,1999-01-04 21:00:00.000,1999-01-04
2,https://lda.senate.gov/filings/public/filing/940b2536-ba24-41f8-b3cf-c3bacf567bf7/print/,940b2536-ba24-41f8-b3cf-c3bacf567bf7,1999,65e354ca6a31347af945804c940eb33570ad6454739d29c857,At&T,T,Yes,No,No,,,23111,Long Law Firm,,,,,,,,,,,,,,,No,,,,,Mid-Year Termination Amendment,,1999-01-26 21:00:00.000,1999-01-26
3,https://lda.senate.gov/filings/public/filing/f5fe39f1-f17b-43ae-ac6a-38ce031e4bfa/print/,f5fe39f1-f17b-43ae-ac6a-38ce031e4bfa,1999,65e354ca6a31347af945804c940eb33570ad6454739d29c857,At&T,T,Yes,No,No,,,50103,Wallman Strategic Consulting,"3769, 9435","Kathleen M Wallman, John E Logan",2.0,"[{'lobbyist_id': '3769', 'lobbyist_name': 'Kathleen M Wallman', 'previous_positions': ''}, {'lobb...",,,,,"COM, TEC","Telecommunications, Communications/Broadcasting/Radio/TV",2.0,,,"[{'agency_ids': '', 'lobbyist_ids': '3769, 9435', 'specific_issue': '', 'general_issue_code': 'TE...",No,,,,,Registration,,1999-05-03 21:00:00.000,1999-05-03
4,https://lda.senate.gov/filings/public/filing/5db92a34-dcea-48c5-b606-aae7c549cb3b/print/,5db92a34-dcea-48c5-b606-aae7c549cb3b,1999,65e354ca6a31347af945804c940eb33570ad6454739d29c857,At&T,T,Yes,No,No,,,4857,At&T,,,,,,,,,,,,,,,No,,,,,Registration - Amendment,,1999-07-20 21:00:00.000,1999-07-20
5,https://lda.senate.gov/filings/public/filing/19e2dc27-bb66-45d2-a126-ec3aed659d19/print/,19e2dc27-bb66-45d2-a126-ec3aed659d19,1999,65e354ca6a31347af945804c940eb33570ad6454739d29c857,At&T,T,Yes,No,No,,,47996,"Paxton & Assoc, James M.",18002,James M Paxton,1.0,"[{'lobbyist_id': '18002', 'lobbyist_name': 'James M Paxton', 'previous_positions': ''}]",,,House of Representatives,1.0,TEC,Telecommunications,1.0,,,"[{'agency_ids': '2', 'lobbyist_ids': '18002', 'specific_issue': '', 'general_issue_code': 'TEC', ...",No,,,,40000.0,Mid-Year Report,,1999-07-20 21:00:00.000,1999-07-20
6,https://lda.senate.gov/filings/public/filing/2973557a-e0d8-4c46-a854-8c67284a2334/print/,2973557a-e0d8-4c46-a854-8c67284a2334,1999,65e354ca6a31347af945804c940eb33570ad6454739d29c857,At&T,T,Yes,No,No,,,50103,Wallman Strategic Consulting,"3769, 9435","Kathleen M Wallman, John E Logan",2.0,"[{'lobbyist_id': '3769', 'lobbyist_name': 'Kathleen M Wallman', 'previous_positions': ''}, {'lobb...",,,"Federal Communications Commission (FCC), Department of Agriculture (USDA), Department of Commerce...",3.0,"COM, TEC","Telecommunications, Communications/Broadcasting/Radio/TV",2.0,,,"[{'agency_ids': '23, 24, 53', 'lobbyist_ids': '3769, 9435', 'specific_issue': '', 'general_issue_...",No,,,,90000.0,Mid-Year Report,,1999-07-22 21:00:00.000,1999-07-22
7,https://lda.senate.gov/filings/public/filing/85943d6f-5fd6-4472-b694-7340b0511049/print/,85943d6f-5fd6-4472-b694-7340b0511049,1999,378e6be75d039830b10ff9a45b65df4ab45814a9e7204fa4f0,"At&T Services, Inc (Formerly Sbc Communications, Inc.)",T,Yes,No,No,,,41955,Law Offices Of Bernard Wunder (Fka Wunder & Lilley),,,,,,,,,,,,,,,No,,,,,Mid-Year Report (No Activity),,1999-07-25 21:00:00.000,1999-07-25
8,https://lda.senate.gov/filings/public/filing/24fef642-5a80-4aa9-bd01-873cdc8bebed/print/,24fef642-5a80-4aa9-bd01-873cdc8bebed,1999,65e354ca6a31347af945804c940eb33570ad6454739d29c857,At&T,T,Yes,No,No,,,30928,Paul Hastings Llp,9263,Ralph B Everett,1.0,"[{'lobbyist_id': '9263', 'lobbyist_name': 'Ralph B Everett', 'previous_positions': ''}]",,,,,TEC,Telecommunications,1.0,,,"[{'agency_ids': '', 'lobbyist_ids': '9263', 'specific_issue': '', 'general_issue_code': 'TEC', 'g...",No,,,,,Registration,,1999-07-26 21:00:00.000,1999-07-26
9,https://lda.senate.gov/filings/public/filing/b842770e-14e5-4a9f-be7c-9249193e11b3/print/,b842770e-14e5-4a9f-be7c-9249193e11b3,1999,65e354ca6a31347af945804c940eb33570ad6454739d29c857,At&T,T,Yes,No,No,,,6611,Boesch & Co,37321,Doyle A Boesch,1.0,"[{'lobbyist_id': '37321', 'lobbyist_name': 'Doyle A Boesch', 'previous_positions': ''}]",,,"Senate, House of Representatives",2.0,TEC,Telecommunications,1.0,,,"[{'agency_ids': '1, 2', 'lobbyist_ids': '37321', 'specific_issue': '', 'general_issue_code': 'TEC...",No,,,,40000.0,Mid-Year Report,,1999-07-26 21:00:00.000,1999-07-26
10,https://lda.senate.gov/filings/public/filing/815b3823-b0b4-4d54-adda-4c6e24d02890/print/,815b3823-b0b4-4d54-adda-4c6e24d02890,1999,65e354ca6a31347af945804c940eb33570ad6454739d29c857,At&T,T,Yes,No,No,,,14438,"Jack Ferguson Assoc., Inc.",4501,Jack Ferguson,1.0,"[{'lobbyist_id': '4501', 'lobbyist_name': 'Jack Ferguson', 'previous_positions': 'President'}]",,,,,TEC,Telecommunications,1.0,,,"[{'agency_ids': '', 'lobbyist_ids': '4501', 'specific_issue': '', 'general_issue_code': 'TEC', 'g...",No,,,,81000.0,Mid-Year Report,,1999-08-08 21:00:00.000,1999-08-08
