#,filing_url,filing_uuid,filing_year,client_uuid,client_name,ticker_symbol,client_ticker_indicator,client_government_entity,affiliated_organizations_indicator,affiliated_organizations,affiliated_organizations_count,registrant_id,registrant_name,lobbyist_ids,lobbyist_names,lobbyist_count,lobbyist_more_info,lobbyist_conviction_disclosures,lobbyist_conviction_disclosures_count,agencies,agency_count,general_issue_codes,general_issues,general_issue_count,specific_issues,bills_lobbied_on,lobbying_activities_more_info,foreign_entity_indicator,foreign_entities,foreign_entity_issues,foreign_entity_count,dollar_amount,filing_type,termination_date,date_time_posted,date_posted
1,https://lda.senate.gov/filings/public/filing/15c88cf2-0e2a-4445-9fd7-37126d1a2194/print/,15c88cf2-0e2a-4445-9fd7-37126d1a2194,1999,d11216b0e9d53cc92f77d150d3e788e532c5b8557727e09aa9,Amgen Inc,AMGN,Yes,No,No,,,31747,Policy Directions Inc.,,,,,,,,,,,,,,,No,,,,,Registration,,1999-02-18 21:00:00.000,1999-02-18
2,https://lda.senate.gov/filings/public/filing/633f8013-fc47-4df0-8e6a-2d55f91c6dcc/print/,633f8013-fc47-4df0-8e6a-2d55f91c6dcc,1999,d11216b0e9d53cc92f77d150d3e788e532c5b8557727e09aa9,Amgen Inc.,AMGN,Yes,No,No,,,5357,Bgr Government Affairs,"1202, 136087, 26545, 3503, 35874","Go Griffith, Edward Rogers, Loren Monroe, Haley Reeves Barbour, Ed Gillespie",5.0,"[{'lobbyist_id': '1202', 'lobbyist_name': 'Go Griffith', 'previous_positions': 'Sp. Asst. To Pres...",,,,,"HCR, MMM, PHA","Health Issues, Medicare/Medicaid, Pharmacy",3.0,,,"[{'agency_ids': '', 'lobbyist_ids': '1202, 136087, 26545, 3503, 35874', 'specific_issue': '', 'ge...",No,,,,,Registration - Amendment,,1999-06-28 21:00:00.000,1999-06-28
3,https://lda.senate.gov/filings/public/filing/4ddbe806-92eb-4c6d-8616-0d6e86dd3b82/print/,4ddbe806-92eb-4c6d-8616-0d6e86dd3b82,1999,d11216b0e9d53cc92f77d150d3e788e532c5b8557727e09aa9,Amgen,AMGN,Yes,No,No,,,6006,Bergner Bockorny Castagnetti Hawkins & Brain,"36113, 7073","Melissa Schulman, James Hawkins",2.0,"[{'lobbyist_id': '36113', 'lobbyist_name': 'Melissa Schulman', 'previous_positions': 'Policy Dir,...",,,,,VET,Veterans,1.0,,,"[{'agency_ids': '', 'lobbyist_ids': '36113, 7073', 'specific_issue': '', 'general_issue_code': 'V...",No,,,,,Registration,,1999-06-29 21:00:00.000,1999-06-29
4,https://lda.senate.gov/filings/public/filing/97e24704-76f9-479d-8746-ef77a914fbb9/print/,97e24704-76f9-479d-8746-ef77a914fbb9,1999,d11216b0e9d53cc92f77d150d3e788e532c5b8557727e09aa9,Amgen,AMGN,Yes,No,No,,,16896,"Greenberg Traurig, Llp",30238,Howard Cohen,1.0,"[{'lobbyist_id': '30238', 'lobbyist_name': 'Howard Cohen', 'previous_positions': 'Counsel; Comm O...",,,,,"HCR, INS, MMM","Health Issues, Medicare/Medicaid, Insurance",3.0,,,"[{'agency_ids': '', 'lobbyist_ids': '30238', 'specific_issue': '', 'general_issue_code': 'HCR', '...",No,,,,,Registration,,1999-07-06 21:00:00.000,1999-07-06
5,https://lda.senate.gov/filings/public/filing/cca698bf-a004-412e-b4dc-4ea9cb00b2f9/print/,cca698bf-a004-412e-b4dc-4ea9cb00b2f9,1999,d11216b0e9d53cc92f77d150d3e788e532c5b8557727e09aa9,Amgen Inc,AMGN,Yes,No,No,,,31747,Policy Directions Inc.,"40454, 42559","Frankie L Trull, Kathleen Kay Holcombe",2.0,"[{'lobbyist_id': '40454', 'lobbyist_name': 'Frankie L Trull', 'previous_positions': 'Trull'}, {'l...",,,,,"HCR, MED, MMM, SCI","Health Issues, Medicare/Medicaid, Medical/Disease Research/Clinical Labs, Science/Technology",4.0,,,"[{'agency_ids': '', 'lobbyist_ids': '40454, 42559', 'specific_issue': '', 'general_issue_code': '...",No,,,,,Registration - Amendment,,1999-07-18 21:00:00.000,1999-07-18
6,https://lda.senate.gov/filings/public/filing/221f0aa0-a4f5-4f4b-b860-647701adb13b/print/,221f0aa0-a4f5-4f4b-b860-647701adb13b,1999,d11216b0e9d53cc92f77d150d3e788e532c5b8557727e09aa9,Amgen,AMGN,Yes,No,No,,,38632,"Tucker, Robert L.",,,,,,,,,,,,,,,No,,,,,Mid-Year Report (No Activity),,1999-07-28 21:00:00.000,1999-07-28
7,https://lda.senate.gov/filings/public/filing/81136f3c-712e-48b9-b24d-4f0cd97aef2e/print/,81136f3c-712e-48b9-b24d-4f0cd97aef2e,1999,d11216b0e9d53cc92f77d150d3e788e532c5b8557727e09aa9,Amgen,AMGN,Yes,No,No,,,17671,"Harte, William J.",,,,,,,,,,,,,,,No,,,,,Mid-Year Report (No Activity),,1999-07-28 21:00:00.000,1999-07-28
8,https://lda.senate.gov/filings/public/filing/e9f83d85-d290-44f7-bbdd-303d6ca4f75e/print/,e9f83d85-d290-44f7-bbdd-303d6ca4f75e,1999,d11216b0e9d53cc92f77d150d3e788e532c5b8557727e09aa9,Amgen Inc.,AMGN,Yes,No,No,,,5357,Bgr Government Affairs,"1202, 136087, 26545, 3503, 35874","Go Griffith, Edward Rogers, Loren Monroe, Haley Reeves Barbour, Ed Gillespie",5.0,"[{'lobbyist_id': '1202', 'lobbyist_name': 'Go Griffith', 'previous_positions': 'Sp. Asst. To Pres...",,,"Senate, House of Representatives",2.0,HCR,Health Issues,1.0,,,"[{'agency_ids': '1, 2', 'lobbyist_ids': '1202, 136087, 26545, 3503, 35874', 'specific_issue': '',...",No,,,,60000.0,Mid-Year Report,,1999-08-08 21:00:00.000,1999-08-08
9,https://lda.senate.gov/filings/public/filing/684a8ddb-6334-489d-9a0c-35b18de27abd/print/,684a8ddb-6334-489d-9a0c-35b18de27abd,1999,d11216b0e9d53cc92f77d150d3e788e532c5b8557727e09aa9,Amgen Inc,AMGN,Yes,No,No,,,31747,Policy Directions Inc.,"40454, 42559","Frankie L Trull, Kathleen Kay Holcombe",2.0,"[{'lobbyist_id': '40454', 'lobbyist_name': 'Frankie L Trull', 'previous_positions': 'Trull'}, {'l...",,,"House of Representatives, Senate",2.0,MMM,Medicare/Medicaid,1.0,,,"[{'agency_ids': '1, 2', 'lobbyist_ids': '40454, 42559', 'specific_issue': '', 'general_issue_code...",No,,,,20000.0,Mid-Year Report,,1999-08-08 21:00:00.000,1999-08-08
10,https://lda.senate.gov/filings/public/filing/15832303-02d3-41db-b306-d01d6ee02274/print/,15832303-02d3-41db-b306-d01d6ee02274,1999,d11216b0e9d53cc92f77d150d3e788e532c5b8557727e09aa9,Amgen,AMGN,Yes,No,No,,,39974,Verner Liipfert Bernhard Mcpherson & Hand,"10782, 11992, 1681, 18397, 21339, 21403, 21708, 22659, 24310, 28756, 33765, 462","Gary J Klein, John A Merrigan, Marla P Grossman, Harry C Mcpherson, Nell Payne, Vickie Hart, Lisa...",12.0,"[{'lobbyist_id': '10782', 'lobbyist_name': 'Gary J Klein', 'previous_positions': ''}, {'lobbyist_...",,,"House of Representatives, Executive Office of the President (EOP), Senate",3.0,HCR,Health Issues,1.0,,,"[{'agency_ids': '1, 11, 2', 'lobbyist_ids': '10782, 11992, 1681, 18397, 21339, 21403, 21708, 2265...",No,,,,80000.0,Mid-Year Report,,1999-08-10 21:00:00.000,1999-08-10
