#,GUID,Store Title,Brand,Lat,Lng,H3_8,Street,City,Region
1,F1FECE43-C189-2F61-980F-FB656C912774,ALDI Aachen,ALDI,50.7797,6.12028,881fabab19fffff,Elsassstraße 139,Aachen,Nordrhein-Westfalen
2,9D1300B0-269B-48DF-B330-F57354377501,ALDI Aachen,ALDI,50.7130,6.13912,881f13b765fffff,Werkstraße 21,Aachen,Nordrhein-Westfalen
3,E8454BAF-66B9-F97F-A052-489883521668,ALDI Ahaus,ALDI,52.1270,6.91043,881fa112e5fffff,Haaksbergener street 24,Ahaus,Nordrhein-Westfalen
4,EF3EF61C-8AE4-8EBE-47ED-8D391A511835,ALDI Amberg,ALDI,49.4446,11.8365,881fa53b55fffff,Rammertshofer Weg 2,Amberg,Bayern
5,CAFB1188-8554-89FC-1E3E-466E5E833C27,ALDI Annaberg-Buchholz,ALDI,50.5647,13.0110,881f06ce2dfffff,Oberwiesenthaler Weg 6,Annaberg-Buchholz,Sachsen
6,D7AF44D3-A977-DB5A-C9D0-10E527A27BBD,ALDI Ansbach,ALDI,49.2966,10.5785,881f18872bfffff,Feuerbachstraße 24,Ansbach,Bayern
7,EFED4177-4118-79BF-DDE6-1AB2BEB4A36D,ALDI Arnsberg,ALDI,51.4606,7.95121,881f15d145fffff,Im Ohl 16 b,Arnsberg,Nordrhein-Westfalen
8,75378229-3A84-0C79-1646-4A9BCA782E28,ALDI Aschersleben,ALDI,51.7499,11.4585,881faa1a29fffff,Eislebener street 3,Aschersleben,Sachsen-Anhalt
9,BDBDB430-5DA1-E813-809F-E800C35BFCFC,ALDI Auerbach/Vogtland,ALDI,50.5133,12.3973,881f1d489dfffff,Bahnhofstraße 15 a,Auerbach/Vogtland,Sachsen
10,A226293C-CE5E-34D0-F8AE-8DD95BCC1319,ALDI Augsburg,ALDI,48.3556,10.9102,881f8c3491fffff,Hofrat-Röhrer-Straße 9,Augsburg,Bayern
11,F3E7FC50-0990-BF85-08E1-2C9ECC35ADA4,ALDI Aurich,ALDI,53.4585,7.49881,881f1255b1fffff,Raiffeisenstraße 17,Aurich,Niedersachsen
12,A65D04F0-AAE0-4561-AD5E-76094B286E13,ALDI Aurich,ALDI,53.4844,7.49204,881f1255b1fffff,Wiesenstraße 123,Aurich,Niedersachsen
13,8F72CFDF-3204-B93C-374B-9698AC9494FC,ALDI Bad Bodenteich,ALDI,52.8333,10.6754,881fae0669fffff,Bergstraße 7,Bad Bodenteich,Niedersachsen
14,C9799004-EEDE-1022-E4AF-187C2D764EA5,ALDI Bad Endorf,ALDI,47.9197,12.2928,881fa892b1fffff,Im Gewerbegebiet 18,Bad Endorf,Bayern
15,21A8FE6C-7B9B-B5D3-4BFB-0043BE5DEF17,ALDI Bad Lippspringe,ALDI,51.7881,8.82482,881faacd19fffff,Detmolder street 221-225,Bad Lippspringe,Nordrhein-Westfalen
16,8D1D40E5-6993-6C1F-9D2C-E73012B293EC,ALDI Bad Salzuflen,ALDI,52.0682,8.75284,881f0376d9fffff,Uferstraße 18,Bad Salzuflen,Nordrhein-Westfalen
17,FB919BED-996B-03E5-B598-D1D8C76563A4,ALDI Bad Sassendorf,ALDI,51.5797,8.16010,881e349239fffff,Schützenstraße 65,Bad Sassendorf,Nordrhein-Westfalen
18,767FBD60-D83E-E6B9-7900-0BE372C7FFE8,ALDI Bad Sooden-Allendorf,ALDI,51.2642,9.97325,881fa18d27fffff,Werrastraße 6,Bad Sooden-Allendorf,Hessen
19,2D5F03C4-F703-45A3-5079-E2B68EF31A13,ALDI Barleben,ALDI,52.2029,11.6195,881fab0a19fffff,Breiteweg 51,Barleben,Sachsen-Anhalt
20,B3B5D4AC-CD42-0D51-66C5-94E7A216D50D,ALDI Barntrup,ALDI,51.9952,9.11928,881f1a8d93fffff,Alverdisser street 7,Barntrup,Nordrhein-Westfalen
