#,Station ID,Date,Hour,1 Hour Precipitation,6 hour Precipitation,24 hour Precipitation
1,KABY,01/01/2013,0,0,999999,999999
2,KABY,01/01/2013,1,0,0,999999
3,KABY,01/01/2013,2,0,999999,999999
4,KABY,01/01/2013,3,0,999999,999999
5,KABY,01/01/2013,4,0,999999,999999
6,KABY,01/01/2013,5,0,999999,999999
7,KABY,01/01/2013,6,0,999999,999999
8,KABY,01/01/2013,7,0,0,0
9,KABY,01/01/2013,8,0,999999,999999
10,KABY,01/01/2013,9,0,999999,999999
11,KABY,01/01/2013,10,0,999999,999999
12,KABY,01/01/2013,11,0,999999,999999
13,KABY,01/01/2013,12,0,999999,999999
14,KABY,01/01/2013,13,0,0,999999
15,KABY,01/01/2013,14,0,999999,999999
16,KABY,01/01/2013,15,0,999999,999999
17,KABY,01/01/2013,16,0,999999,999999
18,KABY,01/01/2013,17,0,999999,999999
19,KABY,01/01/2013,18,0,999999,999999
20,KABY,01/01/2013,19,0,0,999999
21,KABY,01/01/2013,20,0,999999,999999
22,KABY,01/01/2013,21,0,999999,999999
23,KABY,01/01/2013,22,0,999999,999999
24,KABY,01/01/2013,23,0,999999,999999
25,KABY,01/02/2013,0,88.88,999999,999999
26,KABY,01/02/2013,1,0,88.88,999999
27,KABY,01/02/2013,2,0,999999,999999
28,KABY,01/02/2013,3,0,999999,999999
29,KABY,01/02/2013,4,0.04,999999,999999
30,KABY,01/02/2013,5,88.88,999999,999999
31,KABY,01/02/2013,6,88.88,999999,999999
32,KABY,01/02/2013,7,88.88,0.04,0.04
33,KABY,01/02/2013,8,88.88,999999,999999
34,KABY,01/02/2013,9,88.88,999999,999999
35,KABY,01/02/2013,10,88.88,999999,999999
36,KABY,01/02/2013,11,88.88,999999,999999
37,KABY,01/02/2013,12,0,999999,999999
38,KABY,01/02/2013,13,0,88.88,999999
39,KABY,01/02/2013,14,0,999999,999999
40,KABY,01/02/2013,15,0,999999,999999
41,KABY,01/02/2013,16,0,999999,999999
42,KABY,01/02/2013,17,0,999999,999999
43,KABY,01/02/2013,18,0,999999,999999
44,KABY,01/02/2013,19,0,0,999999
45,KABY,01/02/2013,20,0,999999,999999
46,KABY,01/02/2013,21,0,999999,999999
47,KABY,01/02/2013,22,0,999999,999999
48,KABY,01/02/2013,23,0,999999,999999
49,KABY,01/03/2013,0,0,999999,999999
50,KABY,01/03/2013,1,0,0,999999
