#,Website Domain,Sales Trigger Event,Website 1,Company Name 1,Signal Category,Website 2,Company Name 2,Found at Date,Effective Date,Most Relevant Source URL,Sentence,Trigger Event Data
1,claremont.co.uk,Claremont received award three awards at the UKOUG Partner of the Year Awards on Jan 1st 18'.,claremont.co.uk,Claremont,receives_award,,,2018-08-08T20:00:00Z,2018-01-01,https://www.claremont.co.uk/ethnicity-pay-gap/,"Following last year’s success, Claremont is thrilled to have won three awards at the UKOUG Partne...","{""award"":""three awards at the UKOUG Partner of the Year Awards"",""location"":""London"",""location_dat..."
2,claremont.co.uk,Claremont is developing Gender Pay calculations,claremont.co.uk,Claremont,is_developing,,,2018-04-29T22:00:00Z,,https://www.claremont.co.uk/reduce-costs-simplify-gender-pay-reporting-oracle/,"At Claremont, Claremont has developed a robust, flexible and legislatively compliant solution to ...","{""product"":""Gender Pay calculations"",""product_data"":{""full_text"":""Gender Pay calculations"",""fuzzy..."
3,claremont.co.uk,Claremont receives award 3 awards at the UKOUG Partner of the Year Awards,claremont.co.uk,Claremont,receives_award,,,2019-10-10T09:01:49Z,,https://www.claremont.co.uk/payroll-changes-to-earlier-year-updates/,Claremont is thrilled to have won 3 awards at the UKOUG Partner of the Year Awards.,"{""award"":""3 awards at the UKOUG Partner of the Year Awards"",""article_title"":""HMRC stops payroll c..."
4,claremont.co.uk,Claremont recognized as Best of the Best,claremont.co.uk,Claremont,recognized_as,,,2019-03-19T09:29:58Z,,https://www.claremont.co.uk/claremont-lead-the-way-for-oracle-ebs/,Claremont has been recognised as the “Best of the Best” for top-performing professional services ...,"{""recognition"":""Best of the Best"",""article_title"":""Claremont lead the way for Oracle E-Business c..."
5,claremont.co.uk,Claremont partners with Kaizen,claremont.co.uk,Claremont,partners_with,kaizen.co.uk,Kaizen,2020-08-14T22:10:00Z,,https://www.thetimes.co.uk/article/grenfell-families-furious-at-276-000-pr-contract-t07lk3mnz,"Claremont, a PR company, will work with Kaizen, a “community engagement consultancy”, on a “liste...","{""article_title"":""Grenfell families furious at £276,000 PR contract | News | The Times"",""article_..."
6,gocardless.com,GoCardless Ltd. receives financing of $9.98M,gocardless.com,GoCardless Ltd.,receives_financing,,,2017-03-22T03:09:41Z,,https://www.property118.com/property-tech-company-raises-8-million-venture-capital/96332/,It has been reported that the founder of GoCardless (the direct debit service used by many landlo...,"{""job_title"":""founder"",""amount"":9984000,""article_title"":""Property Tech Company Raises A Further £..."
7,gocardless.com,GoCardless Ltd. hires Jim Anning as Head of Data and Analytics,gocardless.com,GoCardless Ltd.,hires,,,2017-10-23T09:53:44Z,,http://renaissance-leadership.com/renaissance-announces-two-senior-data-director-appointments-zoo...,Jim Anning joins GoCardless from British Gas Connected Homes where he held the title of Head of D...,"{""contact"":""Jim Anning"",""job_title"":""Head of Data and Analytics"",""article_title"":""Renaissance ann..."
8,gocardless.com,GoCardless Ltd. launched GoCardless Pro on Jan 1st 14'.,gocardless.com,GoCardless Ltd.,launches,,,2017-10-31T23:00:00Z,2014-01-01,https://gocardless.com/blog/changes-to-emails-pro-merchants/,GoCardless Ltd. launched GoCardless Pro back in 2014 to give merchants more control over their cu...,"{""product"":""GoCardless Pro"",""product_data"":{""full_text"":""GoCardless Pro"",""fuzzy_match"":true},""dat..."
9,gocardless.com,GoCardless Ltd. partners with Guardian News and Media Limited,gocardless.com,GoCardless Ltd.,partners_with,theguardian.com,Guardian News and Media Limited,2014-10-28T23:00:00Z,,https://gocardless.com/blog/GoCardless-Pro/,"GoCardless Ltd. is already working with The Guardian and many other multinational organisations, ...","{""article_title"":""Introducing GoCardless Pro"",""article_sentence"":""GoCardless Ltd. is already work..."
10,gocardless.com,GoCardless Ltd. recognized as finalist in the Cloud App category,gocardless.com,GoCardless Ltd.,recognized_as,,,2017-10-19T22:00:00Z,,https://www.chaserhq.com/blog/chaser-is-the-accountingweb-cloud-app-of-the-year/,"A culmination of thousands of user surveys placed Chaser as a finalist in the Cloud App category,...","{""recognition"":""finalist in the Cloud App category"",""article_title"":""Chaser is the AccountingWEB ..."
