#,Restaurant name,City,Average rating,Number of reviews,Website,Phone
1,Curry Up Now,Palo Alto,4.7,2000,http://www.curryupnow.com/,[redacted]
2,Cafe 220,Palo Alto,4.8,453,https://cafe220togo.com/,[redacted]
3,Rangoon Ruby,Palo Alto,4.7,1966,https://rangoonruby.com/palo-alto/,[redacted]
4,Crepevine,Palo Alto,4.8,2000,https://crepevine.com/,[redacted]
5,Anatolian Kitchen,Palo Alto,4.8,656,,[redacted]
6,Sprout Cafe,Palo Alto,4.8,2000,http://cafesprout.com/,[redacted]
7,Darbar,Palo Alto,4.8,2000,http://darbarpaloalto.com/,[redacted]
8,Asian Box,Palo Alto,4.7,2000,http://asianbox.com/,[redacted]
9,Gyros Gyros,Palo Alto,4.8,2000,http://www.gyrosgyros.com/,[redacted]
10,Mediterranean Wraps,Palo Alto,4.8,1589,http://www.mediterraneanwraps.com/,[redacted]
11,Oren's Hummus,Palo Alto,4.7,2000,http://orenshummus.com/,[redacted]
12,Bistro Maxine,Palo Alto,4.7,132,https://www.bistromaxine.com/,[redacted]
13,Pluto's,Palo Alto,4.8,2000,http://www.plutosfreshfood.com/,[redacted]
14,Taqueria la Bamba,Mountain View,4.7,681,http://www.tlbmv.com/,[redacted]
15,Siam Royal,Palo Alto,4.7,1467,http://www.siamroyalthai.com/,[redacted]
16,Ristorante Don Giovanni,Mountain View,4.7,465,http://www.dongiovannis.com/,[redacted]
17,Amarin Thai Cuisine,Mountain View,4.8,926,http://amarinthaicuisine.com/,[redacted]
18,Kirin Chinese Restaurant,Mountain View,4.7,1297,https://kirinmountainview.com/,[redacted]
19,QBB,Mountain View,4.7,787,http://eatqbb.com/,[redacted]
20,Vaso Azzurro,Mountain View,4.8,245,http://www.vasoazzurro.com/,[redacted]
