#,name,address,type,zipCode,stories,yearBuilt,avgRentalPrice,avgRentalPricePerSqrtFt,amenities,neighborhood,googleMapsUrl,updateDate
1,Cunard Building,[redacted],Commercial Building,10004,23,1921,3090,20,,Financial District,https://www.google.com/maps/place/13-39+GREENWICH+STREET%2C+New+York%2C+NY+10004,2022-11-13T14:19:28.479Z
2,22 Beaver Street,[redacted],Commercial Building,10004,4,1920,3308,46,,Financial District,https://www.google.com/maps/place/22+BEAVER+STREET%2C+New+York%2C+NY+10004,2022-11-13T14:19:29.540Z
3,32 Water Street,[redacted],Condo,10004,4,1920,6335,35,,Financial District,https://www.google.com/maps/place/32+WATER+STREET%2C+New+York%2C+NY+10004,2022-11-13T14:19:34.851Z
4,20 Beaver Street,[redacted],Mixed-Use Building,10004,4,1900,3933,41,,Financial District,https://www.google.com/maps/place/20+BEAVER+STREET%2C+New+York%2C+NY+10004,2022-11-13T14:19:38.807Z
5,21 West Street,[redacted],Rental Unit,10006,31,1931,3471,55,"Doorman, Elevator, Pets Allowed, Bike Room, Children's Playroom, Concierge, Gym, Laundry in Build...",Financial District,https://www.google.com/maps/place/21+WEST+STREET%2C+New+York%2C+NY+10006,2022-11-13T14:19:43.998Z
6,Ocean,[redacted],Rental Unit,10004,31,1902,3161,57,"Elevator, Full-time Doorman, Pets Allowed, Concierge, Gym, Laundry in Building, Live-in Super, Pa...",Financial District,https://www.google.com/maps/place/1+WEST+STREET%2C+New+York%2C+NY+10004,2022-11-13T14:19:49.437Z
7,30 Water Street,[redacted],Commercial Building,10004,4,1900,1995,0,,Financial District,https://www.google.com/maps/place/30+WATER+STREET%2C+New+York%2C+NY+10004,2022-11-13T14:19:54.409Z
8,River Watch,[redacted],Rental Building,10280,9,1998,3725,58,"Doorman, Elevator, Pets Allowed, Bike Room, Concierge, Gym, Laundry in Building, Parking Available",Battery Park City,https://www.google.com/maps/place/70+BATTERY+PLACE%2C+New+York%2C+NY+10280,2022-11-13T14:19:59.573Z
9,1 Rector Park,[redacted],Condo,10280,15,1985,4676,61,"Cats and Dogs Allowed, Elevator, Full-time Doorman, Children's Playroom, Community Recreation Fac...",Battery Park City,https://www.google.com/maps/place/333+RECTOR+PLACE%2C+New+York%2C+NY+10280,2022-11-13T14:20:01.797Z
10,The Verdesian,[redacted],Rental Building,10282,24,2005,5441,67,"Doorman, Elevator, Pets Allowed, Private Outdoor Space, Bike Room, Children's Playroom, Community...",Battery Park City,https://www.google.com/maps/place/211+NORTH+END+AVENUE%2C+New+York%2C+NY+10282,2022-11-13T14:20:02.889Z
11,1 Water Street,[redacted],Commercial Building,10004,1,1982,6948,65,,Financial District,https://www.google.com/maps/place/1+WATER+STREET%2C+New+York%2C+NY+10004,2022-11-13T14:20:13.572Z
12,66 Pearl Street,[redacted],Condo,10004,6,1880,3472,59,"Laundry in Building, Live-in Super",Financial District,https://www.google.com/maps/place/66+PEARL+STREET%2C+New+York%2C+NY+10004,2022-11-13T14:20:14.536Z
13,225 Rector Place,[redacted],Condo,10280,23,1985,3994,63,"Cats and Dogs Allowed, Elevator, Full-time Doorman, Bike Room, Children's Playroom, Concierge, Gy...",Battery Park City,https://www.google.com/maps/place/225+RECTOR+PLACE%2C+New+York%2C+NY+10280,2022-11-13T14:20:20.865Z
14,Hudson Tower,[redacted],Condo,10280,15,1986,4074,54,"Elevator, Full-time Doorman, Bike Room, Gym, Laundry in Building, Live-in Super",Battery Park City,https://www.google.com/maps/place/350+ALBANY+STREET%2C+New+York%2C+NY+10280,2022-11-13T14:20:28.268Z
15,Liberty House,[redacted],Condo,10280,27,1985,3882,63,"Cats and Dogs Allowed, Elevator, Full-time Doorman, Bike Room, Concierge, Laundry in Building, Li...",Battery Park City,https://www.google.com/maps/place/377+RECTOR+PLACE%2C+New+York%2C+NY+10280,2022-11-13T14:20:28.490Z
16,60 Pearl Street,[redacted],Mixed-Use Building,10004,5,1900,4147,41,,Financial District,https://www.google.com/maps/place/60+PEARL+STREET%2C+New+York%2C+NY+10004,2022-11-13T14:20:30.925Z
17,Hudson View West,[redacted],Condo,10280,9,1986,3240,63,"Cats and Dogs Allowed, Elevator, Full-time Doorman, Gym, Laundry in Building, Parking Available",Battery Park City,https://www.google.com/maps/place/300+ALBANY+STREET%2C+New+York%2C+NY+10280,2022-11-13T14:20:30.977Z
18,Hudson View East,[redacted],Condo,10280,17,1985,3482,56,"Cats and Dogs Allowed, Elevator, Full-time Doorman, Bike Room, Laundry in Building, Live-in Super",Battery Park City,https://www.google.com/maps/place/250+SOUTH+END+AVENUE%2C+New+York%2C+NY+10280,2022-11-13T14:20:34.690Z
19,The Ritz-Carlton,[redacted],Condo,10004,38,2003,11054,73,"Cats and Dogs Allowed, Elevator, Full-time Doorman, Bike Room, Concierge, Live-in Super, Parking ...",Battery Park City,https://www.google.com/maps/place/10+LITTLE+WEST+STREET%2C+New+York%2C+NY+10004,2022-11-13T14:20:53.764Z
20,The Soundings,[redacted],Condo,10280,9,1985,3410,57,"Cats and Dogs Allowed, Elevator, Full-time Doorman, Bike Room, Children's Playroom, Gym, Laundry ...",Battery Park City,https://www.google.com/maps/place/280+RECTOR+PLACE%2C+New+York%2C+NY+10280,2022-11-13T14:20:53.843Z
