#,CompanyName,TradeName,Address1,Address2,PostCode,City,Province,Region,Country,Language,Phone,Fax,Mobile,Email,Website,NationalID,NationalIdentificationTypeCodeDescription,NationalIDIsVat,InternationalCode01,InternationalLabel01,PrimaryLocalActivityCode,LocalActivityTypeCode,MarketabilityIndicator,YearStarted,NumberOfFamilyMembers,CEOName,CEOTitle,CEOFirstName,CEOLastName,CEOGender,CEOLanguage,EmployeesHereReliabilityCodeDescription,EmployeesTotalReliabilityCodeDescription,EmployeesHere,EmployeesTotal,ImportExportAgentCodeDescription,LegalStatusCodeDescription,StatusCodeDescription,SalesVolume,SalesVolumeDollars,SalesVolumeEuros,CurrencyCode,SalesVolumeReliabilityCodeDescription,Longitude,Latitude,GeoLevel,UniqueID
1,Jednota spotrební druzstvo v Uherském Ostrohu,,[redacted],[redacted],68724,Uherský Ostroh,Zlínský,,CzechRepublic,CZE,[redacted],[redacted],[redacted],[redacted],http://www.jednotaostroh.cz,00032310,Czech Republic Ico Number,False,5411,Grocery stores,471100,,M,1978,0,[redacted],Chairman of the Board,[redacted],[redacted],[redacted],Czech,Actual,Actual,557,557,None or Not Available,Cooperative,SingleLocation,1104238000,48732231,47741688,CZK,Actual,17.4021887,48.9779588,4,0755259433
2,Ministerstvo kultury,MK CR,[redacted],[redacted],11800,Prag,Středočeský,,CzechRepublic,CZE,[redacted],[redacted],[redacted],[redacted],http://www.mkcr.cz,00023671,Czech Republic Ico Number,False,9199,"General government, nec",841100,,M,1981,4074,[redacted],Deputy Director,[redacted],[redacted],[redacted],Czech,Actual,Modeled,278,860,None or Not Available,Local government body,HQ,417353000,24081268,23591786,CZK,Estimated,14.405834500000001,50.0854421,4,0607066038
3,"Euro - Jordán, s.r.o.",,[redacted],[redacted],69145,Podivín,Jihomoravský,,CzechRepublic,CZE,[redacted],[redacted],[redacted],[redacted],http://www.eurojordan.com,25585568,Czech Republic Ico Number,False,3499,"Fabricated metal products, nec",259900,,,1999,0,[redacted],,[redacted],[redacted],[redacted],,Actual,Actual,550,550,None or Not Available,Corporation,SingleLocation,798972000,46100684,45163631,CZK,Actual,16.8530263,48.8263089,4,0606397782
4,"Smartwings, a.s.",,[redacted],[redacted],16100,Prag,Středočeský,,CzechRepublic,CZE,[redacted],[redacted],[redacted],[redacted],https://www.smartwings.com/,25663135,Czech Republic Ico Number,False,4522,"Air transportation, nonscheduled",511040,,M,1998,16,[redacted],General Manager,[redacted],[redacted],[redacted],Czech,Actual,Modeled,236,1648,None or Not Available,Corporation,HQ,4415824000,198301408,194270689,CZK,Actual,14.277659900000002,50.1082629,4,0606277369
5,PEKOSA Chodov s.r.o.,,[redacted],[redacted],35735,Chodov,Karlovarský,,CzechRepublic,CZE,[redacted],[redacted],[redacted],[redacted],,64360563,Czech Republic Ico Number,False,2051,"Bread, cake, and related products",107100,,,1996,0,[redacted],Board Member,[redacted],[redacted],[redacted],Czech,Actual,Actual,540,540,None or Not Available,Corporation,SingleLocation,435732000,17320783,16968716,CZK,Actual,12.7440002,50.2425001,4,0606909513
6,VÍTKOVICE POWER ENGINEERING a.s.,,[redacted],[redacted],70600,Ostrava,Moravskoslezský,,CzechRepublic,CZE,[redacted],[redacted],[redacted],[redacted],,26823357,Czech Republic Ico Number,False,3443,Fabricated plate work (boiler shop),,,,2004,25,[redacted],Vice Chairman Of The Board,[redacted],[redacted],[redacted],Czech,Estimated,Actual,0,865,Exports,Corporation,HQ,3522185000,140010376,137164493,CZK,Actual,18.271085600000003,49.816515800000005,4,0922781454
7,"Opavia - LU, s.r.o.",,[redacted],[redacted],18600,Prag,Středočeský,,CzechRepublic,CZE,[redacted],[redacted],[redacted],[redacted],,25702050,Czech Republic Ico Number,False,2052,Cookies and crackers,107200,,M,1999,682,[redacted],Board Member,[redacted],[redacted],[redacted],Czech,Actual,Modeled,49,845,Exports,Corporation,HQ,157437000,6948010,6806783,CZK,Actual,14.4462481,50.094593800000006,4,0606269978
8,"JEDNOTA, spotrební druzstvo Ceské Budejovice",,[redacted],[redacted],37004,Budweis,Jihočeský,,CzechRepublic,CZE,[redacted],[redacted],[redacted],[redacted],,00031852,Czech Republic Ico Number,False,5421,Meat and fish markets,472200,,M,1991,0,[redacted],General Manager,[redacted],[redacted],[redacted],Czech,Actual,Actual,812,812,None or Not Available,Cooperative,SingleLocation,2620507000,115648215,113297523,CZK,Actual,14.470080800000002,48.983918100000004,4,0755770960
9,"UNIS, a.s.",,[redacted],[redacted],62400,Brno,Jihomoravský,,CzechRepublic,CZE,[redacted],[redacted],[redacted],[redacted],http://www.unis.cz,00532304,Czech Republic Ico Number,False,1796,Installing building equipment,332000,,M,1991,15,[redacted],General Manager,[redacted],[redacted],[redacted],Czech,Actual,Modeled,240,500,None or Not Available,Corporation,HQ,542852000,23957144,23470185,CZK,Actual,16.5579726,49.2152892,4,0754758765
10,"SAFINA, a.s.",,[redacted],[redacted],25250,Vestec,Hlavní město Praha,,CzechRepublic,CZE,[redacted],[redacted],[redacted],[redacted],,03214257,Czech Republic Ico Number,False,3339,"Primary nonferrous metals, nec",244100,,M,2014,12,[redacted],General Manager,[redacted],[redacted],[redacted],Czech,Actual,Modeled,200,520,None or Not Available,Corporation,HQ,2208520000,97466405,95485281,CZK,Actual,14.493697500000001,49.985306300000005,4,0472709042
11,"SODAT, s.r.o.",,[redacted],[redacted],60200,Brno,Jihomoravský,,CzechRepublic,CZE,[redacted],[redacted],[redacted],[redacted],,49455516,Czech Republic Ico Number,False,7361,Employment agencies,781000,,M,1993,0,[redacted],Board Member,[redacted],[redacted],[redacted],Czech,Estimated,Estimated,1250,1250,None or Not Available,Corporation,SingleLocation,21465000,961439,941896,CZK,Actual,16.6015666,49.201476500000005,4,0607531831
12,Mesto Ústí nad Orlicí,,[redacted],[redacted],56201,Ústí nad Orlicí,Pardubický,,CzechRepublic,CZE,[redacted],[redacted],[redacted],[redacted],http://www.ustinadorlici.cz,00279676,Czech Republic Ico Number,False,9199,"General government, nec",841100,,M,1973,52,[redacted],Mayor,[redacted],[redacted],[redacted],Czech,Estimated,Modeled,136,860,None or Not Available,Local government body,HQ,17180690,991326,971176,CZK,Actual,16.3934997,49.973957500000004,4,0607813394
13,MESTO CERNOSICE,,[redacted],[redacted],25228,Černošice,Hlavní město Praha,,CzechRepublic,CZE,[redacted],[redacted],[redacted],[redacted],http://www.mestocernosice.cz/,00241121,Czech Republic Ico Number,False,9199,"General government, nec",841100,,M,1991,8,[redacted],Mayor,[redacted],[redacted],[redacted],Czech,Estimated,Modeled,265,860,None or Not Available,Local government body,HQ,316920,18286,17914,CZK,Actual,14.3169551,49.9578744,2,0607810405
14,"Zentiva, k.s.",,[redacted],[redacted],10200,Prag,Středočeský,,CzechRepublic,CZE,[redacted],[redacted],[redacted],[redacted],http://www.zentiva.cz,49240030,Czech Republic Ico Number,False,2834,Pharmaceutical preparations,212000,,M,1993,0,[redacted],Spokesperson,[redacted],[redacted],[redacted],Czech,Actual,Actual,1010,1010,Exports,Partnership of unknown type,SingleLocation,17302963000,763614363,748092967,CZK,Actual,14.5448275,50.0605216,4,0478042454
