dimension,size,volume,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,category_Automotive Data,category_Environmental Data,category_Financial Services Data,category_Gaming Data,category_Healthcare and Life Sciences Data,category_Manufacturing Data,category_Media and Entertainment Data,category_Other,category_Public Sector Data,category_Resources Data,"category_Retail, Location and Marketing Data",category_Telecommunications Data,update_frequency_daily,update_frequency_hourly,update_frequency_irregular,update_frequency_minutely,update_frequency_monthly,update_frequency_no-update,update_frequency_on-demand,update_frequency_quarterly,update_frequency_real-time,update_frequency_secondly,update_frequency_weekly,update_frequency_yearly,price_mode_one-off,price_mode_subscription,price_mode_usage-based,price_log,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antarctica,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,"Bolivia, Plurinational State of","Bonaire, Sint Eustatius and Saba",Bosnia and Herzegovina,Botswana,Bouvet Island,Brazil,British Indian Ocean Territory,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Islands,Central African Republic,Chad,Chile,China,Christmas Island,Cocos (Keeling) Islands,Colombia,Comoros,Congo,"Congo, The Democratic Republic of the",Cook Islands,Costa Rica,Croatia,Cuba,Curaçao,Cyprus,Czechia,Côte d'Ivoire,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Falkland Islands (Malvinas),Faroe Islands,Fiji,Finland,France,French Guiana,French Polynesia,French Southern Territories,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guernsey,Guinea,Guinea-Bissau,Guyana,Haiti,Heard Island and McDonald Islands,Holy See (Vatican City State),Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,"Iran, Islamic Republic of",Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jersey,Jordan,Kazakhstan,Kenya,Kiribati,"Korea, Democratic People's Republic of","Korea, Republic of",Kuwait,Kyrgyzstan,Lao People's Democratic Republic,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Macao,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,"Micronesia, Federated States of","Moldova, Republic of",Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,Norfolk Island,North Macedonia,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,"Palestine, State of",Panama,Papua New Guinea,Paraguay,Peru,Philippines,Pitcairn,Poland,Portugal,Puerto Rico,Qatar,Romania,Russian Federation,Rwanda,Réunion,Saint Barthélemy,"Saint Helena, Ascension and Tristan da Cunha",Saint Kitts and Nevis,Saint Lucia,Saint Martin (French part),Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Georgia and the South Sandwich Islands,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Svalbard and Jan Mayen,Sweden,Switzerland,Syrian Arab Republic,"Taiwan, Province of China",Tajikistan,"Tanzania, United Republic of",Thailand,Timor-Leste,Togo,Tokelau,Tonga,Trinidad and Tobago,Tunisia,Turkmenistan,Turks and Caicos Islands,Tuvalu,Türkiye,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,United States Minor Outlying Islands,Uruguay,Uzbekistan,Vanuatu,"Venezuela, Bolivarian Republic of",Viet Nam,"Virgin Islands, British","Virgin Islands, U.S.",Wallis and Futuna,Western Sahara,Yemen,Zambia,Zimbabwe,Åland Islands
0.0,0.0,0.0,0.8924273996735902,2.5122538711691265,-0.039005507094941355,-3.7105822993864903,3.307854517363113,-1.1250136108958555,0.14055556749372908,-0.4670444074593662,-0.02855216478926377,-0.12876907136555404,-0.05768812643193826,0.14613469386540634,0.015866733661084566,-0.16606256075941186,0.11828119043931204,-0.04936510430590924,-0.009982935692151352,0.13301095130177756,-0.06774946202927044,0.024056710432463345,-0.03288151495181201,0.02759543129744185,0.04735607189087756,-0.15917502693683774,-0.022554941959772156,0.007252632786109818,-0.07090575174792947,0.00510850198101361,0.07230843628580105,-0.11600610815362522,0.032216702618887844,0.024269408301449098,-0.043540432904920365,-0.1019881187179291,-0.04790264200358712,0.003333099827464739,-0.03816695731059654,-0.12337435091999566,0.096593515067133,0.01624552918430605,-0.01850263075517475,0.01966031213446732,0.01177652951268354,-0.13551267421819288,0.02203533316815592,-0.04227087503344087,0.02008039760384167,0.01635590199475158,-0.07113000390264004,-0.06458940913759487,-0.029856649359204204,-0.04734523637454221,-0.04800314391420111,0.034292505254048644,0.04888509106131649,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.13976194237515863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0.0,1.17418498435455,2.5830610943200147,-0.18714514819580458,-3.682211781971088,3.029666998660028,-1.433458283464717,0.26763000861055436,-0.48341290722669084,0.08095498070203072,0.13617775371177535,-0.07053091126688822,0.10634519063645179,0.06451055761878562,-0.3080981487430944,0.22465626668753516,-0.11790636762297475,0.06300560334178713,0.18854220121242618,-0.03849568776296963,0.13474807909241976,-0.1653403969870731,-0.06748662124502236,-0.028535481361803384,-0.2097479842656842,0.013350174808352006,0.10420883466094977,-0.01913411912915979,0.11040723777127748,0.035496601650095896,-0.12899105204589462,0.09445149026849092,0.03872945433363514,-0.10565381156510834,-0.04550689523948152,-0.1651855543115156,-0.0001061409262074339,-0.17966921856029805,-0.2336020476518693,0.11165874722806864,0.16721477406730936,-0.0009361203690882208,0.013551914729014942,0.12419226835340146,-0.175107141003705,0.017133239908205793,-0.20860519223937068,0.004079784428915632,-0.06622603717221677,-0.0892520154312824,-0.004558289083453239,0.041814888362514006,0.07189467432367748,-0.014763576699245195,0.004180502066855949,0.06654253795229252,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.13976194237515863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0.0,0.3068252754276874,2.442173167140004,-0.5590840865599956,-3.422929952652373,3.139630526663744,-1.1716387053881963,0.7794633873818446,-0.32247966925479954,-0.33708134409912477,-0.39819678512065276,0.06908703854946194,0.04371240674447878,-0.27330986681402875,-0.22108015693734293,0.27255110192424004,-0.11451202085429586,-0.13789583588636045,0.10644854848388094,-0.05883053009674461,0.1780123541470057,-0.25654538596187976,-0.13207267866047798,-0.032960468956082276,0.029154805820580054,0.0325568428423192,-0.36464002452912814,0.32638632235376513,0.15846213311991567,-0.001205365663722237,-0.08074515788051818,0.0018509860468056793,0.10695069689046184,-0.2212800451687839,-0.22473296462903933,-0.026016647370065354,0.1714222944565457,-0.17639104464965205,-0.31262058185362473,0.21010107717302984,0.16244713938671418,-0.1362358209506687,0.15568238455951303,0.032473048470768484,-0.0004154550871661398,-0.2082876935522232,0.10324763775547317,0.2870156227362526,-0.15255337541055,-0.15306823249277057,0.1854003126604773,-0.08547005633565749,-0.01498590289275497,-0.018919032889864414,-0.09809414956353037,0.18256927165205514,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.13976194237515863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0.0,1.6582392841958309,2.701905236265697,-3.0538526762669416,-2.010960106036184,-1.7905549701237176,-1.8360945685000123,0.38955321225743517,-0.7500558523148171,-0.37720846261097,0.8944368833618,0.33149641909525995,-0.12543425375147638,0.22199893885086167,-0.3390110632835823,0.25333345284934766,-0.1181575935364302,0.039852968310523006,0.12586053588528034,-0.12503102775764333,0.35485174505388184,-0.25805842029122494,-0.2358652622470566,0.24593760088771172,-0.11998325602105389,-0.2281741195395899,-0.02947724057262473,0.1911198230587961,-0.2158383616873322,-0.12159881767194022,-0.3816197316428677,-0.2973969657030755,0.09964474115727642,-0.23816206177144028,0.18329988142835626,-0.007659108414716224,-0.008330327034324217,-0.27456122548764605,-0.07310664566481051,0.17229559589665383,0.1749579607143628,0.1437612186907338,0.1331235446653635,0.29069198709208294,-0.05600890523492963,0.11676549259424908,-0.15692487070238031,-0.050703914187837595,0.031242653932087108,0.08236663936206705,0.16312531077668524,-0.011474065069456833,0.08404052432945626,0.33020096166734114,0.12166808704535546,0.2273411019271461,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.13976194237515863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0.0,0.0019717491770323272,2.3464264825559047,0.1755426131823173,-3.7237074575003057,3.2115161026192482,-1.0983350066758766,0.32862868808984314,-0.5539747537009014,0.02287955775870077,0.0219753635685275,0.03482159132951419,-0.027552728859150725,-0.06506742583327046,0.11013339111799422,0.07887379818581242,-0.09686233882505049,-0.13050053859650215,0.057576945199732714,0.05634334867016921,0.1774976283123469,-0.060486780916288355,-0.13910856345730258,0.1230221715743939,-0.0708319597327068,-0.16540136052691284,-0.21025594790137297,-0.08962243358441278,-0.026532844782201886,0.04802102420451553,-0.1917215512189335,-0.03870904915305972,0.0933121129128414,-0.0488421683621973,0.03939821724409736,0.08525205836114651,-0.15239063992001087,0.04283905549665849,-0.21663678020549693,0.1582675335931495,-0.1062451793950448,0.010465543109619797,-0.03951242823910491,0.10585916814161606,-0.03760732470214091,-0.0018407276078783292,0.03073581806084391,-0.05637508824960979,-0.017377909153507537,-0.020066776578076203,-0.15229650308491516,0.13724663191348038,-0.07731552991274795,-0.15594672188423442,0.053085240326116105,0.032780911877586305,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.13976194237515863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0.0,3.4341616537759765,-0.8885128241925554,-1.9654957077831443,-0.42226124728569503,-1.9625339699634614,0.07490698406340594,1.6206636991389418,-0.40409983473507305,0.4184594893987486,-0.31324608745563803,0.9656979506528243,0.5061597667565852,0.700790638620467,-0.4035839860592783,0.102183630641168,0.20739833243958078,0.1780362811787788,-0.14772134244707483,-0.2639251340711066,0.8334139476332129,-0.38295222677048146,0.28552828131084335,-0.11234106195208603,-0.045358166168273414,-0.10280597362090341,-0.3633786523530063,-0.5229662805545039,-0.12963239915685057,0.010464566560111646,-0.41073314413184425,-0.30809503386209997,0.10790223132982935,-0.1851785879931672,0.32423525565146827,-0.23619441343670577,0.08416540170442645,0.1529135398943906,0.1795869180367636,0.1273240721507353,-0.3412705285245974,0.14102733380502175,0.14837573202183743,0.5512545122136402,0.29654950644961237,0.33607135933383364,-0.21539889556325023,0.11228472658983067,-0.0780113900979496,0.01817485913789925,0.23162487383544847,-0.27010626041675456,-0.24689068606102094,0.05580454703844992,-0.10695170773067482,-0.36963836934942373,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1.1249295969854831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0.0,1.7027058781689282,1.7906875933047839,-3.651387360813936,-0.5552618848456299,-2.7959736179864794,-0.9361841305319761,0.3182168007543403,-0.6340581059866531,0.6447774341645512,0.0058552128756083005,0.21886428206963196,0.2895302231651607,-0.007206325130740463,-0.39609753846339624,0.038260552791739344,0.11859206262377577,0.5487196132852686,0.08149934722877493,-0.08277632634395539,0.889464341804079,-0.6472458907958591,-0.045678899136837856,0.061597917481221315,0.0254788296364381,-0.27064035441704465,-0.03206391578914156,-0.5110459594907331,-0.1612208887954725,-0.005835051803272609,-0.1617286199364651,0.06794732661002177,0.08635626099557614,-0.12185122826785921,-0.06142255236774458,-0.03596901359633185,0.20989938662131494,0.01130679188634051,0.1144260455211918,-0.12915366703477196,-0.01738585422400594,0.14969800528302554,-0.06607095582279669,0.2644715875447074,-0.022968973622094324,0.31672828293641186,-0.023565942909330496,-0.01640846741035588,-0.08864610130210006,0.3376545582467282,0.13378506113834623,-0.20456695397185737,-0.08832656462389518,0.27815965938739173,0.17638282562488589,-0.15195504145572175,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.2311117209633866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0.0,1.1928919454830351,2.5544729918670877,-3.164352466878132,-1.012689752802155,-3.1600570672009267,-1.4190400321684469,-0.7147153274045566,-0.6327974393154482,-0.5491377239544547,0.09390104356346382,-0.06597914192831364,0.08171454255370757,-0.007157956610514324,-0.054535126727449416,-0.1244446164377906,-0.026554968754889923,0.3106972854260175,0.2223899024861221,0.04501035022090842,0.5794911713584514,-0.054931826539809915,0.2506241875727785,-0.034722079217690466,0.08452302572357104,-0.34239525780152197,0.29477773582076144,0.04645144617220458,-0.05313451516578363,-0.09365616736060986,-0.12844409568728446,0.13419935528964627,-0.2521056467321304,0.09911095541079738,0.03979710639988795,-0.08520258886549069,-0.07683256854589138,0.10732033070218337,-0.012193385357452546,0.21564597010641315,0.13683248311209512,0.14716759555313103,-0.12024330644517228,-0.12721802112042774,-0.20691270373779805,0.14305133527897498,0.10405645594507781,0.131489460233353,-0.03781685751136283,0.07284697935997117,-0.02847993454901536,0.09046190746277918,-0.148057936283946,-0.05880918948847613,0.17031007565208622,0.27772790877381304,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,9.105090961257085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0.0,2.037123286079367,2.239126511264291,-3.8142445203501616,-0.6626997837236799,-2.4714645705738065,-0.9543163440886067,-0.11414994198262453,-0.6386607905781189,0.27999203309667603,0.2649646856933823,0.40970071356108967,0.3257999829237213,0.7702802115451304,-0.2151717458169066,0.018721179893471825,0.1235717134193033,0.5055792031252635,-0.14997967976916587,-0.18294923982982297,0.3332155524182593,-0.38238218885877767,0.024884086112193362,-0.06398696485754483,0.01753880996592316,-0.3537530152236778,0.2527537774452077,-0.18589305193831485,-0.3412634780839237,0.2379991146741647,-0.38259823305353036,-0.17704989516652048,-0.10803724439428698,-0.11819369972633513,0.2339659489495436,0.05996828527596332,-0.0865479442590974,0.09009686150285035,0.1629609695596417,0.13508127097860756,0.06270100470858009,0.10771967834270003,0.23676238975590366,0.3104708880731957,0.2374001660231176,0.44817879765370533,-0.0698913356443701,0.16680747838763865,-0.20360174966690892,0.12099796640970822,-0.2269002810852894,0.007889088317422499,-0.13548054642404528,0.08031753082210336,0.023259000392458075,-0.10112748720438121,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1.1249295969854831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0.0,1.6283848468432052,3.0248778651147736,-3.188159112050351,-0.9335738616657501,-2.5124964583475533,-1.2691467625062458,-0.32435148695944643,-0.6652442191157465,-0.13658119229141966,0.6513790244874657,-0.15096545899483244,-0.0903911259946791,-0.005364171135487104,0.06400836779349321,-0.26641397237960024,0.6715749507145609,0.7072541136584248,0.41281124445358175,0.0791957648825879,0.6126834332452028,-0.0799837370660237,-0.059988095444662146,-0.0004919193020360618,-0.030405523790977624,-0.07503460711415774,0.0925659586347461,0.09662699412076838,-0.03175107689455148,-0.07817382120616814,-0.2891396474901715,-0.3591048797862459,-0.052462199317853474,0.2170267372199741,0.11286335288535684,0.035683758805137494,0.4323341392414131,-0.0198230544837087,-0.03852127643017559,-0.036529312940797254,0.12962819685763824,0.06856035232989877,-0.6013899477446376,0.28128487681914793,-0.20044884158186382,0.19755769642285334,-0.01851425469238858,-0.18048429030754823,-0.04271496161123131,-0.02992553984146162,-0.01071938866430443,-0.21143804150674375,0.10749779365866,0.32014178976766694,0.18708684207203333,0.2038013799014583,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,8.699681400989512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
